Date,EASEA INDEX (EAFE ex JAPAN) IMI VALUE
2019-09-09,945.4126622535096
2019-09-10,954.0654594119113
2019-09-11,958.4997581862091
2019-09-12,961.5178429150989
2019-09-13,974.3957302275047
2019-09-16,965.305942328211
2019-09-17,963.2966929824272
2019-09-18,963.7564547145973
2019-09-19,968.5536047820617
2019-09-20,969.6692659025517
2019-09-23,960.1585464626281
2019-09-24,957.5729566832113
2019-09-25,949.9725403798499
2019-09-26,951.6833765468766
2019-09-27,958.4471598785696
2019-09-30,958.3011974836456
2019-10-01,949.7600006432434
2019-10-02,928.9463457763086
2019-10-03,927.3850687169452
2019-10-04,929.9423247181652
2019-10-07,936.5335985704145
2019-10-08,925.8184860969401
2019-10-09,927.5020986837753
2019-10-10,938.4084409884891
2019-10-11,966.9799925871944
2019-10-14,961.4497790587073
2019-10-15,973.7459872944526
2019-10-16,975.980629111032
2019-10-17,981.3213937521393
2019-10-18,982.1125630337916
2019-10-21,991.757036911519
2019-10-22,992.7702730469454
2019-10-23,994.180897944683
2019-10-24,996.376356366641
2019-10-25,996.0969256715697
2019-10-28,997.9356759564932
2019-10-29,997.6442074553436
2019-10-30,993.4090920262884
2019-10-31,989.9245189058962
2019-11-01,997.16678087127
2019-11-04,1007.0591110727158
2019-11-05,1005.9369704948929
2019-11-06,1006.8898860093076
2019-11-07,1010.0896039118429
2019-11-08,1003.7021060351971
2019-11-11,1004.2610808009667
2019-11-12,1006.6872185523162
2019-11-13,996.910166869631
2019-11-14,992.1812604106586
2019-11-15,1000.8855849850265
2019-11-18,1002.4876251586041
2019-11-19,1002.4006954486925
2019-11-20,995.3343334985626
2019-11-21,992.7598053170868
2019-11-22,994.611689224855
2019-11-25,1000.938642699621
2019-11-26,999.0359105144959
2019-11-27,1002.4890202831876
2019-11-28,1001.9558317905763
2019-11-29,996.6366694503067
2019-12-02,989.9595805899619
2019-12-03,981.7414744256596
2019-12-04,991.2071697724799
2019-12-05,991.0758611416819
2019-12-06,998.5647311665415
2019-12-09,999.5995635218419
2019-12-10,998.9798840404219
2019-12-11,1002.122741547036
2019-12-12,1010.6458894801106
2019-12-13,1025.5392644052108
2019-12-16,1039.115773058398
2019-12-17,1034.6452716245167
2019-12-18,1031.5103923147356
2019-12-19,1031.9264090475676
2019-12-20,1033.6105827929296
2019-12-23,1031.4736116638464
2019-12-24,1034.098974482479
2019-12-25,1034.1076245541183
2019-12-26,1035.4842899690168
2019-12-27,1042.652439582063
2019-12-30,1039.8711043883143
2019-12-31,1040.2457616363786
2020-01-01,1040.2716498524583
2020-01-02,1047.8635223218807
2020-01-03,1041.3116571157743
2020-01-06,1039.557021141604
2020-01-07,1038.148363487448
2020-01-08,1036.7528206014044
2020-01-09,1036.6886588220757
2020-01-10,1037.3637370972679
2020-01-13,1036.1466965792683
2020-01-14,1036.959104271139
2020-01-15,1035.6514461904292
2020-01-16,1038.028310682571
2020-01-17,1040.9012676868088
2020-01-20,1039.0831844594013
2020-01-21,1035.3982560946772
2020-01-22,1032.090513230807
2020-01-23,1023.0784845185606
2020-01-24,1027.019889382864
2020-01-27,1005.5950224120008
2020-01-28,1010.240502163294
2020-01-29,1012.4035231377268
2020-01-30,1004.5947299767154
2020-01-31,998.6076466198543
2020-02-03,992.954216134004
2020-02-04,1006.0895010121368
2020-02-05,1013.9617766044361
