Date,ACWI SMALL CAP
2005-11-03,685.2461258733132
2005-11-04,682.0517619275216
2005-11-07,683.7964816939934
2005-11-08,681.2988411386136
2005-11-09,682.3442203906743
2005-11-10,683.8240563063428
2005-11-11,686.6536316891545
2005-11-14,684.8795996131887
2005-11-15,680.5985107599222
2005-11-16,680.1252683900327
2005-11-17,689.623702313809
2005-11-18,692.4426863245014
2005-11-21,697.0994405562177
2005-11-22,699.1059335577387
2005-11-23,703.334807759422
2005-11-24,703.1298099372341
2005-11-25,703.0669198960335
2005-11-28,699.0867818340369
2005-11-29,700.5566893634817
2005-11-30,702.7751081258162
2005-12-01,710.6868100393498
2005-12-02,713.7799496271108
2005-12-05,714.800135278851
2005-12-06,715.7456413636315
2005-12-07,713.6529567881944
2005-12-08,714.324651439009
2005-12-09,717.9903669338968
2005-12-12,722.7131228995
2005-12-13,723.7785695946635
2005-12-14,727.3915561993649
2005-12-15,723.6302833601517
2005-12-16,724.3785519222251
2005-12-19,719.9402234766638
2005-12-20,720.0627313644909
2005-12-21,724.0578263501008
2005-12-22,727.6880521157286
2005-12-23,730.0081248233374
2005-12-26,731.0504876892161
2005-12-27,725.6858007500572
2005-12-28,729.615844702696
2005-12-29,730.275255437934
2005-12-30,726.929129022082
2006-01-02,727.5950880199103
2006-01-03,740.0856004639127
2006-01-04,749.3583938394526
2006-01-05,751.7427379252463
2006-01-06,759.489850958705
2006-01-09,763.1314427320343
2006-01-10,763.145796670915
2006-01-11,766.0239951157876
2006-01-12,765.600175227989
2006-01-13,766.4238543646343
2006-01-16,768.1456490328611
2006-01-17,758.9247955615356
2006-01-18,750.7410639689168
2006-01-19,762.8988545612249
2006-01-20,756.6386806090234
2006-01-23,755.902171499858
2006-01-24,763.5992454163351
2006-01-25,765.9670775317121
2006-01-26,772.8649252666247
2006-01-27,777.7107036885718
2006-01-30,777.8764122260567
2006-01-31,780.5934445090074
2006-02-01,781.5532648399077
2006-02-02,777.2876214521955
2006-02-03,773.0459525097353
2006-02-06,777.6395830768445
2006-02-07,771.6058077908793
2006-02-08,768.6700031320719
2006-02-09,770.5553729063364
2006-02-10,768.1830024012819
2006-02-13,759.653338065026
2006-02-14,763.9181687554816
2006-02-15,766.711684980976
2006-02-16,769.7300949858513
2006-02-17,769.4396796756564
2006-02-20,768.4184926838523
2006-02-21,769.875407670169
2006-02-22,773.2782008292553
2006-02-23,777.6416682258064
2006-02-24,780.3406813195975
2006-02-27,783.2039707488108
2006-02-28,778.3088644277888
2006-03-01,783.8672173276371
2006-03-02,783.2136254368189
2006-03-03,780.2695042604508
2006-03-06,777.8092338144679
2006-03-07,766.8687463513618
2006-03-08,763.8218154470994
2006-03-09,766.9759016523965
2006-03-10,770.3536627047996
2006-03-13,776.8313459935364
2006-03-14,784.4031007667493
2006-03-15,789.7739983295511
2006-03-16,792.5126803010128
2006-03-17,796.1841902657785
2006-03-20,797.3664620150788
2006-03-21,791.0720574240436
2006-03-22,795.896969948031
2006-03-23,794.6126502865266
2006-03-24,798.3926101615339
2006-03-27,800.218997884373
2006-03-28,799.2040928789868
2006-03-29,803.9515142380591
2006-03-30,809.3219117334711
2006-03-31,809.1737317590087
2006-04-03,811.8127898261743
2006-04-04,816.5211690079852
2006-04-05,819.4272414241861
2006-04-06,822.4303037023184
2006-04-07,815.6878769460995
2006-04-10,813.8218587576813
2006-04-11,807.166802993359
2006-04-12,806.2578110671988
2006-04-13,808.005757496454
2006-04-14,808.3633819945624
2006-04-17,810.9027681145072
2006-04-18,822.4688403394131
2006-04-19,830.6821975664259
2006-04-20,828.521532500171
2006-04-21,830.8741407456033
2006-04-24,828.2136468325549
2006-04-25,828.9182774748455
2006-04-26,831.4107107841396
2006-04-27,830.9648051658985
2006-04-28,832.6290210375378
2006-05-01,834.2008861542312
2006-05-02,839.8106892303293
2006-05-03,839.2381789022794
2006-05-04,845.1212703924627
2006-05-05,854.1507998214054
2006-05-08,858.1740081847786
2006-05-09,859.2138709038957
2006-05-10,857.7494451341038
2006-05-11,850.067675800629
2006-05-12,836.6561024700698
2006-05-15,822.1902061103086
2006-05-16,817.3353162866662
2006-05-17,806.4677824161366
2006-05-18,794.371283763799
2006-05-19,793.0377177183651
2006-05-22,777.3281010685852
2006-05-23,782.3321886669263
2006-05-24,775.8738442792621
2006-05-25,784.7588142717445
2006-05-26,794.4904237359085
2006-05-29,797.2064623446423
2006-05-30,787.016857496648
2006-05-31,790.6804331729358
2006-06-01,795.5989965751229
2006-06-02,803.0050635199846
2006-06-05,790.5766956204745
2006-06-06,775.7219669035927
2006-06-07,767.8200147225277
2006-06-08,751.8345498339245
2006-06-09,757.1015746663327
2006-06-12,745.9100056243482
2006-06-13,726.9374307319363
2006-06-14,731.1181034563286
2006-06-15,751.8781722254183
2006-06-16,752.8451607094443
