Date,EUROPE & MIDDLE EAST IMI VALUE
2011-10-17,997.6861035003593
2011-10-18,991.7946184375137
2011-10-19,1001.2633735536816
2011-10-20,984.2448584222785
2011-10-21,1008.4397019795088
2011-10-24,1019.3822380483898
2011-10-25,1011.4041110722653
2011-10-26,1012.3568391334552
2011-10-27,1052.2530422787997
2011-10-28,1045.770532863583
2011-10-31,1023.5321473715009
2011-11-01,982.3012668897771
2011-11-02,991.329978615664
2011-11-03,1012.195545951896
2011-11-04,999.4723646857248
2011-11-07,995.5051220460215
2011-11-08,1002.8281804383597
2011-11-09,984.3930456391721
2011-11-10,983.0810455256732
2011-11-11,1008.3890125581934
2011-11-14,998.4450771726724
2011-11-15,988.8142119241023
2011-11-16,991.2296036060076
2011-11-17,979.3895252688051
2011-11-18,973.4297959260737
2011-11-21,942.0514934540363
2011-11-22,930.7350191562928
2011-11-23,917.5296587189706
2011-11-24,913.7582132151216
2011-11-25,921.1543471228997
2011-11-28,957.5933540733362
2011-11-29,964.6037485642167
2011-11-30,1001.0594486048319
2011-12-01,993.3408285681304
2011-12-02,1006.9000743059041
2011-12-05,1018.5463360021954
2011-12-06,1013.8921589811653
2011-12-07,1010.1443516465825
2011-12-08,992.0665060719981
2011-12-09,1007.1407263852595
2011-12-12,984.6375115406479
2011-12-13,989.4946528375852
2011-12-14,968.2156354825763
2011-12-15,979.3435663923198
2011-12-16,974.5683509610509
2011-12-19,973.842409571404
2011-12-20,995.0717163037627
2011-12-21,990.6092748471339
2011-12-22,1003.3876636924518
2011-12-23,1011.8885452725842
2011-12-26,1012.0255907479498
2011-12-27,1011.4612827943915
2011-12-28,1000.9231779976632
2011-12-29,1011.2834385229229
2011-12-30,1020.3752752511301
2012-01-02,1033.078083677359
2012-01-03,1047.7457367487254
2012-01-04,1040.2664712572566
2012-01-05,1026.2660768478345
2012-01-06,1027.3934152010775
2012-01-09,1019.0325402205424
2012-01-10,1040.0199405666267
2012-01-11,1037.2826776502918
2012-01-12,1036.4052745535048
2012-01-13,1034.9346413632854
2012-01-16,1043.0745316984658
2012-01-17,1053.9551559686006
2012-01-18,1053.3186853115833
2012-01-19,1071.1517861792804
2012-01-20,1068.5976164517804
2012-01-23,1076.251025748444
2012-01-24,1071.6871347933268
2012-01-25,1066.361839357787
2012-01-26,1078.0523833004968
2012-01-27,1068.0139289128142
2012-01-30,1053.5053817105095
2012-01-31,1063.200673109196
2012-02-01,1085.42867827582
2012-02-02,1088.3397772083454
2012-02-03,1105.365285212513
2012-02-06,1104.8490031797512
2012-02-07,1103.2422652202436
2012-02-08,1103.505464031754
2012-02-09,1105.6611524489563
2012-02-10,1092.1749614131677
2012-02-13,1100.6632991440088
2012-02-14,1096.9512957332288
2012-02-15,1103.2302582071914
2012-02-16,1103.1647407163994
2012-02-17,1113.6409672103505
2012-02-20,1122.6391348061422
2012-02-21,1117.8728174667226
2012-02-22,1105.6712508279686
2012-02-23,1100.608050565473
2012-02-24,1105.5416912438052
2012-02-27,1101.2459341900044
2012-02-28,1101.8840400396666
2012-02-29,1102.0493533647177
2012-03-01,1114.4590258060778
2012-03-02,1116.1083948826304
2012-03-05,1108.4442103487786
2012-03-06,1077.6895251891347
2012-03-07,1083.0318037601096
2012-03-08,1098.5019480797391
2012-03-09,1102.7963372070312
2012-03-12,1098.7793838933108
2012-03-13,1120.4715071395046
2012-03-14,1127.6632954818053
2012-03-15,1129.2143270531913
2012-03-16,1134.5107200976577
2012-03-19,1135.2520781930323
2012-03-20,1123.6549850579127
2012-03-21,1120.7748814907102
2012-03-22,1107.4478895078705
2012-03-23,1107.751487516234
2012-03-26,1116.7475480023807
2012-03-27,1110.7369032877446
2012-03-28,1098.4595167101434
2012-03-29,1081.7823641842624
2012-03-30,1091.2795946791248
2012-04-02,1104.143670706815
2012-04-03,1089.9143689730017
2012-04-04,1068.1614059161143
2012-04-05,1068.9301664397287
2012-04-06,1068.9301664397287
2012-04-09,1068.9201151765164
2012-04-10,1040.5263124131834
2012-04-11,1048.936904096755
2012-04-12,1056.0997283855847
2012-04-13,1039.3129305369582
2012-04-16,1039.063068939334
2012-04-17,1063.9609357729616
2012-04-18,1053.7921171697321
2012-04-19,1044.0564413483078
2012-04-20,1051.0155236564513
2012-04-23,1027.3720270227209
2012-04-24,1041.0114703463928
2012-04-25,1052.4495008749095
2012-04-26,1052.4037665946655
2012-04-27,1063.0096104480424
2012-04-30,1055.420713855123
2012-05-01,1059.6661548877128
2012-05-02,1052.132824634278
2012-05-03,1050.8854735827229
2012-05-04,1035.4045943785209
2012-05-07,1045.5842318987131
2012-05-08,1031.225394032114
2012-05-09,1025.822047931465
2012-05-10,1036.8044670632003
2012-05-11,1038.6257657244628
2012-05-14,1017.1885931430049
2012-05-15,1007.1157189689656
2012-05-16,1001.3864966837133
2012-05-17,988.8485757455403
2012-05-18,981.5469728151305
2012-05-21,986.1161405809964
2012-05-22,1007.253715853504
2012-05-23,985.3212653868686
2012-05-24,996.5359965249405
2012-05-25,999.3481798570618
2012-05-28,996.5515247073103
2012-05-29,1000.6689837863111
2012-05-30,986.5114537043371
2012-05-31,984.806011801685
2012-06-01,970.3085849658486
2012-06-04,968.621678426436
2012-06-05,971.3804386956787
2012-06-06,995.6425211822391
2012-06-07,1004.8859478293015
2012-06-08,1003.766795082218
2012-06-11,1001.8398159328115
2012-06-12,1007.0722577353622
2012-06-13,1003.9418264663659
2012-06-14,1003.3514662816578
2012-06-15,1017.700045280822
2012-06-18,1014.3715463784346
2012-06-19,1033.1790861930212
2012-06-20,1041.5017341991554
2012-06-21,1035.450782621086
2012-06-22,1030.3280539848756
2012-06-25,1011.6098760340294
2012-06-26,1008.9786209336895
2012-06-27,1024.4032742838656
2012-06-28,1019.3437059576453
2012-06-29,1048.5296376745748
2012-07-02,1063.7157580869407
2012-07-03,1073.014397619503
2012-07-04,1071.8540303887883
2012-07-05,1067.8599134439385
2012-07-06,1054.6775609826732
2012-07-09,1051.472553876587
2012-07-10,1059.2394284461145
2012-07-11,1063.7279891196088
2012-07-12,1052.4338145052363
2012-07-13,1065.1037399818508
2012-07-16,1067.3133207545397
2012-07-17,1064.0610417272671
2012-07-18,1074.0846417531698
2012-07-19,1083.586668536097
2012-07-20,1062.3878198437594
2012-07-23,1035.788557293877
2012-07-24,1027.1177783653216
2012-07-25,1028.6536323285902
2012-07-26,1053.5497914207244
2012-07-27,1069.3720188551524
2012-07-30,1089.4657254890906
2012-07-31,1079.1501733112198
2012-08-01,1083.7694601715596
2012-08-02,1066.464203565026
2012-08-03,1098.3652938918046
2012-08-06,1105.6559545876648
2012-08-07,1119.3885803918604
2012-08-08,1122.35385276698
2012-08-09,1125.2066024910423
2012-08-10,1124.168233002269
2012-08-13,1119.9303807175424
2012-08-14,1127.4792703688233
2012-08-15,1127.786217239248
2012-08-16,1135.3165387745078
2012-08-17,1145.0071632928607
2012-08-20,1138.099146086674
2012-08-21,1143.7549131960861
2012-08-22,1131.2246451530023
2012-08-23,1122.6958664972663
2012-08-24,1122.6290538894555
2012-08-27,1128.4778639721374
2012-08-28,1120.8502869920299
2012-08-29,1118.554686058029
2012-08-30,1108.943245322975
2012-08-31,1116.310168670007
2012-09-03,1124.3519724221446
2012-09-04,1113.235482604408
2012-09-05,1112.4334717005524
2012-09-06,1141.78523393962
2012-09-07,1151.2519103495501
2012-09-10,1151.4457000686978
2012-09-11,1158.8797079833275
2012-09-12,1164.8129503071643
2012-09-13,1161.0488540060549
2012-09-14,1178.2047745796906
2012-09-17,1173.543490812402
2012-09-18,1163.1232103842617
2012-09-19,1168.3243401548225
2012-09-20,1163.6577946669386
2012-09-21,1171.4568806211219
2012-09-24,1167.1154669373573
2012-09-25,1171.7410102814665
2012-09-26,1145.7354704738466
2012-09-27,1150.9220373320961
2012-09-28,1134.6447208001869
2012-10-01,1150.3857516264748
2012-10-02,1147.4585577104742
2012-10-03,1147.589930356452
2012-10-04,1145.3444696831575
2012-10-05,1158.8680270648742
2012-10-08,1146.7429451095632
2012-10-09,1141.4604838071282
2012-10-10,1135.794366882659
2012-10-11,1145.4625087074205
2012-10-12,1138.8009936755109
2012-10-15,1144.5456948112585
2012-10-16,1163.8890729830225
2012-10-17,1174.2097243185528
2012-10-18,1178.3306292564494
2012-10-19,1166.5920774312115
2012-10-22,1162.8285065372559
2012-10-23,1143.6130072526794
2012-10-24,1147.1533658195813
2012-10-25,1147.2593417088094
2012-10-26,1148.2083002552108
2012-10-29,1141.3346101869304
2012-10-30,1154.3584249703456
2012-10-31,1150.6843619390024
2012-11-01,1166.964789065826
2012-11-02,1170.7252991912094
2012-11-05,1161.4351628160557
2012-11-06,1169.5421975557929
2012-11-07,1152.09053448799
2012-11-08,1149.6566557076803
2012-11-09,1145.1265832720526
2012-11-12,1142.0483168184235
2012-11-13,1146.4287436719803
2012-11-14,1136.4795821844386
2012-11-15,1127.5577660260956
2012-11-16,1112.769010982182
2012-11-19,1139.000130178587
2012-11-20,1140.8605252240027
2012-11-21,1145.9421513518735
2012-11-22,1151.5439733201972
2012-11-23,1158.889303745555
2012-11-26,1151.7729894784284
2012-11-27,1153.5353129988312
2012-11-28,1154.048524990619
2012-11-29,1169.4857066082263
2012-11-30,1167.4349288613816
2012-12-03,1167.7608604193729
2012-12-04,1169.3122710225718
2012-12-05,1175.0773339201987
2012-12-06,1182.915671483974
2012-12-07,1183.0928535355213
2012-12-10,1182.5962167781875
2012-12-11,1189.9039227623362
2012-12-12,1194.0077462459983
2012-12-13,1191.6051006102439
2012-12-14,1189.8015718623838
2012-12-17,1190.5445492723231
2012-12-18,1196.9366514168205
2012-12-19,1203.9624927254024
2012-12-20,1204.31294916014
2012-12-21,1202.0423716170558
2012-12-24,1200.052022833348
2012-12-25,1199.9456429669074
2012-12-26,1199.2137944811006
2012-12-27,1201.3291891060996
2012-12-28,1192.293794643674
2012-12-31,1196.373130565265
2013-01-01,1196.630292183516
2013-01-02,1224.2448276650866
2013-01-03,1230.3850929151006
2013-01-04,1236.0512877814378
2013-01-07,1234.188230858217
2013-01-08,1232.6314454240578
2013-01-09,1243.841354644516
2013-01-10,1243.7822397943394
2013-01-11,1242.208756999883
2013-01-14,1238.0898342450507
2013-01-15,1234.7739750505582
2013-01-16,1232.2490158004666
2013-01-17,1238.4585153450757
2013-01-18,1236.8088209154357
2013-01-21,1241.215933167987
2013-01-22,1238.6605382353277
2013-01-23,1238.1800369130026
2013-01-24,1243.121990278529
2013-01-25,1245.6294354358938
2013-01-28,1246.324966374988
2013-01-29,1251.0729246528406
2013-01-30,1244.1442515868118
2013-01-31,1235.8879648298246
2013-02-01,1235.525483892539
2013-02-04,1212.319933453631
2013-02-05,1220.4843970909408
2013-02-06,1215.1254917854776
2013-02-07,1211.9928751617133
2013-02-08,1227.968306452727
2013-02-11,1224.4541130989805
2013-02-12,1231.5719397877426
2013-02-13,1235.771184964158
2013-02-14,1230.6888624185372
2013-02-15,1226.390407464731
2013-02-18,1224.7896563506863
2013-02-19,1237.1367258669259
2013-02-20,1228.9778890845178
2013-02-21,1207.7493592051476
2013-02-22,1223.7325281746798
2013-02-25,1225.7974595915903
2013-02-26,1203.9336602607816
2013-02-27,1218.1406815107953
2013-02-28,1228.4820776773445
2013-03-01,1222.1076584072957
2013-03-04,1219.950125284934
2013-03-05,1243.3586938352948
2013-03-06,1243.1161979974374
2013-03-07,1242.282165877076
2013-03-08,1258.0574551576772
2013-03-11,1254.032988042558
2013-03-12,1253.523396133746
2013-03-13,1251.7519601297608
2013-03-14,1267.4297317183368
2013-03-15,1260.5512575823343
2013-03-18,1256.3085528614765
2013-03-19,1248.9768010179503
2013-03-20,1256.1367327484415
2013-03-21,1251.182104171014
2013-03-22,1248.915365344928
2013-03-25,1240.7905478787864
2013-03-26,1241.4599747660056
2013-03-27,1233.828505481559
2013-03-28,1235.6752603349894
2013-03-29,1235.6752603349894
2013-04-01,1236.625568780211
2013-04-02,1252.3791937961546
2013-04-03,1236.1612803843605
2013-04-04,1227.0342856928003
2013-04-05,1211.5949253157585
2013-04-08,1210.6566587504803
2013-04-09,1219.2203527986635
2013-04-10,1243.528055728546
2013-04-11,1251.2217078914066
2013-04-12,1240.4823668572844
2013-04-15,1231.6755247414385
2013-04-16,1223.2891379285222
2013-04-17,1204.142040627141
2013-04-18,1200.909645762585
2013-04-19,1208.4197988904457
2013-04-22,1214.0540567552391
2013-04-23,1243.605117447908
2013-04-24,1256.425999825743
2013-04-25,1267.5230678570258
2013-04-26,1263.1647875382057
2013-04-29,1271.8529040534952
2013-04-30,1270.3586754348848
2013-05-01,1270.9588136637506
2013-05-02,1275.3707804024725
2013-05-03,1290.9526065863852
