Date,UNITED KINGDOM IMI VALUE
2019-12-11,1052.1747578046006
2019-12-12,1059.1802100359707
2019-12-13,1096.133563871149
2019-12-16,1119.9380236340642
2019-12-17,1103.8540589964039
2019-12-18,1101.1620169220923
2019-12-19,1101.8332060632338
2019-12-20,1100.180405776409
2019-12-23,1094.9149226221325
2019-12-24,1102.282204729535
2019-12-25,1102.2822047295347
2019-12-26,1105.3859076125575
2019-12-27,1113.8609661445778
2019-12-30,1108.755989693856
2019-12-31,1113.3277008207103
2020-01-01,1113.3277008207103
2020-01-02,1120.075937762839
2020-01-03,1113.4454009351612
2020-01-06,1114.8805621607883
2020-01-07,1112.267603686391
2020-01-08,1109.1935269419214
2020-01-09,1103.4424457744649
2020-01-10,1102.8085012810327
2020-01-13,1101.1687396217546
2020-01-14,1102.7662941348367
2020-01-15,1103.0943867988856
2020-01-16,1103.9901130981386
2020-01-17,1108.7606482194299
2020-01-20,1103.300073923545
2020-01-21,1100.603562282602
2020-01-22,1101.2220247107496
2020-01-23,1089.2045966265152
2020-01-24,1094.8674823146607
2020-01-27,1066.8999456806698
2020-01-28,1070.3280786625835
2020-01-29,1072.4438379914975
2020-01-30,1065.5211606988075
2020-01-31,1057.8226749094736
2020-02-03,1045.75986910514
2020-02-04,1063.0253238033342
2020-02-05,1063.8862119365697
2020-02-06,1058.896859083103
2020-02-07,1054.7068430912714
2020-02-10,1049.942198926412
2020-02-11,1061.1470234477315
2020-02-12,1072.8446677255995
2020-02-13,1068.7287783054928
2020-02-14,1061.5303025774135
2020-02-17,1064.1760645516333
2020-02-18,1053.7650190767195
2020-02-19,1056.1302996384568
2020-02-20,1050.1937019304305
2020-02-21,1051.195036479507
2020-02-24,1013.0798726259246
2020-02-25,1000.2104615062469
2020-02-26,995.39378256173
2020-02-27,958.5904101541604
2020-02-28,922.781963424682
2020-03-02,926.3914715283997
2020-03-03,938.1531950609934
2020-03-04,951.2967280800885
2020-03-05,941.4315244919034
2020-03-06,914.8862919045434
2020-03-09,837.4547940130437
2020-03-10,830.652119546376
2020-03-11,816.821604470404
2020-03-12,701.8096419009179
2020-03-13,708.4544682183525
2020-03-16,668.8085548044043
2020-03-17,668.9737204528473
2020-03-18,625.6209910934406
