Date,SINGAPORE IMI HIGH DIVIDEND YIELD
2011-08-16,1373.3435141777823
2011-08-17,1380.8888872323503
2011-08-18,1355.7727200675718
2011-08-19,1330.5032252129372
2011-08-22,1323.8004619366732
2011-08-23,1344.5341269706394
2011-08-24,1337.959179391342
2011-08-25,1338.196245699587
2011-08-26,1346.7219032930773
2011-08-29,1366.009256090888
2011-08-30,1364.1258389405746
2011-08-31,1409.0190769192445
2011-09-01,1396.8159819797077
2011-09-02,1399.847783828604
2011-09-05,1373.8417614918224
2011-09-06,1364.4223237746626
2011-09-07,1378.3623961616297
2011-09-08,1382.8064335562326
2011-09-09,1356.5583295633753
2011-09-12,1319.746614847644
2011-09-13,1321.8733956202561
2011-09-14,1320.9082393395197
2011-09-15,1335.096814618462
2011-09-16,1338.2756402337445
2011-09-19,1304.246268955029
2011-09-20,1308.410553216407
2011-09-21,1301.4865686659239
2011-09-22,1260.1247767489274
2011-09-23,1261.5562829117746
2011-09-26,1233.5631253123656
2011-09-27,1275.248751483864
2011-09-28,1257.204831670676
2011-09-29,1245.4875821523278
2011-09-30,1232.463400039242
2011-10-03,1208.8208032044586
2011-10-04,1186.418268972718
2011-10-05,1196.1181164925792
2011-10-06,1203.3155863175257
2011-10-07,1225.9348006023558
2011-10-10,1244.9385838700102
2011-10-11,1255.5331428380991
2011-10-12,1281.2996451871186
2011-10-13,1277.8949081909952
2011-10-14,1302.4500251256397
2011-10-17,1310.4001284047533
2011-10-18,1296.4620570158615
2011-10-19,1306.8161065154952
2011-10-20,1292.2294353700004
2011-10-21,1302.584503657504
2011-10-24,1311.1648499691735
2011-10-25,1319.3191973455062
2011-10-26,1307.641574921383
2011-10-27,1362.7216787215443
2011-10-28,1385.1349303250606
2011-10-31,1355.072255828346
2011-11-01,1318.076636833894
2011-11-02,1332.459611056795
2011-11-03,1321.3102989726572
2011-11-04,1336.134068095837
2011-11-07,1331.3060942487148
2011-11-08,1333.5817408102344
2011-11-09,1313.9477047627583
2011-11-10,1290.5485394858483
2011-11-11,1304.1061587375398
2011-11-14,1305.1838849790709
2011-11-15,1290.2661301564235
2011-11-16,1293.2490863024814
2011-11-17,1284.801523537069
2011-11-18,1274.4355274332224
2011-11-21,1256.702807027677
2011-11-22,1259.55371299197
2011-11-23,1245.9363096724594
2011-11-24,1234.9409088713319
2011-11-25,1216.956832740009
2011-11-28,1243.1262129040863
2011-11-29,1245.942168976292
2011-11-30,1265.336836193439
2011-12-01,1276.0386680652716
2011-12-02,1280.3013773475045
2011-12-05,1293.7816956265021
2011-12-06,1281.5063355836292
2011-12-07,1295.985485160225
2011-12-08,1269.8687481863494
2011-12-09,1258.9940483303262
2011-12-12,1256.6073041215477
2011-12-13,1249.4648105299964
2011-12-14,1239.864392119409
2011-12-15,1233.9616569495452
2011-12-16,1247.4250554049736
2011-12-19,1219.3796080006202
2011-12-20,1228.5900513315985
2011-12-21,1245.8362695287285
2011-12-22,1243.419855936478
2011-12-23,1255.7733693023881
2011-12-26,1255.773369302388
2011-12-27,1250.7590117127727
2011-12-28,1243.784963542034
2011-12-29,1241.9246000889761
2011-12-30,1243.9684185957972
2012-01-02,1243.9684185957972
2012-01-03,1278.931002517444
2012-01-04,1279.1483399155406
2012-01-05,1268.4809538549373
2012-01-06,1274.4434768878416
2012-01-09,1274.1272095021402
2012-01-10,1295.1411424042385
2012-01-11,1302.8839013175134
2012-01-12,1304.509349708218
2012-01-13,1313.0793575923187
2012-01-16,1308.254116580881
2012-01-17,1333.9842414622074
2012-01-18,1329.1699072322347
2012-01-19,1341.14307889251
2012-01-20,1356.1570276079817
2012-01-23,1363.8332418349323
2012-01-24,1359.9577120361655
2012-01-25,1383.516129988175
2012-01-26,1402.9563844997858
2012-01-27,1405.6770653845267
2012-01-30,1384.0991875403363
2012-01-31,1406.114426144509
2012-02-01,1401.62015095461
2012-02-02,1418.0150648541407
2012-02-03,1434.1749999872632
2012-02-06,1437.462409967834
2012-02-07,1448.0986577843676
2012-02-08,1459.6985061686003
2012-02-09,1463.3528196975706
2012-02-10,1441.6722624156114
2012-02-13,1457.110480692631
2012-02-14,1451.378599138089
2012-02-15,1474.7817475203096
2012-02-16,1459.1401244889278
2012-02-17,1471.8958910567453
2012-02-20,1488.5756540032633
2012-02-21,1491.5485653870423
2012-02-22,1484.7280507737973
2012-02-23,1478.082083474425
2012-02-24,1489.87744602683
2012-02-27,1483.7674821125365
2012-02-28,1503.8191900183301
2012-02-29,1518.7833514209867
2012-03-01,1501.616995239669
2012-03-02,1509.3382623161551
2012-03-05,1491.9214026816658
2012-03-06,1455.7259295426943
2012-03-07,1453.7307265440138
2012-03-08,1484.261731054799
2012-03-09,1482.516304042577
2012-03-12,1472.3640390527644
2012-03-13,1492.5580968587672
2012-03-14,1491.314010286767
2012-03-15,1494.211021608262
2012-03-16,1508.2342898655688
2012-03-19,1502.2918417766778
2012-03-20,1492.4056504282742
2012-03-21,1488.097945852111
2012-03-22,1475.4325369112307
2012-03-23,1483.419377677736
2012-03-26,1482.9205122563949
2012-03-27,1499.7425516809153
2012-03-28,1495.746556575149
2012-03-29,1486.2247422583043
2012-03-30,1496.568416377249
2012-04-02,1502.705501818507
2012-04-03,1505.7612346543347
2012-04-04,1489.016941917753
2012-04-05,1484.7718617401588
2012-04-06,1484.7718617401588
2012-04-09,1468.1824319080242
2012-04-10,1475.8632396099724
2012-04-11,1477.3476846478645
2012-04-12,1484.5888540421295
2012-04-13,1493.739528408127
2012-04-16,1488.6912528469197
2012-04-17,1490.0285408741026
2012-04-18,1496.321371317158
2012-04-19,1493.6079342788023
2012-04-20,1492.8179948170753
2012-04-23,1479.7590625465818
2012-04-24,1488.3060657722126
2012-04-25,1487.512373145091
2012-04-26,1484.4893897556892
2012-04-27,1485.0821577639886
2012-04-30,1482.7866061330978
2012-05-01,1484.6464639032833
2012-05-02,1489.6601223305834
2012-05-03,1480.3866006594778
2012-05-04,1465.2977932403226
2012-05-07,1443.0836528247414
2012-05-08,1445.1813221726024
2012-05-09,1426.2024013195785
2012-05-10,1429.7469093017876
2012-05-11,1424.3553735720545
2012-05-14,1405.9778188809078
2012-05-15,1411.2102035365397
2012-05-16,1382.9567613436316
2012-05-17,1384.2344537849142
2012-05-18,1357.0077999483424
2012-05-21,1367.2756058851005
2012-05-22,1386.3573586658658
2012-05-23,1359.8180796296472
2012-05-24,1365.6758581566953
2012-05-25,1360.9900143116574
2012-05-28,1369.2762795728324
2012-05-29,1381.3959935532612
2012-05-30,1360.5937639001063
2012-05-31,1360.287245525562
2012-06-01,1342.215675033636
2012-06-04,1326.7775814860327
2012-06-05,1329.6926988528164
2012-06-06,1357.4811964838198
2012-06-07,1357.1125155305938
2012-06-08,1339.6362938659004
2012-06-11,1361.9390680525466
2012-06-12,1359.7619324931086
2012-06-13,1365.0466485537413
2012-06-14,1359.3736807486623
2012-06-15,1382.6243596482827
2012-06-18,1394.4025245087118
2012-06-19,1410.4264843267285
2012-06-20,1410.624593836873
2012-06-21,1393.645985629679
2012-06-22,1392.2928488354664
2012-06-25,1385.9138798771821
2012-06-26,1392.6231267852456
2012-06-27,1403.9117847948787
2012-06-28,1398.492902979944
2012-06-29,1427.497099845605
2012-07-02,1446.3235245564774
2012-07-03,1466.1678313501825
