Date,EUROPE VALUE WEIGHTED
2000-07-13,959.198652900047
2000-07-14,961.8855251364798
2000-07-17,963.3510832645912
2000-07-18,959.5314561540475
2000-07-19,962.9218947739014
2000-07-20,968.5788429940764
2000-07-21,957.9527098069535
2000-07-24,959.7493591493763
2000-07-25,957.5004401741595
2000-07-26,956.6499863210474
2000-07-27,950.4356008810641
2000-07-28,951.912221425709
2000-07-31,957.9223102589655
2000-08-01,958.8649766848732
2000-08-02,966.5900591073536
2000-08-03,961.7407379561159
2000-08-04,966.8143471052658
2000-08-07,978.1955114965717
2000-08-08,980.7577071652357
2000-08-09,988.1743678269765
2000-08-10,983.862885193209
2000-08-11,986.8918768323238
2000-08-14,993.9432146746998
2000-08-15,992.6409021696484
2000-08-16,997.0168924766871
2000-08-17,991.6974311847694
2000-08-18,992.0503969444333
2000-08-21,995.0958806541985
2000-08-22,997.6919344049296
2000-08-23,1000.2883977694868
2000-08-24,992.5312965631225
2000-08-25,992.1427502540334
2000-08-28,995.9932492407661
2000-08-29,991.8875429483247
2000-08-30,988.6284666521854
2000-08-31,989.161844511236
2000-09-01,995.1320077837901
2000-09-04,1001.0634897453601
2000-09-05,999.1064964730829
2000-09-06,1000.045247983286
2000-09-07,999.754646725439
2000-09-08,989.0550743436332
2000-09-11,990.762847923604
2000-09-12,984.4447776891657
2000-09-13,976.0423139032381
2000-09-14,980.1601596740458
2000-09-15,972.8972493992388
2000-09-18,967.9659462763259
2000-09-19,967.3364627968045
2000-09-20,960.2916293636671
2000-09-21,949.8806691904701
2000-09-22,952.7816086487063
2000-09-25,958.162571835575
2000-09-26,952.5206802289104
2000-09-27,957.3506216156975
2000-09-28,957.169810237879
2000-09-29,959.9952358851011
2000-10-02,966.1060395313456
2000-10-03,970.9055550651121
2000-10-04,970.3500023252595
2000-10-05,976.6898449225307
2000-10-06,973.2820736913371
2000-10-09,958.4389903015896
2000-10-10,959.3806163059145
2000-10-11,943.889548402486
2000-10-12,948.3128525071982
2000-10-13,953.3170060569247
2000-10-16,958.0501597764982
2000-10-17,951.494877640217
2000-10-18,947.3920105837551
2000-10-19,961.7851004863184
2000-10-20,967.7264854187922
2000-10-23,973.8201876522596
2000-10-24,988.0022378501569
2000-10-25,984.7657887338875
2000-10-26,980.5582999514875
2000-10-27,984.7199199492137
2000-10-30,990.0459154025053
2000-10-31,1002.5668885952374
2000-11-01,1002.5284618519852
2000-11-02,1004.0094669158505
2000-11-03,1004.7000378352449
2000-11-06,1005.8381814558262
2000-11-07,1006.4071634316392
2000-11-08,1005.6858508570352
2000-11-09,999.9588610993153
2000-11-10,994.1715188196878
2000-11-13,984.3643166362574
2000-11-14,1000.8215021123633
2000-11-15,1000.456848964719
2000-11-16,999.1325407044122
2000-11-17,997.1343014651426
2000-11-20,987.0600755514206
2000-11-21,991.5924646877357
2000-11-22,973.4337769354431
2000-11-23,976.6917543365458
2000-11-24,986.968590104124
2000-11-27,991.3532119330857
2000-11-28,982.6716361283128
2000-11-29,978.9915998193638
2000-11-30,962.4509870218953
2000-12-01,974.1277732386875
2000-12-04,961.5550343438016
2000-12-05,982.6689462387767
2000-12-06,979.3288806143354
2000-12-07,974.0818032326439
2000-12-08,980.0231633436466
2000-12-11,997.4170439100757
2000-12-12,995.4016703508092
2000-12-13,990.8442930344114
2000-12-14,975.0149863640179
