Date,SOUTH AFRICA SMALL CAP
2019-06-27,1325.9087683383334
2019-06-28,1328.7953706610524
2019-07-01,1328.8871085884707
2019-07-02,1329.394022037878
2019-07-03,1338.8031330257484
2019-07-04,1349.1790904345432
2019-07-05,1327.773965112109
2019-07-08,1340.9522052254779
2019-07-09,1328.380465250919
2019-07-10,1356.8174557895757
2019-07-11,1366.1245250513741
2019-07-12,1360.41184813316
2019-07-15,1373.137222708435
2019-07-16,1379.765877398893
2019-07-17,1360.167151537682
2019-07-18,1382.735124334803
2019-07-19,1386.7560898522863
2019-07-22,1384.3684398437422
2019-07-23,1376.8020198461184
2019-07-24,1371.3667051283846
2019-07-25,1356.95907440315
2019-07-26,1328.000286381866
2019-07-29,1339.0373625698198
2019-07-30,1336.5228878392695
2019-07-31,1326.7838315396368
2019-08-01,1279.398402435562
2019-08-02,1262.8905454950316
2019-08-05,1243.4748518685012
2019-08-06,1249.4189276010184
2019-08-07,1247.1238754142246
2019-08-08,1240.1616276786717
2019-08-09,1225.3191325855423
2019-08-12,1214.905375245974
2019-08-13,1204.2857982494606
2019-08-14,1183.1586025811882
2019-08-15,1185.9020702270698
2019-08-16,1186.5304581516755
2019-08-19,1178.7435079050242
2019-08-20,1187.7780407960252
2019-08-21,1212.7851243460766
2019-08-22,1208.1393279648912
2019-08-23,1211.2143933264597
2019-08-26,1211.4861650105329
2019-08-27,1201.1976092723223
2019-08-28,1218.3660678320969
2019-08-29,1231.8252367951357
2019-08-30,1261.4507081703607
2019-09-02,1253.9198176978598
2019-09-03,1254.623982998182
2019-09-04,1280.738499414353
2019-09-05,1276.1057080435824
2019-09-06,1285.815357862252
2019-09-09,1281.372837134276
2019-09-10,1270.6038739657752
2019-09-11,1276.5195468537895
2019-09-12,1318.9306312251508
2019-09-13,1315.1170064520397
2019-09-16,1313.6719999438867
2019-09-17,1300.3665529891807
2019-09-18,1310.982300553704
2019-09-19,1300.3609699361734
2019-09-20,1289.8669844674787
2019-09-23,1307.205782989328
2019-09-24,1300.9562843821902
2019-09-25,1293.8808870464975
2019-09-26,1294.0587272945531
2019-09-27,1284.177460508196
2019-09-30,1272.3303954163375
2019-10-01,1263.8636300025657
2019-10-02,1278.1274296140484
2019-10-03,1294.5624030000454
2019-10-04,1308.0069569729355
2019-10-07,1316.5545071650138
2019-10-08,1310.1139236839092
2019-10-09,1323.2632252585422
2019-10-10,1334.2005700827688
2019-10-11,1354.0995008110058
2019-10-14,1350.0670750427407
2019-10-15,1349.378850681431
2019-10-16,1357.5808641804824
2019-10-17,1383.892769753342
2019-10-18,1375.3189245820804
2019-10-21,1380.545881671582
2019-10-22,1390.3793888260147
2019-10-23,1398.9560754906188
2019-10-24,1403.30200425253
2019-10-25,1405.2046767279253
2019-10-28,1409.1533675029104
2019-10-29,1394.9675170443413
2019-10-30,1377.306123903809
2019-10-31,1380.0169676939115
2019-11-01,1380.0106579958065
2019-11-04,1399.5113836816206
2019-11-05,1390.8547610012458
2019-11-06,1409.4533442889272
2019-11-07,1410.9572517013296
2019-11-08,1393.3056346432622
2019-11-11,1367.7535652437737
2019-11-12,1370.0028192762154
