Date,CANADA IMI MOMENTUM
2013-02-14,8576.93465960963
2013-02-15,8530.124655736798
2013-02-18,8496.336965859136
2013-02-19,8574.987116999764
2013-02-20,8497.899977579076
2013-02-21,8434.067609651798
2013-02-22,8416.817388711608
2013-02-25,8366.94502028173
2013-02-26,8344.29573718111
2013-02-27,8434.495628489567
2013-02-28,8485.224370988102
2013-03-01,8480.60821777385
2013-03-04,8464.080100333287
2013-03-05,8484.696062890587
2013-03-06,8514.744644779208
2013-03-07,8521.05473508318
2013-03-08,8550.00202577095
2013-03-11,8557.943445602114
2013-03-12,8560.55116060181
2013-03-13,8478.00788844987
2013-03-14,8518.712440451347
2013-03-15,8566.760077022072
2013-03-18,8525.417525688476
2013-03-19,8492.523988318922
2013-03-20,8533.34111188775
2013-03-21,8493.286654040392
2013-03-22,8523.377358721535
2013-03-25,8483.631160456773
2013-03-26,8561.033844639782
2013-03-27,8554.885374950301
2013-03-28,8637.744637786536
2013-03-29,8637.744637786534
2013-04-01,8570.572999308995
2013-04-02,8583.14565613195
2013-04-03,8452.049106257726
2013-04-04,8417.20629860841
2013-04-05,8349.457059093396
2013-04-08,8390.21919742035
2013-04-09,8460.694862146484
2013-04-10,8519.604679613416
2013-04-11,8542.44842063403
2013-04-12,8465.48432330865
2013-04-15,8222.87284732682
2013-04-16,8299.926842920277
2013-04-17,8179.646205265608
2013-04-18,8227.814372120416
2013-04-19,8293.039097075609
2013-04-22,8274.412037846892
2013-04-23,8286.932709270655
2013-04-24,8362.65716384281
2013-04-25,8461.221104028406
2013-04-26,8429.866098091808
2013-04-29,8509.073175026439
2013-04-30,8656.08044975017
2013-05-01,8568.011176634936
2013-05-02,8606.82368743903
2013-05-03,8640.7934960243
2013-05-06,8649.845990113865
2013-05-07,8710.318147824397
2013-05-08,8751.672898320609
2013-05-09,8716.596039176724
2013-05-10,8679.610868534815
2013-05-13,8691.640555974243
2013-05-14,8707.811065196856
2013-05-15,8658.596810822197
2013-05-16,8692.375586020542
2013-05-17,8710.736127856353
2013-05-20,8705.65179332966
2013-05-21,8732.422198494323
2013-05-22,8678.888527743558
2013-05-23,8592.896274493913
2013-05-24,8648.73565252063
2013-05-27,8674.469902939147
2013-05-28,8664.491369219571
2013-05-29,8590.891180416644
2013-05-30,8644.930717447522
2013-05-31,8562.759804485278
2013-06-03,8530.501317219607
2013-06-04,8490.149520180012
2013-06-05,8342.032294492028
2013-06-06,8361.4078926267
2013-06-07,8482.57843820906
2013-06-10,8502.665584205688
2013-06-11,8422.137742328567
2013-06-12,8341.199791670497
2013-06-13,8484.350144316648
2013-06-14,8428.76005801441
2013-06-17,8508.683994388679
2013-06-18,8576.59015988216
2013-06-19,8554.162412033656
2013-06-20,8290.785186922258
2013-06-21,8204.006120468533
2013-06-24,8064.11689137201
2013-06-25,8216.714891058602
2013-06-26,8268.120591773231
2013-06-27,8272.540260434935
2013-06-28,8267.679342538475
2013-07-01,8304.678240810252
2013-07-02,8358.918587864824
2013-07-03,8312.432677581546
2013-07-04,8347.834086980394
2013-07-05,8289.573877535944
2013-07-08,8379.199173468478
2013-07-09,8427.739331693496
2013-07-10,8467.287198809801
2013-07-11,8622.94408509388
2013-07-12,8635.81081989595
2013-07-15,8692.965698974798
2013-07-16,8641.647313414818
2013-07-17,8662.36923981071
2013-07-18,8741.06467550799
2013-07-19,8753.596729527484
2013-07-22,8769.636020708349
2013-07-23,8772.653524933881
2013-07-24,8794.73490794931
2013-07-25,8812.047692080389
2013-07-26,8780.620129958115
2013-07-29,8834.429330464201
2013-07-30,8796.425610028911
2013-07-31,8775.966686088215
2013-08-01,8858.272356468615
2013-08-02,8841.806220969976
2013-08-05,8815.023174911643
2013-08-06,8771.552593333296
2013-08-07,8681.070329806245
2013-08-08,8801.016259377355
2013-08-09,8827.507348890771
2013-08-12,8826.398805180705
2013-08-13,8862.774553509234
2013-08-14,8828.355835172239
2013-08-15,8768.571045248651
2013-08-16,8808.362995985663
2013-08-19,8713.892697902791
2013-08-20,8691.36935688303
2013-08-21,8602.014482843406
2013-08-22,8601.724435029606
2013-08-23,8624.05334757346
2013-08-26,8597.958343859049
2013-08-27,8473.479012688693
2013-08-28,8501.212754544615
2013-08-29,8571.990140954098
2013-08-30,8531.299691866185
2013-09-02,8536.154837285058
2013-09-03,8586.439965976939
2013-09-04,8663.254083533657
2013-09-05,8727.413968664625
2013-09-06,8809.557842954338
2013-09-09,8848.65615326752
2013-09-10,8878.05894954167
2013-09-11,8898.470537814295
2013-09-12,8854.333289251555
2013-09-13,8844.560474587443
2013-09-16,8961.12412423335
2013-09-17,8998.520878534202
2013-09-18,8966.679970192487
2013-09-19,9083.572027163214
2013-09-20,8962.65355395323
2013-09-23,8980.542941132599
2013-09-24,9028.460346957338
2013-09-25,8990.356956350135
2013-09-26,8980.83405993082
2013-09-27,9021.818268204961
2013-09-30,8991.978741937442
2013-10-01,9024.452377726404
2013-10-02,9004.738680703436
2013-10-03,8972.636964076632
2013-10-04,8998.58742383341
2013-10-07,9015.52164283921
2013-10-08,8947.814521482944
2013-10-09,8924.889018577016
2013-10-10,9077.274556307726
2013-10-11,9095.28538545634
2013-10-14,9129.569068830708
2013-10-15,9105.532879126604
2013-10-16,9159.818707071057
2013-10-17,9240.943815715516
2013-10-18,9315.583947669515
2013-10-21,9317.91503385057
2013-10-22,9352.66595059631
2013-10-23,9336.66662022327
2013-10-24,9319.92442000501
2013-10-25,9339.264604516575
2013-10-28,9300.951144849236
2013-10-29,9382.966862962665
2013-10-30,9393.837015715468
2013-10-31,9383.638357215681
2013-11-01,9433.983049551362
2013-11-04,9463.19714592247
2013-11-05,9444.904891503045
2013-11-06,9487.455671790507
2013-11-07,9432.721631786893
2013-11-08,9464.238217540009
2013-11-11,9473.068469611982
2013-11-12,9461.308145234538
2013-11-13,9488.385098275625
2013-11-14,9485.63974173937
2013-11-15,9556.664444132706
2013-11-18,9597.92003559474
2013-11-19,9542.018318266288
2013-11-20,9551.881756664352
2013-11-21,9554.077032701018
2013-11-22,9571.742578781379
2013-11-25,9549.615395385303
2013-11-26,9494.503037034605
2013-11-27,9482.650253992144
2013-11-28,9481.55648447868
2013-11-29,9487.523141939342
2013-12-02,9517.923957450399
2013-12-03,9400.012517375759
2013-12-04,9326.311966873083
2013-12-05,9305.881233177583
2013-12-06,9400.134645361259
2013-12-09,9376.117213248564
2013-12-10,9376.3138156896
2013-12-11,9253.958622159726
2013-12-12,9216.853825584361
2013-12-13,9252.57092679888
2013-12-16,9340.22684653367
2013-12-17,9326.571106117925
2013-12-18,9390.639479847869
2013-12-19,9418.161606245216
2013-12-20,9423.654076569954
2013-12-23,9534.979255746846
2013-12-24,9534.150967855274
2013-12-25,9534.150967855274
2013-12-26,9520.709333895244
2013-12-27,9514.042786143076
2013-12-30,9574.500562393445
2013-12-31,9611.876838286094
2014-01-01,9611.876838286094
2014-01-02,9544.927960648594
2014-01-03,9550.617438410432
2014-01-06,9448.343863894042
2014-01-07,9475.961507946822
2014-01-08,9458.551293203353
2014-01-09,9461.019557720025
2014-01-10,9464.31488518564
2014-01-13,9434.2441990919
2014-01-14,9396.78994906082
2014-01-15,9451.44304561898
2014-01-16,9502.065297405145
2014-01-17,9511.896911517697
2014-01-20,9540.147333615741
2014-01-21,9503.363783719302
2014-01-22,9490.230639289864
2014-01-23,9362.457798552206
2014-01-24,9235.09362719145
2014-01-27,9150.97915448931
2014-01-28,9131.708774698198
2014-01-29,9105.031783833145
2014-01-30,9200.964541562887
2014-01-31,9172.607079735357
2014-02-03,9083.908595816147
2014-02-04,9075.615282016126
2014-02-05,9102.595474676871
2014-02-06,9240.071492163666
2014-02-07,9337.291751197521
2014-02-10,9286.029920957037
2014-02-11,9350.229339450963
2014-02-12,9432.51400188799
2014-02-13,9497.780564255221
2014-02-14,9544.615623615138
2014-02-17,9549.400328161446
2014-02-18,9579.39823085123
2014-02-19,9548.143260914489
2014-02-20,9580.111493041353
2014-02-21,9522.900256128807
2014-02-24,9584.003666648898
2014-02-25,9540.166748262527
2014-02-26,9550.359577296424
2014-02-27,9569.390324212849
2014-02-28,9631.434077642269
2014-03-03,9614.235422787764
2014-03-04,9675.142245377961
2014-03-05,9719.805982260772
2014-03-06,9755.593644007045
2014-03-07,9709.280303771277
2014-03-10,9685.23404166797
2014-03-11,9698.301058757526
2014-03-12,9688.073653818903
2014-03-13,9654.814028850875
2014-03-14,9600.01580721642
2014-03-17,9669.958907485212
2014-03-18,9739.661198719316
2014-03-19,9660.834157683588
2014-03-20,9615.158375246694
2014-03-21,9627.528635233279
2014-03-24,9575.28311447175
2014-03-25,9622.03534971335
2014-03-26,9595.938579989659
2014-03-27,9619.393051234196
2014-03-28,9639.744787094387
2014-03-31,9756.08594029929
2014-04-01,9821.68997063034
2014-04-02,9866.28631148611
2014-04-03,9836.913447805902
2014-04-04,9835.26986380566
2014-04-07,9707.407591322297
2014-04-08,9798.291053179826
2014-04-09,9894.471709713505
2014-04-10,9767.752762241436
2014-04-11,9669.023250049051
2014-04-14,9654.264986968974
2014-04-15,9671.415485992646
2014-04-16,9759.03569108941
2014-04-17,9825.31295993529
2014-04-18,9825.31295993529
2014-04-21,9828.665908314477
2014-04-22,9900.505321339488
2014-04-23,9842.071425742293
2014-04-24,9898.977396147406
2014-04-25,9855.404135521967
2014-04-28,9864.664348474771
2014-04-29,9914.115262914298
2014-04-30,9995.715471111203
2014-05-01,10027.190599299398
2014-05-02,10088.298749507934
2014-05-05,10053.010769403369
2014-05-06,10026.762600780025
2014-05-07,10067.670270308041
2014-05-08,10056.415601597637
2014-05-09,10017.679972019236
2014-05-12,10086.846269516329
2014-05-13,10093.707112580554
2014-05-14,10059.54091952729
2014-05-15,10018.988261648912
2014-05-16,9971.006929163688
2014-05-19,9994.42921986367
2014-05-20,9951.54007910079
2014-05-21,10011.195897082764
2014-05-22,10078.894684001287
2014-05-23,10129.664402994167
2014-05-26,10167.490917708052
2014-05-27,10148.688029313562
2014-05-28,10121.526245729043
2014-05-29,10119.142598982477
2014-05-30,10098.634716046183
2014-06-02,10150.519665981967
2014-06-03,10195.279195737865
2014-06-04,10203.97319988043
2014-06-05,10188.756521353327
2014-06-06,10259.727105180036
2014-06-09,10290.031565135729
2014-06-10,10276.58070592223
2014-06-11,10315.676292737662
2014-06-12,10327.293650516025
2014-06-13,10382.893179961384
2014-06-16,10427.6284985985
2014-06-17,10433.67844196578
2014-06-18,10431.392947109012
2014-06-19,10440.83620783586
2014-06-20,10507.764240031376
2014-06-23,10524.744903281196
2014-06-24,10426.574436960444
2014-06-25,10464.378998757198
2014-06-26,10513.376057017194
2014-06-27,10601.966886847988
2014-06-30,10652.109357055897
2014-07-01,10645.61294958537
2014-07-02,10684.469884377797
2014-07-03,10714.052480267863
2014-07-04,10726.994278617263
2014-07-07,10642.53785700325
2014-07-08,10603.802024415407
2014-07-09,10672.325257805887
2014-07-10,10584.860080916958
2014-07-11,10510.706728793577
2014-07-14,10552.498828080394
2014-07-15,10483.679291379864
2014-07-16,10575.353739016038
2014-07-17,10545.362888808726
2014-07-18,10635.201906989074
2014-07-21,10622.282338674859
2014-07-22,10687.489782391898
2014-07-23,10754.619788198896
2014-07-24,10746.627642183686
2014-07-25,10723.70545693544
2014-07-28,10681.638615139393
2014-07-29,10642.8305606287
2014-07-30,10634.93305610438
2014-07-31,10508.387970241241
2014-08-01,10421.685710327518
2014-08-04,10401.643089335998
2014-08-05,10340.622309933067
2014-08-06,10362.149641579632
2014-08-07,10322.242037422602
2014-08-08,10353.195050443936
2014-08-11,10433.716756933245
2014-08-12,10439.917694024334
2014-08-13,10479.71979639709
2014-08-14,10515.387973777766
2014-08-15,10531.733792880872
2014-08-18,10580.850581209284
2014-08-19,10684.377173162575
2014-08-20,10722.13259919863
2014-08-21,10751.846436713024
2014-08-22,10727.347684876555
2014-08-25,10749.251292350287
2014-08-26,10760.05218680303
2014-08-27,10826.615343234726
2014-08-28,10826.674174501974
2014-08-29,10894.93859533043
2014-09-01,10876.38932568073
2014-09-02,10850.616482661753
2014-09-03,10920.383177241274
2014-09-04,10927.925656952108
2014-09-05,10890.960867552743
2014-09-08,10823.17074582889
2014-09-09,10757.246468953224
2014-09-10,10765.28426486622
2014-09-11,10770.287779234528
2014-09-12,10703.524446205267
2014-09-15,10654.189268805158
2014-09-16,10716.22164610998
2014-09-17,10761.325385873619
2014-09-18,10794.341547733993
2014-09-19,10654.815572296833
2014-09-22,10468.99844794726
2014-09-23,10423.666869243329
2014-09-24,10418.925073519731
2014-09-25,10239.02696262105
2014-09-26,10298.027274648652
2014-09-29,10272.307370292681
2014-09-30,10251.222881917456
2014-10-01,10121.139583724806
2014-10-02,10106.530645771709
2014-10-03,10084.710651672918
2014-10-06,10109.870081650524
2014-10-07,10010.081074728367
2014-10-08,10018.63031809209
2014-10-09,9946.604526138557
2014-10-10,9699.045309839412
2014-10-13,9680.879873807611
2014-10-14,9459.48409217979
2014-10-15,9283.262916182883
2014-10-16,9526.538235039636
2014-10-17,9725.614070380061
2014-10-20,9751.288460085294
2014-10-21,9972.049264942852
2014-10-22,9825.99496798915
2014-10-23,9937.94180655848
2014-10-24,9986.728507364327
2014-10-27,9903.827367667785
2014-10-28,10072.863799934787
2014-10-29,10070.847693935455
2014-10-30,10006.905118913739
2014-10-31,10071.831534799634
2014-11-03,10002.996428332874
2014-11-04,9912.045091465438
2014-11-05,10017.59412798175
2014-11-06,9991.153088542094
2014-11-07,10031.234545636937
2014-11-10,10135.335638820989
2014-11-11,10112.43690677835
2014-11-12,10198.557701559495
2014-11-13,10173.36073355914
2014-11-14,10170.26654281983
2014-11-17,10197.119643595013
2014-11-18,10237.191155460432
2014-11-19,10271.530863050135
2014-11-20,10307.392694733302
2014-11-21,10360.45648238818
2014-11-24,10300.46877114983
2014-11-25,10357.183540832448
2014-11-26,10416.194501482025
2014-11-27,10363.151651459784
2014-11-28,10200.153689194796
2014-12-01,10087.313364835678
2014-12-02,10129.69584325922
2014-12-03,10233.921845298944
2014-12-04,10114.776324481802
2014-12-05,10078.138293771053
2014-12-08,9846.922395112488
2014-12-09,9883.665225041968
2014-12-10,9641.619182458757
2014-12-11,9659.095854176252
2014-12-12,9535.51682404656
2014-12-15,9528.674471735363
2014-12-16,9587.388227542087
2014-12-17,9709.403428858266
2014-12-18,9846.203746006655
2014-12-19,9917.90375951945
2014-12-22,9923.735582662412
2014-12-23,10070.045227251077
2014-12-24,10077.21371447839
2014-12-25,10077.213714478392
2014-12-26,10075.47768558577
2014-12-29,10126.296699432678
2014-12-30,10125.391758069905
2014-12-31,10147.110824528763
2015-01-01,10147.110824528765
2015-01-02,10084.816254094818
2015-01-05,9791.182555866544
2015-01-06,9622.520010585664
2015-01-07,9610.553136377332
2015-01-08,9790.969864303072
2015-01-09,9674.999870024056
2015-01-12,9540.094271401067
2015-01-13,9531.942899583164
2015-01-14,9436.59622266787
2015-01-15,9412.206580205077
2015-01-16,9467.197592147675
2015-01-19,9499.75716076022
2015-01-20,9389.861768068253
2015-01-21,9419.011282155278
2015-01-22,9545.33645195908
2015-01-23,9515.826174650218
2015-01-26,9505.537900379262
2015-01-27,9554.614862206381
2015-01-28,9411.831880493426
2015-01-29,9380.609164985663
2015-01-30,9237.310630142854
2015-02-02,9422.246384117354
2015-02-03,9568.913466617818
2015-02-04,9499.52549252904
2015-02-05,9675.10409602527
2015-02-06,9614.014876853093
2015-02-09,9606.968465964015
2015-02-10,9644.017652337288
2015-02-11,9579.325665001064
2015-02-12,9737.903981972293
2015-02-13,9778.199605875629
2015-02-16,9755.476917581189
2015-02-17,9854.92105481023
2015-02-18,9800.339333974449
2015-02-19,9742.830406837807
2015-02-20,9760.060155265599
2015-02-23,9768.815483349594
2015-02-24,9742.633498435247
2015-02-25,9879.927187082701
2015-02-26,9883.256174013497
2015-02-27,9866.7636474598
2015-03-02,9908.886380735154
2015-03-03,9863.728086537518
2015-03-04,9851.85362559329
2015-03-05,9866.78084895925
2015-03-06,9706.640368267068
2015-03-09,9695.814330837464
2015-03-10,9534.4642362346
2015-03-11,9466.652711062052
2015-03-12,9577.241848257618
2015-03-13,9458.52084586538
2015-03-16,9601.16888758631
2015-03-17,9629.018158574738
2015-03-18,9639.389674187903
2015-03-19,9630.169758527225
2015-03-20,9750.606280210764
2015-03-23,9776.313793418003
2015-03-24,9881.670831458276
2015-03-25,9765.976576179743
2015-03-26,9758.848130317401
2015-03-27,9659.937564239435
2015-03-30,9659.283550273944
2015-03-31,9678.816033617846
2015-04-01,9681.341813274455
2015-04-02,9794.535679877072
2015-04-03,9794.535679877074
2015-04-06,9907.175619662268
2015-04-07,9949.344007957458
2015-04-08,9972.425098590084
2015-04-09,9991.843910494352
2015-04-10,10035.047699280603
2015-04-13,10026.921359725498
2015-04-14,10111.774551004739
2015-04-15,10134.634249246341
2015-04-16,10251.4674734206
2015-04-17,10241.540684545816
2015-04-20,10297.686596530448
2015-04-21,10206.030222909176
2015-04-22,10208.002024191635
2015-04-23,10318.159319205279
2015-04-24,10320.335628679362
2015-04-27,10322.336523387847
2015-04-28,10375.51898611078
2015-04-29,10410.664374153976
2015-04-30,10190.984927999716
2015-05-01,10235.442983916171
2015-05-04,10311.81027180216
2015-05-05,10251.885683380251
2015-05-06,10206.673334609537
2015-05-07,10117.078610995039
2015-05-08,10182.523114943097
2015-05-11,10225.895829232451
2015-05-12,10204.750669668467
2015-05-13,10159.243369561798
2015-05-14,10229.815992027205
2015-05-15,10260.04857709923
2015-05-18,10154.758761087951
2015-05-19,10106.9740984129
2015-05-20,10087.042781309556
2015-05-21,10182.646799024393
2015-05-22,10124.243721814764
2015-05-25,10119.239240016368
2015-05-26,9951.324247874545
2015-05-27,9967.00549384744
2015-05-28,9934.01841817265
2015-05-29,9866.52029561131
2015-06-01,9902.612567093394
2015-06-02,9972.742200759087
2015-06-03,10023.866568154574
2015-06-04,9938.681374446436
2015-06-05,9877.487512487924
2015-06-08,9778.801657702023
2015-06-09,9882.638234829927
2015-06-10,9984.652547236235
2015-06-11,9929.733014778165
2015-06-12,9890.918778430336
2015-06-15,9870.586299026456
2015-06-16,9874.250151866638
2015-06-17,9865.578038796082
2015-06-18,10011.709303790003
2015-06-19,9907.121379499253
2015-06-22,10015.65813067983
2015-06-23,10025.149132807344
2015-06-24,9991.38433099694
2015-06-25,10027.15054432325
2015-06-26,9954.062954111809
2015-06-29,9740.374258085461
2015-06-30,9724.512909621679
2015-07-01,9678.386592807063
2015-07-02,9776.607074299533
2015-07-03,9798.613948430591
2015-07-06,9742.63848543042
2015-07-07,9660.688619868206
2015-07-08,9543.56950723524
2015-07-09,9443.894975054873
2015-07-10,9571.177973139445
2015-07-13,9681.508230155478
2015-07-14,9778.433128728586
2015-07-15,9728.560167340245
2015-07-16,9754.77770276789
2015-07-17,9720.845291504244
2015-07-20,9628.773482340945
2015-07-21,9611.882698430716
2015-07-22,9523.086590990402
2015-07-23,9547.367038443032
2015-07-24,9478.249919434105
2015-07-27,9438.116154306948
2015-07-28,9507.800784492994
2015-07-29,9678.413116146223
2015-07-30,9612.571010828375
2015-07-31,9682.282500836258
2015-08-03,9600.735838005286
2015-08-04,9658.145605247724
2015-08-05,9665.273594220334
2015-08-06,9539.392486974913
2015-08-07,9548.321981826304
2015-08-10,9595.489845052572
2015-08-11,9560.331958544304
2015-08-12,9597.81836170487
2015-08-13,9537.527006348037
2015-08-14,9614.550102918727
2015-08-17,9595.961428628947
2015-08-18,9575.892830349496
2015-08-19,9470.933889196498
2015-08-20,9281.578805986097
2015-08-21,9005.413056614205
2015-08-24,8747.299733318308
2015-08-25,8737.203023204213
2015-08-26,8882.027219128917
2015-08-27,9092.620431932593
2015-08-28,9152.293891311603
2015-08-31,9046.134925859798
2015-09-01,8946.168856420394
2015-09-02,8971.862608008409
2015-09-03,9093.252359249671
2015-09-04,8974.022317516416
2015-09-07,8946.689242096436
2015-09-08,9059.70999994437
2015-09-09,9026.738529980928
2015-09-10,9018.232332116475
2015-09-11,8951.41979602649
2015-09-14,8899.09091180366
2015-09-15,8962.064985969539
2015-09-16,9153.85129176644
2015-09-17,9165.24030138487
2015-09-18,9190.426382127005
2015-09-21,9184.100395399011
2015-09-22,9012.683195848122
2015-09-23,8993.193319825741
2015-09-24,8904.932602645697
2015-09-25,8919.262285360102
2015-09-28,8654.279114519246
2015-09-29,8602.034979553695
2015-09-30,8771.327981099319
2015-10-01,8855.228572602819
2015-10-02,8942.591208061354
2015-10-05,9093.40980387409
2015-10-06,9088.064973682325
2015-10-07,9188.785172490105
2015-10-08,9198.182616606673
2015-10-09,9263.918591121079
2015-10-12,9242.112724477893
2015-10-13,9240.134521645701
2015-10-14,9222.335189286656
