Date,AUSTRALIA IMI MOMENTUM
2004-07-29,2978.382300080902
2004-07-30,3022.1893095939695
2004-08-02,3053.432451290614
2004-08-03,3057.6730653753343
2004-08-04,3053.00653891729
2004-08-05,3045.632954676418
2004-08-06,3093.108754405941
2004-08-09,3081.1831376729683
2004-08-10,3070.5482515698977
2004-08-11,3065.542499240661
2004-08-12,3061.8318083908716
2004-08-13,3069.529227937754
2004-08-16,3072.6740183464367
2004-08-17,3059.104192597716
2004-08-18,3057.961953103211
2004-08-19,3114.5299989983364
2004-08-20,3129.176014339892
2004-08-23,3133.022420377661
2004-08-24,3079.432234496504
2004-08-25,3079.2940530927067
2004-08-26,3076.770905737545
2004-08-27,3114.796426098165
2004-08-30,3089.1713678097617
2004-08-31,3118.650345472682
2004-09-01,3127.392697516274
2004-09-02,3103.5690959578465
2004-09-03,3073.260183200906
2004-09-06,3079.022991257541
2004-09-07,3097.969707063894
2004-09-08,3101.9889845044377
2004-09-09,3071.9230372479965
2004-09-10,3135.5640346666364
2004-09-13,3133.67536650553
2004-09-14,3186.966372393834
2004-09-15,3147.9670187139673
2004-09-16,3165.5963600875407
2004-09-17,3160.810702963303
2004-09-20,3182.63662806068
2004-09-21,3192.6525314958067
2004-09-22,3229.8244451705696
2004-09-23,3270.903063587148
2004-09-24,3256.3580874505324
2004-09-27,3258.7478620537527
2004-09-28,3285.8677719687626
2004-09-29,3302.7665823033076
2004-09-30,3356.7946046115135
2004-10-01,3344.488307737937
2004-10-04,3356.7933980361086
2004-10-05,3384.787490656878
2004-10-06,3398.0378587496134
2004-10-07,3411.346075096025
2004-10-08,3433.699107658865
2004-10-11,3434.703669924239
2004-10-12,3436.1611995984645
2004-10-13,3406.1666967154174
2004-10-14,3432.463459861825
2004-10-15,3446.434487171135
2004-10-18,3415.6551249761615
2004-10-19,3428.574781873166
2004-10-20,3445.4736467550556
2004-10-21,3455.7509792014857
2004-10-22,3474.1945850724323
2004-10-25,3482.9747635465883
2004-10-26,3502.408231107038
2004-10-27,3555.3692856890343
2004-10-28,3572.9677789237653
2004-10-29,3578.5202223816887
2004-11-01,3593.523254156746
2004-11-02,3588.0126807004663
2004-11-03,3662.559870150613
2004-11-04,3684.429028076985
2004-11-05,3690.453412514089
2004-11-08,3665.7388978803315
2004-11-09,3681.166359427215
2004-11-10,3694.90204417988
2004-11-11,3726.8900916520624
2004-11-12,3754.1567660538662
2004-11-15,3789.6490829404056
2004-11-16,3797.204833405948
2004-11-17,3846.108329820686
2004-11-18,3832.2570586361458
2004-11-19,3871.6974063479174
2004-11-22,3841.5885889148713
2004-11-23,3885.8037557597177
2004-11-24,3920.2329295796726
2004-11-25,3984.399994085149
2004-11-26,3968.170088815486
2004-11-29,3965.9194072201594
2004-11-30,3905.3466736076043
2004-12-01,3866.4762356085225
2004-12-02,3907.1846952192914
2004-12-03,3908.274272015866
2004-12-06,3925.8196601352925
2004-12-07,3900.877233391266
2004-12-08,3745.4874102034332
2004-12-09,3722.3427892066115
2004-12-10,3724.4060684650835
2004-12-13,3766.377761330155
2004-12-14,3786.3515986337666
2004-12-15,3842.8233992851606
2004-12-16,3835.3537735672617
2004-12-17,3864.0459065880586
2004-12-20,3907.763419325809
2004-12-21,3931.9436627946693
2004-12-22,3955.89745220871
2004-12-23,3957.994093473604
2004-12-24,4003.800670355265
2004-12-27,4031.062136562861
2004-12-28,4033.139200654865
2004-12-29,4007.3023055670997
2004-12-30,4037.43890154297
2004-12-31,4074.2454569759016
2005-01-03,4037.6037546265197
2005-01-04,4000.3793869245865
2005-01-05,3967.825362153377
2005-01-06,3925.5784546819787
2005-01-07,3948.1782367517026
2005-01-10,3964.5087921360764
2005-01-11,3991.5932897863054
2005-01-12,4012.718760818874
2005-01-13,4013.40276214356
2005-01-14,3981.8453333685457
2005-01-17,3991.476885980437
2005-01-18,3955.719045136852
2005-01-19,3967.211906994165
2005-01-20,3949.991906693155
2005-01-21,3993.9657545748673
2005-01-24,4000.651625059113
2005-01-25,3996.4335228040145
2005-01-26,4047.6564478935793
2005-01-27,4109.606144940326
2005-01-28,4097.217936494039
2005-01-31,4121.204960473272
2005-02-01,4130.873485241859
2005-02-02,4152.027937031886
2005-02-03,4134.732936083689
2005-02-04,4153.944460522601
2005-02-07,4185.855044863732
2005-02-08,4132.690078567828
2005-02-09,4132.472500913036
2005-02-10,4186.209734368377
2005-02-11,4208.917985965914
2005-02-14,4219.954437687584
2005-02-15,4194.452317309421
2005-02-16,4174.626528258173
2005-02-17,4220.153256124334
2005-02-18,4226.843858390333
2005-02-21,4264.851202517648
2005-02-22,4257.619343030041
2005-02-23,4163.901991244016
2005-02-24,4146.365126942088
2005-02-25,4180.281681645787
2005-02-28,4290.833133905308
2005-03-01,4274.337574522983
2005-03-02,4245.678138390934
2005-03-03,4274.1931133668995
2005-03-04,4338.001818277959
2005-03-07,4359.318994226206
2005-03-08,4409.023419311491
2005-03-09,4376.418699160241
2005-03-10,4340.703755482181
2005-03-11,4351.838933329302
2005-03-14,4354.2576764441865
2005-03-15,4361.7994280748235
