Date,MALAYSIA VALUE
2016-07-14,473.87052537532895
2016-07-15,478.08145441038675
2016-07-18,474.94259583023637
2016-07-19,472.2714853157296
2016-07-20,469.53475059255794
2016-07-21,463.66379064357
2016-07-22,463.1342937666793
2016-07-25,464.31653873508407
2016-07-26,463.0249328957814
2016-07-27,462.3607474272653
2016-07-28,462.89985160453944
2016-07-29,457.7317138979652
2016-08-01,466.7831109482708
2016-08-02,464.1800763425189
2016-08-03,457.4284384848126
2016-08-04,461.2390769788666
2016-08-05,466.2327436215632
2016-08-08,467.2481794331053
2016-08-09,469.24342821649014
2016-08-10,474.9659178022275
2016-08-11,474.23654708865246
2016-08-12,473.0007263290203
2016-08-15,477.445919245247
2016-08-16,482.57446249154947
2016-08-17,478.34538373772455
2016-08-18,481.80468229514
2016-08-19,477.404522341954
2016-08-22,477.1363937540267
2016-08-23,474.1256929776477
2016-08-24,473.46767842442597
2016-08-25,475.5123358582785
2016-08-26,476.77761911571884
2016-08-29,472.31866763413484
2016-08-30,469.0794703406351
2016-08-31,469.0794703406351
2016-09-01,464.49223246881024
2016-09-02,463.21527244901847
2016-09-05,466.4011134819606
2016-09-06,468.26565558777645
2016-09-07,471.2252237318516
2016-09-08,473.78843297273096
2016-09-09,469.3675160096779
2016-09-12,469.3675160096779
2016-09-13,463.19694179906236
2016-09-14,456.6966607860086
2016-09-15,453.40460689520603
2016-09-16,453.40460689520603
2016-09-19,452.3762277339291
2016-09-20,453.5358732495012
2016-09-21,455.50169378375017
2016-09-22,463.101067988409
2016-09-23,462.92904917609974
2016-09-26,460.87119962660057
2016-09-27,458.3957919757769
2016-09-28,457.3143834174654
2016-09-29,461.0894026235087
2016-09-30,454.1774028425545
2016-10-03,454.1774028425545
2016-10-04,457.89399996747323
2016-10-05,457.63215460370765
2016-10-06,457.8312473260738
2016-10-07,456.6934995628843
2016-10-10,455.53770782728765
2016-10-11,454.77772421357804
2016-10-12,451.45896894797073
2016-10-13,449.0383829960506
2016-10-14,449.709828733382
2016-10-17,446.49531827527034
2016-10-18,454.1631135671812
2016-10-19,454.93154186894594
2016-10-20,454.15670141751485
2016-10-21,454.4345785137344
2016-10-24,457.56653318799215
2016-10-25,459.9512393431005
2016-10-26,458.8831249294928
2016-10-27,455.00710801816086
2016-10-28,454.39102384833484
2016-10-31,455.47819785386685
2016-11-01,455.0444695371366
2016-11-02,451.7606978112039
2016-11-03,448.7026847168563
2016-11-04,447.9059004038434
2016-11-07,447.5372450602814
2016-11-08,452.52236219271435
2016-11-09,444.7563987604731
2016-11-10,441.6674354978061
2016-11-11,434.47236239561346
2016-11-14,424.80022082015444
2016-11-15,428.5557890775165
2016-11-16,427.21360202714925
2016-11-17,423.024207724499
2016-11-18,421.36822453822566
2016-11-21,421.71539075074054
2016-11-22,422.24332604617115
2016-11-23,420.0799979270597
2016-11-24,418.17197365884255
2016-11-25,418.61097629417304
2016-11-28,417.6758481532392
2016-11-29,416.8684189770568
2016-11-30,415.557356650839
2016-12-01,418.86625298204655
2016-12-02,420.1510664907451
2016-12-05,419.9179716716783
2016-12-06,422.0679408736113
2016-12-07,421.5352000653429
2016-12-08,426.7370768062076
2016-12-09,425.479132994106
2016-12-12,425.4791329941061
2016-12-13,426.906582580953
2016-12-14,425.45241252352855
2016-12-15,421.8155009366032
2016-12-16,418.811797445004
2016-12-19,418.50450918882444
2016-12-20,417.84647477918406
2016-12-21,417.51248617196825
2016-12-22,414.8525345241438
2016-12-23,412.70365812595094
2016-12-26,412.70365812595094
2016-12-27,412.65311383790754
2016-12-28,416.2857143183493
2016-12-29,418.14773929219524
2016-12-30,419.0739380931532
2017-01-02,419.0739380931532
2017-01-03,417.3867034634377
2017-01-04,421.25034576057834
2017-01-05,425.8640232192193
2017-01-06,429.64383663121123
2017-01-09,427.7197215259352
2017-01-10,429.40675275829767
2017-01-11,431.53601674386
2017-01-12,434.6918498713031
2017-01-13,431.4740004781827
2017-01-16,426.811753428789
2017-01-17,429.5700294079438
2017-01-18,432.20527215534804
2017-01-19,432.3585623837254
2017-01-20,431.5951615315495
2017-01-23,434.14975688392053
2017-01-24,436.9142826939998
2017-01-25,436.96582510370655
2017-01-26,440.6001001093331
2017-01-27,440.15744551974115
2017-01-30,440.15744551974115
2017-01-31,434.8956682393667
2017-02-01,434.8956682393667
2017-02-02,435.5294365398508
2017-02-03,438.0405199730184
2017-02-06,439.721349113351
2017-02-07,437.55311534785113
2017-02-08,438.93481711573395
2017-02-09,438.93481711573395
2017-02-10,441.8462588477633
2017-02-13,444.7462692490287
2017-02-14,445.03076769742194
2017-02-15,446.1391288817327
2017-02-16,444.82666713631596
2017-02-17,445.4689833844413
2017-02-20,447.0813691767934
2017-02-21,446.42712398411464
2017-02-22,447.4065487414684
2017-02-23,447.60971986902445
2017-02-24,449.4402050540703
2017-02-27,447.97942940979885
2017-02-28,447.90373848395274
2017-03-01,447.352408611953
2017-03-02,453.3092722090668
2017-03-03,451.0680144058825
2017-03-06,457.55664633642823
2017-03-07,459.2370344877851
2017-03-08,457.0957805484496
2017-03-09,454.3142939505473
2017-03-10,454.5765791423009
2017-03-13,457.1395663458722
2017-03-14,456.70526963237415
2017-03-15,455.0607144544228
2017-03-16,462.9943226558993
2017-03-17,464.6241841910532
2017-03-20,466.1015278407012
2017-03-21,467.3046675147093
2017-03-22,466.27523690463863
2017-03-23,467.0165655422117
2017-03-24,466.7339105823527
2017-03-27,466.36387700241653
2017-03-28,470.0998686266594
2017-03-29,468.54594356227585
2017-03-30,467.41386670838506
2017-03-31,464.055217163814
2017-04-03,467.0477729634042
2017-04-04,467.96000508191344
2017-04-05,466.75806188124244
2017-04-06,464.44695773609016
2017-04-07,464.65760519215434
2017-04-10,464.637777280582
2017-04-11,464.292920746704
2017-04-12,466.86652076860025
2017-04-13,466.6669614723617
2017-04-14,464.48799576622343
2017-04-17,466.3412929451369
2017-04-18,468.5146213493009
2017-04-19,469.78926340407224
2017-04-20,471.20544946849617
2017-04-21,474.75645873592646
2017-04-24,474.75645873592646
2017-04-25,481.3147482578791
2017-04-26,485.9181588825847
2017-04-27,485.56765497523503
2017-04-28,487.2964107837221
2017-05-01,487.296410783722
2017-05-02,491.88120324669353
2017-05-03,491.23477711557223
2017-05-04,487.57137712166167
2017-05-05,486.77040625565854
2017-05-08,489.8215269948895
2017-05-09,487.8105234342025
2017-05-10,487.8105234342025
2017-05-11,490.0887843116369
2017-05-12,491.6586911183771
2017-05-15,495.1795528613089
2017-05-16,494.1426212403813
2017-05-17,494.10642994854175
2017-05-18,491.0821607331926
2017-05-19,492.77065490773646
2017-05-22,495.3177434993056
2017-05-23,494.01726947040515
2017-05-24,495.728361875192
2017-05-25,500.04815936777504
2017-05-26,500.4956934699135
2017-05-29,496.4058980190564
2017-05-30,495.6561707749602
2017-05-31,497.55428626899106
2017-06-01,495.4081431246121
2017-06-02,500.09462253449016
2017-06-05,505.3133187586639
