Date,CZECH REPUBLIC VALUE
2008-06-13,1305.4007016090359
2008-06-16,1316.385350389429
2008-06-17,1344.4915254214893
2008-06-18,1352.1039436942986
2008-06-19,1344.7078848416415
2008-06-20,1313.638430212665
2008-06-23,1305.22213274432
2008-06-24,1282.8964797191106
2008-06-25,1289.902469968419
2008-06-26,1286.843529874371
2008-06-27,1298.8828541443916
2008-06-30,1317.304835770656
2008-07-01,1313.6652441402834
2008-07-02,1332.5196241293029
2008-07-03,1296.9773551944982
2008-07-04,1283.1784997448324
2008-07-07,1324.0939996529023
2008-07-08,1315.9798451327063
2008-07-09,1354.6352781843193
2008-07-10,1358.313168883017
2008-07-11,1369.458996688977
2008-07-14,1369.2320302003438
2008-07-15,1355.7660248403486
2008-07-16,1342.198477252705
2008-07-17,1381.4004285301992
2008-07-18,1370.6464832008687
2008-07-21,1391.6017728777367
2008-07-22,1365.3239353002896
2008-07-23,1335.3724893997226
2008-07-24,1311.2676891317496
2008-07-25,1300.136399383736
2008-07-28,1312.817507786543
2008-07-29,1294.436161598388
2008-07-30,1305.2826178026853
2008-07-31,1322.7741644198197
2008-08-01,1297.9515145045186
2008-08-04,1295.328052674834
2008-08-05,1281.1431785316233
2008-08-06,1279.9331462097998
2008-08-07,1243.5020254915005
2008-08-08,1199.053594873086
2008-08-11,1209.4855011018024
2008-08-12,1212.800920692005
2008-08-13,1221.6756525651742
2008-08-14,1207.8656151994082
2008-08-15,1182.3664676461842
2008-08-18,1195.630410176937
2008-08-19,1176.261225855435
2008-08-20,1192.3681975511713
2008-08-21,1207.6771613754477
2008-08-22,1200.4249189421087
2008-08-25,1199.1456444402618
2008-08-26,1168.2587392971725
2008-08-27,1174.0742698748043
2008-08-28,1174.111414351561
2008-08-29,1189.8740363158408
2008-09-01,1168.5324779778102
2008-09-02,1169.9581525912424
2008-09-03,1154.6964123215598
2008-09-04,1137.1761907783653
2008-09-05,1079.629881210992
2008-09-08,1103.6008174528108
2008-09-09,1077.721769284653
2008-09-10,1034.9931876083679
2008-09-11,1014.6455821789472
2008-09-12,1037.4920989160807
2008-09-15,1020.5916761955795
2008-09-16,975.8421423919959
2008-09-17,999.5429142308403
2008-09-18,1010.2575812369732
2008-09-19,1101.2152469564012
2008-09-22,1111.0724385967862
2008-09-23,1087.737290040233
2008-09-24,1079.5267362917489
2008-09-25,1096.375281436402
2008-09-26,1091.4708700214405
2008-09-29,1022.4949979216916
2008-09-30,1024.4926931056482
2008-10-01,1059.1133149974994
2008-10-02,1026.4263525112808
2008-10-03,998.8696290720655
2008-10-06,886.465539146329
2008-10-07,913.1702828409661
2008-10-08,895.1891926190767
2008-10-09,894.9952330541001
2008-10-10,758.0249099782225
2008-10-13,835.2317527890634
2008-10-14,912.7977754993659
2008-10-15,841.4070328905798
2008-10-16,772.6975293481948
2008-10-17,705.3920178780049
2008-10-20,709.0027030185497
2008-10-21,722.7722835030592
2008-10-22,681.6571570058362
2008-10-23,702.5078593177382
2008-10-24,614.5255268941816
