Date,CHINA A INTERNATIONAL EQUAL WEIGHTED
2010-05-12,1472.6406803343878
2010-05-13,1504.516466018273
2010-05-14,1493.2326228519933
2010-05-17,1411.1866955237638
2010-05-18,1442.6793364019481
2010-05-19,1439.3027298797574
2010-05-20,1423.288671698724
2010-05-21,1445.577992548611
2010-05-24,1500.5640493134035
2010-05-25,1468.4612856502827
2010-05-26,1470.0032076062391
2010-05-27,1496.0395808151043
2010-05-28,1490.086018250923
2010-05-31,1448.0122069365864
2010-06-01,1431.7986712842733
2010-06-02,1441.6762744678695
2010-06-03,1430.339968311143
2010-06-04,1434.761525052523
2010-06-07,1412.0209470388736
2010-06-08,1415.8231099439784
2010-06-09,1459.1437165865264
2010-06-10,1441.1590707304108
2010-06-11,1445.1641174297542
2010-06-14,1445.1641174297542
2010-06-15,1445.1641174297542
2010-06-16,1445.1641174297542
2010-06-17,1435.5247714748646
2010-06-18,1412.9342550169622
2010-06-21,1461.775589965248
2010-06-22,1459.6683998301557
2010-06-23,1443.4536418306336
2010-06-24,1445.8801711854278
2010-06-25,1433.8783225382438
2010-06-28,1422.4265005204952
2010-06-29,1357.0705357069203
2010-06-30,1344.0037031855595
2010-07-01,1324.5233312135988
2010-07-02,1330.1606741652263
2010-07-05,1317.1348160266505
2010-07-06,1343.2860410379571
2010-07-07,1354.57746185714
2010-07-08,1353.1148719932812
2010-07-09,1393.8064756598046
2010-07-12,1409.712766014163
2010-07-13,1386.0082803853788
2010-07-14,1395.4434116508637
2010-07-15,1370.4592611906005
2010-07-16,1376.5676843158597
2010-07-19,1413.5412196789212
2010-07-20,1449.334412689734
2010-07-21,1454.269663729408
2010-07-22,1471.0305826570823
2010-07-23,1476.9653109179105
2010-07-26,1488.040932420168
2010-07-27,1479.9998186653763
2010-07-28,1519.185212765195
2010-07-29,1526.6633966236493
2010-07-30,1522.8754883755787
2010-08-02,1547.3761076830224
2010-08-03,1521.5412536162833
2010-08-04,1526.6377395073428
2010-08-05,1512.3862769391483
2010-08-06,1540.2905434278039
2010-08-09,1552.1598154712606
2010-08-10,1503.8188393447335
2010-08-11,1511.722582365627
2010-08-12,1490.7574018944651
2010-08-13,1510.8272752289545
2010-08-16,1545.0970918387318
2010-08-17,1560.8568463069887
2010-08-18,1557.5220780963157
2010-08-19,1567.749347986233
2010-08-20,1534.7881099131207
2010-08-23,1531.2521265107703
2010-08-24,1541.2869306075636
2010-08-25,1504.1670798367031
2010-08-26,1509.5124410090598
2010-08-27,1514.8226056891344
2010-08-30,1545.0915362901592
2010-08-31,1539.2465904651835
2010-09-01,1527.7396037454869
2010-09-02,1547.1559256491516
2010-09-03,1546.810783537375
2010-09-06,1582.8246518345436
2010-09-07,1587.5782621968028
2010-09-08,1590.0806831618206
2010-09-09,1561.4083391676081
2010-09-10,1566.2946432045935
2010-09-13,1583.8042250490967
2010-09-14,1586.6234456642294
2010-09-15,1560.0067278399079
2010-09-16,1535.3176876185985
2010-09-17,1537.060526287568
2010-09-20,1530.2503069953868
2010-09-21,1536.571853720452
2010-09-22,1536.571853720452
2010-09-23,1536.571853720452
2010-09-24,1536.571853720452
2010-09-27,1567.369991841387
2010-09-28,1553.8380598270135
2010-09-29,1553.3421124431447
2010-09-30,1584.9784808654351
2010-10-01,1584.9784808654351
2010-10-04,1584.9784808654351
2010-10-05,1584.9784808654351
2010-10-06,1584.9784808654351
2010-10-07,1584.9784808654351
2010-10-08,1651.4682686781973
2010-10-11,1704.1620482570545
2010-10-12,1727.6873982699124
2010-10-13,1752.7040181061363
2010-10-14,1766.945764638234
2010-10-15,1827.9297508858037
2010-10-18,1817.622644078802
2010-10-19,1855.4983670588376
2010-10-20,1863.907431188144
2010-10-21,1857.5108424367202
2010-10-22,1857.8934434720377
2010-10-25,1915.2385485773057
2010-10-26,1908.6393342151705
2010-10-27,1871.246962427736
2010-10-28,1862.7660720993529
2010-10-29,1859.9509742834223
2010-11-01,1913.9426212871276
2010-11-02,1915.1998808432454
2010-11-03,1885.1947432289942
2010-11-04,1919.3942175012091
2010-11-05,1944.2796141516428
2010-11-08,1953.7574824174765
2010-11-09,1953.9753851333076
2010-11-10,1940.2962144637022
2010-11-11,1952.5235104619153
2010-11-12,1823.9726259932497
2010-11-15,1829.3530760313267
2010-11-16,1756.318173555406
2010-11-17,1714.4773961795513
2010-11-18,1743.0131876983774
2010-11-19,1759.3817847974706
2010-11-22,1752.7508401736452
2010-11-23,1710.8637788134288
2010-11-24,1745.5797713511251
2010-11-25,1773.7322533754193
2010-11-26,1753.3775165454367
2010-11-29,1748.4507586215764
2010-11-30,1719.853763161099
2010-12-01,1720.4871206119221
2010-12-02,1728.7877463159289
2010-12-03,1729.628719329471
2010-12-06,1738.100190948468
2010-12-07,1760.4126482526922
2010-12-08,1742.9645473991282
2010-12-09,1720.3406705219911
2010-12-10,1739.1260895083349
2010-12-13,1794.5682049832758
2010-12-14,1803.7164342383649
2010-12-15,1792.7020834701516
2010-12-16,1782.8076251358743
2010-12-17,1782.7650663818285
2010-12-20,1751.6001797883453
2010-12-21,1792.4262481156436
2010-12-22,1782.0293293983996
2010-12-23,1766.5627798287167
2010-12-24,1756.658140162515
2010-12-27,1724.423890749034
2010-12-28,1695.8121406166479
2010-12-29,1706.1388303999008
2010-12-30,1716.0659074868358
2010-12-31,1758.3879954768163
2011-01-03,1758.3879954768163
2011-01-04,1790.3340606106212
2011-01-05,1783.014523211113
2011-01-06,1774.0289705752507
2011-01-07,1771.7728279920123
2011-01-10,1736.211835839701
2011-01-11,1752.433396787232
2011-01-12,1763.5668148453105
2011-01-13,1762.5657325713344
2011-01-14,1738.1714570382553
2011-01-17,1672.1189782618956
2011-01-18,1675.4336597111915
2011-01-19,1717.5532291805005
2011-01-20,1658.9314958624457
2011-01-21,1680.2762407281205
2011-01-24,1665.5681357787662
2011-01-25,1656.1954664294306
2011-01-26,1680.2507041345225
2011-01-27,1710.755122735179
2011-01-28,1715.970663113261
2011-01-31,1734.549149921865
2011-02-01,1735.1394033473882
2011-02-02,1735.1394033473887
2011-02-03,1735.1394033473891
2011-02-04,1735.1394033473896
2011-02-07,1735.13940334739
2011-02-08,1735.1394033473905
2011-02-09,1713.326688596179
2011-02-10,1748.1821924760754
2011-02-11,1754.9654818466279
2011-02-14,1808.3942226933461
2011-02-15,1812.1312866778321
2011-02-16,1831.622407760992
2011-02-17,1828.7817390688742
2011-02-18,1813.2797646452048
2011-02-21,1839.7653618616532
2011-02-22,1780.9183056414581
2011-02-23,1786.9089197818323
2011-02-24,1795.6947705395557
2011-02-25,1798.7312423289807
2011-02-28,1823.7811241670008
2011-03-01,1833.8896442636863
2011-03-02,1823.1051395485802
2011-03-03,1805.7064962069885
2011-03-04,1834.9987001871418
2011-03-07,1873.916230888075
2011-03-08,1872.155476372323
2011-03-09,1873.5593966337192
2011-03-10,1842.1757757010037
2011-03-11,1823.0268639247315
2011-03-14,1833.7307113357283
2011-03-15,1801.897789524046
2011-03-16,1827.7551754057977
2011-03-17,1799.0155063805562
2011-03-18,1810.4001638382417
2011-03-21,1805.304538297156
2011-03-22,1809.8805523161946
2011-03-23,1832.3711465383524
2011-03-24,1823.8131412254488
2011-03-25,1849.2220557203755
2011-03-28,1845.1128812679838
2011-03-29,1823.7773144583948
2011-03-30,1822.7067352289714
2011-03-31,1808.9009090900588
2011-04-01,1833.2208718477102
2011-04-04,1833.2208718477107
2011-04-05,1833.2208718477111
2011-04-06,1851.6955943503553
2011-04-07,1861.212405704168
2011-04-08,1882.0691847956903
2011-04-11,1871.2436945051763
2011-04-12,1872.6669910774108
2011-04-13,1896.832938216605
2011-04-14,1884.8844155369545
2011-04-15,1884.833085302465
2011-04-18,1888.4879640297372
2011-04-19,1854.408880076835
2011-04-20,1857.8841433189846
2011-04-21,1872.1417888621834
2011-04-22,1864.7048491726566
2011-04-25,1830.0629649263467
2011-04-26,1817.199729133629
2011-04-27,1807.5086559583644
2011-04-28,1776.4668881386615
2011-04-29,1802.5473324091538
2011-05-02,1802.5473324091533
2011-05-03,1814.3234062625904
2011-05-04,1772.4646397328033
2011-05-05,1771.2869481505206
2011-05-06,1770.142258985945
2011-05-09,1775.0424570141058
2011-05-10,1788.2863053507313
2011-05-11,1784.7204787246537
2011-05-12,1755.7574967350693
2011-05-13,1771.1980697031781
2011-05-16,1753.3689630553038
2011-05-17,1760.0371968498828
2011-05-18,1772.073466429272
2011-05-19,1760.5734336813107
2011-05-20,1762.099841061188
2011-05-23,1702.2277066032427
2011-05-24,1708.3345427239153
2011-05-25,1689.2859285243928
2011-05-26,1681.8579390155933
2011-05-27,1672.3125521417053
2011-05-30,1670.2544846640724
2011-05-31,1697.9648901086941
2011-06-01,1700.2714297117004
2011-06-02,1675.4729220943352
2011-06-03,1696.2577964760749
2011-06-06,1696.2577964760749
2011-06-07,1707.176314653848
2011-06-08,1712.5779766314115
2011-06-09,1682.5722483459606
2011-06-10,1687.1855537114875
2011-06-13,1681.4057432291438
2011-06-14,1706.7995696290818
2011-06-15,1690.2767446503142
2011-06-16,1665.3526708799966
2011-06-17,1650.1373445280794
2011-06-20,1639.613744629018
2011-06-21,1662.3226815578562
2011-06-22,1662.7996043974128
2011-06-23,1689.8526974645233
2011-06-24,1728.410482084695
2011-06-27,1734.2596880508038
2011-06-28,1741.261034706689
2011-06-29,1722.6904581066703
2011-06-30,1746.5172424650284
2011-07-01,1752.6370822820738
2011-07-04,1792.4169546407004
2011-07-05,1792.9845734676085
2011-07-06,1790.0716559009447
2011-07-07,1782.9950609041098
2011-07-08,1784.7409754043092
2011-07-11,1787.0260250261708
2011-07-12,1754.2748125213616
2011-07-13,1783.945915658344
2011-07-14,1793.5634582384357
2011-07-15,1799.3385636946794
2011-07-18,1793.698294821307
2011-07-19,1781.9530939107824
2011-07-20,1778.978913820809
2011-07-21,1762.501059536817
2011-07-22,1769.2846778687035
2011-07-25,1712.257520130715
2011-07-26,1718.6809487431572
2011-07-27,1730.8370669147846
2011-07-28,1724.2477834647366
2011-07-29,1715.709067221598
2011-08-01,1719.0022956140215
2011-08-02,1705.43165763232
2011-08-03,1707.1832866477694
2011-08-04,1709.9291143291523
2011-08-05,1675.1902242059668
2011-08-08,1614.5061837577985
2011-08-09,1615.7335594568524
2011-08-10,1633.8796095167377
2011-08-11,1665.4314810397518
2011-08-12,1674.6268375481757
2011-08-15,1694.5271046244495
2011-08-16,1682.8090486352348
2011-08-17,1674.1252647942354
2011-08-18,1643.9056657189947
2011-08-19,1626.381132694436
2011-08-22,1606.8339353448355
2011-08-23,1632.4220134658888
2011-08-24,1628.0692537976756
2011-08-25,1678.434278325966
2011-08-26,1676.9873184239054
2011-08-29,1653.0908657066298
2011-08-30,1646.1852202207863
2011-08-31,1648.0354180649506
2011-09-01,1638.18614887571
2011-09-02,1618.701648232787
2011-09-05,1584.4628869781384
2011-09-06,1571.8414891311602
2011-09-07,1603.054527397731
2011-09-08,1591.779441969694
2011-09-09,1588.271627123165
2011-09-12,1588.271627123165
2011-09-13,1568.5856422375302
2011-09-14,1578.806805075616
2011-09-15,1577.4922304526367
2011-09-16,1579.4129268845957
2011-09-19,1547.6371135592813
2011-09-20,1554.1775453529285
2011-09-21,1604.9596207348457
2011-09-22,1555.349976624428
2011-09-23,1548.8117489113388
2011-09-26,1516.5441133633185
2011-09-27,1532.6318723071881
2011-09-28,1518.8888852181715
2011-09-29,1505.938819979072
2011-09-30,1505.5091711920013
2011-10-03,1505.5091711920013
2011-10-04,1505.5091711920013
2011-10-05,1505.5091711920013
2011-10-06,1505.5091711920013
2011-10-07,1505.5091711920013
2011-10-10,1501.2315866792349
2011-10-11,1489.4699740059434
2011-10-12,1547.2710925717715
2011-10-13,1554.6686556687405
2011-10-14,1548.4490249992543
2011-10-17,1552.792199539765
2011-10-18,1505.9425049104073
2011-10-19,1501.9253018503423
2011-10-20,1465.0743343458096
2011-10-21,1455.3588509813462
2011-10-24,1497.6113541743762
2011-10-25,1532.5227719363259
2011-10-26,1549.5264528193468
2011-10-27,1550.93205029129
2011-10-28,1582.4724888764833
2011-10-31,1575.8615004084447
2011-11-01,1576.7925401364625
2011-11-02,1601.336357547648
2011-11-03,1605.19167706091
2011-11-04,1618.5352023677958
2011-11-07,1601.2895439194026
2011-11-08,1595.752831841759
2011-11-09,1609.3201489783935
2011-11-10,1577.5185122939502
2011-11-11,1575.9761026873427
2011-11-14,1606.421838505222
2011-11-15,1605.693849247782
2011-11-16,1563.4612894899585
2011-11-17,1557.86857018411
2011-11-18,1522.6925976618402
2011-11-21,1523.9134548895681
2011-11-22,1521.1634190355458
2011-11-23,1506.8860199822582
2011-11-24,1506.4399901786858
2011-11-25,1495.770939141464
2011-11-28,1495.8256586948053
2011-11-29,1518.1563105809455
2011-11-30,1466.645016363303
2011-12-01,1504.5496943762882
2011-12-02,1487.1476624789727
2011-12-05,1464.3733713130448
2011-12-06,1461.755883678225
2011-12-07,1466.6073385983398
2011-12-08,1465.2406480699303
2011-12-09,1452.074804348128
2011-12-12,1436.914506073
2011-12-13,1401.629105073469
2011-12-14,1385.4528105920635
2011-12-15,1348.583900598437
2011-12-16,1383.4061171473747
2011-12-19,1380.2261769432057
2011-12-20,1372.9927355096813
2011-12-21,1354.5107981849812
2011-12-22,1354.646963911862
2011-12-23,1368.9166096472386
2011-12-26,1357.4268128673118
2011-12-27,1342.4705956638961
2011-12-28,1346.780111731034
2011-12-29,1349.4798318421172
2011-12-30,1374.9044702469278
2012-01-02,1374.904470246928
2012-01-03,1374.9044702469282
2012-01-04,1347.8087626470626
2012-01-05,1330.073921354247
2012-01-06,1337.4933937831024
2012-01-09,1383.1651554922319
2012-01-10,1432.43540847854
2012-01-11,1424.3861722929844
2012-01-12,1421.6908928060957
2012-01-13,1398.1376122660656
2012-01-16,1367.6636875786044
2012-01-17,1441.0763824550982
2012-01-18,1421.223865799312
2012-01-19,1447.5986025860318
2012-01-20,1460.8733739757877
2012-01-23,1460.8733739757877
2012-01-24,1460.8733739757877
2012-01-25,1460.8733739757877
2012-01-26,1460.8733739757877
2012-01-27,1460.8733739757877
2012-01-30,1436.9031027444375
2012-01-31,1442.6723610789638
2012-02-01,1422.579011195484
2012-02-02,1453.563520086343
2012-02-03,1462.8965965401928
2012-02-06,1459.43645830745
2012-02-07,1433.916557495846
2012-02-08,1478.8862000370452
2012-02-09,1479.1862667507241
2012-02-10,1481.7491000886585
2012-02-13,1481.7649352080562
2012-02-14,1473.7542704096466
2012-02-15,1491.8059845213938
2012-02-16,1484.1715502625384
2012-02-17,1484.071162081375
2012-02-20,1484.1653192961182
2012-02-21,1498.1611064641231
2012-02-22,1519.5206895945614
2012-02-23,1526.2213405627274
2012-02-24,1555.4066938347407
2012-02-27,1563.8474218551758
2012-02-28,1565.5320531700381
2012-02-29,1549.4366772771236
2012-03-01,1547.0280385569536
2012-03-02,1576.3491727722974
2012-03-05,1563.862241392091
2012-03-06,1539.9232124014675
2012-03-07,1530.5561229347857
2012-03-08,1548.1839852745643
2012-03-09,1568.2449611251761
2012-03-12,1559.2045251075428
2012-03-13,1574.4884845479282
2012-03-14,1525.5383469673877
2012-03-15,1512.9921407262175
2012-03-16,1537.7798249636096
2012-03-19,1544.8091952977438
2012-03-20,1519.0106527985683
2012-03-21,1521.9819830396036
2012-03-22,1523.8085927254501
2012-03-23,1501.7011413485238
2012-03-26,1499.6603571176172
2012-03-27,1495.0871572608978
2012-03-28,1450.693293929022
2012-03-29,1431.1442346223782
2012-03-30,1437.6728087876397
2012-04-02,1437.6728087876397
2012-04-03,1437.6728087876397
2012-04-04,1437.6728087876397
2012-04-05,1470.6981656556839
2012-04-06,1473.6266510506503
2012-04-09,1461.8559380237486
2012-04-10,1476.7304796991432
