Date,COLOMBIA EQUAL WEIGHTED
2018-09-03,17189.566584419066
2018-09-04,16860.056039913452
2018-09-05,16368.587841011891
2018-09-06,16103.642847624642
2018-09-07,16156.71091502565
2018-09-10,16194.830463045562
2018-09-11,16260.744085932742
2018-09-12,16719.07841150628
2018-09-13,16891.332743777697
2018-09-14,16844.244711226213
2018-09-17,16787.785640995782
2018-09-18,17026.30390006135
2018-09-19,16877.23403645009
2018-09-20,16542.55891325958
2018-09-21,16648.372059154677
2018-09-24,16756.325898852323
2018-09-25,16754.374857586394
2018-09-26,16756.30379687547
2018-09-27,17015.156030106144
2018-09-28,17255.479814913415
2018-10-01,17136.541643634995
2018-10-02,17118.093607776394
2018-10-03,17218.95959926469
2018-10-04,17069.633826756573
2018-10-05,16696.09649221753
2018-10-08,16496.033502709844
2018-10-09,16444.146364238615
2018-10-10,16106.457197396328
2018-10-11,15940.721177199584
2018-10-12,16015.48960332811
2018-10-15,15953.607189076933
2018-10-16,16426.785676913638
2018-10-17,16399.48759435272
2018-10-18,16028.260657883524
2018-10-19,15975.543742626707
2018-10-22,15759.918522244827
2018-10-23,15567.077395514207
2018-10-24,15107.567723370395
2018-10-25,14897.261585566603
2018-10-26,14764.940969150928
2018-10-29,14769.923438488187
2018-10-30,14767.220984374955
2018-10-31,14743.14474275153
2018-11-01,14800.469214413833
2018-11-02,14983.135922005738
2018-11-05,14956.967793930866
2018-11-06,15222.539860179844
2018-11-07,15481.834594763537
2018-11-08,15479.924690785538
2018-11-09,15220.29911999055
2018-11-12,15227.966776977953
2018-11-13,14732.139095385488
2018-11-14,14978.019707220781
2018-11-15,15235.100893361074
2018-11-16,15516.200901922019
2018-11-19,15364.390348060964
2018-11-20,14949.193456042234
2018-11-21,14876.590036272164
2018-11-22,14901.235753206518
2018-11-23,14587.925925082673
2018-11-26,14713.757123415411
2018-11-27,14524.847778326895
2018-11-28,14423.175466460385
2018-11-29,14674.222616768948
2018-11-30,14592.002179407637
2018-12-03,15018.391368227087
2018-12-04,15183.565629807686
2018-12-05,15318.407876999087
2018-12-06,15014.625552613592
2018-12-07,15255.93199925631
2018-12-10,15021.711096229841
2018-12-11,14951.369149267499
2018-12-12,15072.1691444596
2018-12-13,14908.864212579703
2018-12-14,14752.512127800748
2018-12-17,14567.21520483825
2018-12-18,14554.37799611403
2018-12-19,14522.024074626308
2018-12-20,13979.430536618036
2018-12-21,14031.259162426923
2018-12-24,14046.984354687324
2018-12-25,14046.984354687324
2018-12-26,14248.403447541661
2018-12-27,14293.861145922436
2018-12-28,14396.351956018976
2018-12-31,14388.926585879997
2019-01-01,14388.926585879997
2019-01-02,14462.70462807741
2019-01-03,14852.722227391583
2019-01-04,15090.640562898072
2019-01-07,15097.709498395961
2019-01-08,15259.880920197367
2019-01-09,15431.921318213517
2019-01-10,15540.20464988392
2019-01-11,15529.222188837291
2019-01-14,15556.50974109415
2019-01-15,15590.9988883581
2019-01-16,15571.444973374451
2019-01-17,15490.58699625661
2019-01-18,15632.851298323156
2019-01-21,15628.00719399771
2019-01-22,15684.761699368963
2019-01-23,15661.65132717467
2019-01-24,15763.045579802825
2019-01-25,15931.830963890092
2019-01-28,15870.136815099075
2019-01-29,16012.72447676384
2019-01-30,16051.046155284354
2019-01-31,16323.840338679622
2019-02-01,16528.064993024127
2019-02-04,16695.130798152517
2019-02-05,16864.517159495546
2019-02-06,16721.209021440674
2019-02-07,16473.838382829494
2019-02-08,16372.816905495343
2019-02-11,16311.555001515535
2019-02-12,16386.726889084788
2019-02-13,16407.419708166126
2019-02-14,16281.865444736904
2019-02-15,16537.464532530634
2019-02-18,16442.55577114649
2019-02-19,16400.260964634224
2019-02-20,16404.154647495376
2019-02-21,16400.176793169
2019-02-22,16630.15110110166
2019-02-25,16865.418441186317
2019-02-26,17089.769937027122
2019-02-27,17155.618075641196
2019-02-28,16985.106920899816
2019-03-01,16985.62485939299
2019-03-04,16950.591389758272
2019-03-05,16889.555871570923
2019-03-06,17017.80147936601
2019-03-07,16811.20220385302
2019-03-08,16413.973471679135
2019-03-11,16591.557407985503
2019-03-12,16787.433013137656
2019-03-13,17107.864791486107
2019-03-14,17344.05667230945
2019-03-15,17406.61694021607
2019-03-18,17923.842673546595
2019-03-19,18090.218504804125
2019-03-20,18322.657164275566
2019-03-21,18370.163893888723
2019-03-22,17683.472127848116
2019-03-25,17704.336932058217
2019-03-26,17747.74743457219
2019-03-27,17161.115623943813
2019-03-28,17151.911026002443
2019-03-29,17394.243979318246
2019-04-01,17609.892934837313
2019-04-02,17530.116436878994
2019-04-03,17718.42438522121
2019-04-04,17667.22067968105
