Date,AC FAR EAST ex JAPAN IMI
2019-12-26,2201.384651221626
2019-12-27,2207.652404781648
2019-12-30,2202.300141893965
2019-12-31,2191.914323764734
2020-01-01,2191.914323764734
2020-01-02,2222.1759624965143
2020-01-03,2223.142552984166
2020-01-06,2197.3616098820025
2020-01-07,2220.068357412635
2020-01-08,2206.9655283703105
2020-01-09,2251.8332568154483
2020-01-10,2259.047808198457
2020-01-13,2282.3610863541976
2020-01-14,2284.9064706724644
2020-01-15,2268.367465534697
2020-01-16,2276.4643994903026
2020-01-17,2297.543073204248
2020-01-20,2295.1439661339996
2020-01-21,2246.78187589286
2020-01-22,2268.5151147943347
2020-01-23,2244.7482658576
2020-01-24,2244.3446241356055
2020-01-27,2232.2237126278665
2020-01-28,2222.1698223723342
2020-01-29,2202.5838079939535
2020-01-30,2132.5054994650854
2020-01-31,2108.7257225697062
2020-02-03,2106.7758588258584
2020-02-04,2159.6814227329455
2020-02-05,2174.1635958220754
2020-02-06,2223.3153336053783
2020-02-07,2205.8459731870416
2020-02-10,2206.343510188009
2020-02-11,2231.0406814047524
2020-02-12,2259.7840487180956
2020-02-13,2262.9858713373337
2020-02-14,2267.309249369807
2020-02-17,2276.427381502505
2020-02-18,2250.550397565192
2020-02-19,2269.4881635526226
2020-02-20,2253.5214799650075
2020-02-21,2214.1093778192685
2020-02-24,2157.3658823516557
2020-02-25,2168.166131807479
2020-02-26,2145.477652307269
2020-02-27,2116.1849647330514
2020-02-28,2074.2853997927573
2020-03-02,2071.7377397588666
2020-03-03,2074.759432042744
2020-03-04,2106.3787997152476
2020-03-05,2125.4427105621994
2020-03-06,2054.1512542418554
2020-03-09,1937.8277632836207
2020-03-10,1981.1747849451765
2020-03-11,1963.3959268357844
2020-03-12,1900.453584135648
2020-03-13,1880.003695176339
2020-03-16,1770.6256935511017
2020-03-17,1780.2904325839763
2020-03-18,1736.3808099704024
2020-03-19,1682.7584543158498
2020-03-20,1778.26483044087
2020-03-23,1681.5116532618463
2020-03-24,1767.162513974144
2020-03-25,1836.287717342743
2020-03-26,1816.7870988480572
2020-03-27,1819.0144451906028
2020-03-30,1802.014474958345
2020-03-31,1847.3441075440583
2020-04-01,1815.5676792734482
2020-04-02,1846.4462448633885
2020-04-03,1850.012248026729
2020-04-06,1899.6933768860763
2020-04-07,1926.1210019534162
2020-04-08,1914.6961544679332
2020-04-09,1922.0137274504898
2020-04-10,1924.7984333423658
2020-04-13,1928.1738027662389
2020-04-14,1947.3038966035665
2020-04-15,1955.1775720155001
2020-04-16,1959.2717432369698
2020-04-17,1990.2600744008735
2020-04-20,1989.887351265742
2020-04-21,1949.3580763608293
2020-04-22,1970.578477002323
2020-04-23,1974.5644516378331
2020-04-24,1958.5253929436933
2020-04-27,1988.140465365558
2020-04-28,1999.2247078371154
2020-04-29,2018.1781656862147
2020-04-30,2012.9014034068277
2020-05-01,1989.6644509371872
2020-05-04,1947.0486093023426
2020-05-05,1976.3779726092182
2020-05-06,2001.9828692934198
2020-05-07,2005.1575059332297
2020-05-08,2015.3538497198908
2020-05-11,2042.7876092413715
2020-05-12,2012.146427316081
2020-05-13,2023.1022012528701
2020-05-14,2007.5491738161409
2020-05-15,2008.906968476335
2020-05-18,2017.2752300012512
2020-05-19,2035.284427853438
2020-05-20,2030.7598263324783
2020-05-21,2032.0729927388943
2020-05-22,1968.8654530606452
2020-05-25,1977.1232063127923
2020-05-26,1996.463285334576
2020-05-27,1991.5722329242824
2020-05-28,1965.360483635057
2020-05-29,1968.7311369404013
2020-06-01,2013.5252761259053
2020-06-02,2032.5293304709003
2020-06-03,2067.3540959257184
2020-06-04,2052.9571077952305
2020-06-05,2086.5004553239614
2020-06-08,2095.770977706325
2020-06-09,2097.347936844553
2020-06-10,2113.087518998683
2020-06-11,2068.3440621803015
2020-06-12,2078.2305197661476
2020-06-15,2026.8854374800665
2020-06-16,2093.176025273035
2020-06-17,2104.472664269701
2020-06-18,2110.87673351268
2020-06-19,2126.541621149994
2020-06-22,2108.870897467449
2020-06-23,2119.8506896465033
2020-06-24,2135.1365281610815
2020-06-25,2132.743063408967
2020-06-26,2127.823686141074
2020-06-29,2101.205146094214
2020-06-30,2115.132142754315
2020-07-01,2116.440631389399
2020-07-02,2176.7895221366834
2020-07-03,2197.514332253581
2020-07-06,2249.347446781043
2020-07-07,2236.5335371486813
2020-07-08,2272.7045852636234
2020-07-09,2300.831276658226
2020-07-10,2266.7062692814516
2020-07-13,2263.562925934991
2020-07-14,2235.2806867025383
2020-07-15,2239.3843157172228
2020-07-16,2183.956747445561
2020-07-17,2204.1725173765003
2020-07-20,2217.409243329554
2020-07-21,2253.3823355474524
2020-07-22,2206.215275091509
2020-07-23,2213.4154089410476
2020-07-24,2163.606831746022
2020-07-27,2154.025337791489
2020-07-28,2185.144933935087
2020-07-29,2186.9142727317126
2020-07-30,2182.935063035389
2020-07-31,2176.3318944819475
2020-08-03,2196.2522337743203
2020-08-04,2227.1838431496976
2020-08-05,2227.839385521257
2020-08-06,2245.3622134177117
2020-08-07,2220.1525902508065
2020-08-10,2215.3828947420575
2020-08-11,2226.4517632790976
2020-08-12,2225.744588347564
2020-08-13,2224.573566284294
2020-08-14,2220.08453139002
2020-08-17,2232.8113198332926
2020-08-18,2225.867121000652
2020-08-19,2218.681183264443
2020-08-20,2189.5585628106037
2020-08-21,2230.35630214376
2020-08-24,2258.8666223243536
2020-08-25,2274.882024268065
2020-08-26,2285.4891704231036
2020-08-27,2284.1816282950704
2020-08-28,2269.517097682803
2020-08-31,2230.6732871738573
2020-09-01,2259.381673338682
2020-09-02,2284.953102722351
2020-09-03,2265.442719905602
2020-09-04,2249.843920621138
2020-09-07,2234.9466468896417
2020-09-08,2231.7899868589084
2020-09-09,2214.893116786406
2020-09-10,2198.459776904761
2020-09-11,2221.0765175108395
2020-09-14,2239.3930413782296
2020-09-15,2262.005325251313
2020-09-16,2275.648213575583
2020-09-17,2257.307509769741
2020-09-18,2258.3630838981967
2020-09-21,2257.3086497932813
2020-09-22,2240.801897783555
2020-09-23,2242.9542651210945
2020-09-24,2200.177514387824
2020-09-25,2204.7255239792635
2020-09-28,2225.6166503479685
2020-09-29,2209.397526203944
2020-09-30,2235.710078147299
2020-10-01,2236.9694040603567
2020-10-02,2235.6489439010184
2020-10-05,2242.599481569103
2020-10-06,2266.966353315825
2020-10-07,2290.863116323995
2020-10-08,2308.5597769287815
2020-10-09,2300.398995527724
2020-10-12,2335.916341735735
2020-10-13,2350.544467434996
2020-10-14,2341.269193729914
2020-10-15,2324.471505638756
2020-10-16,2326.8261942497134
2020-10-19,2319.0184461974295
2020-10-20,2322.258279106028
2020-10-21,2321.7481059174656
2020-10-22,2325.0741657216377
2020-10-23,2323.2826083732457
2020-10-26,2321.2793994680014
2020-10-27,2325.48405107424
2020-10-28,2332.3728700129054
2020-10-29,2353.3074412582
2020-10-30,2311.818557149854
