Date,ACWI ex PERU IMI
2020-06-30,3264.1711376975113
2020-07-01,3268.47270982103
2020-07-02,3308.0346943920813
2020-07-03,3306.6143607679314
2020-07-06,3342.834991016753
2020-07-07,3321.2875724653454
2020-07-08,3327.2731511688557
2020-07-09,3323.880971159933
2020-07-10,3336.765043764618
2020-07-13,3315.623125968742
2020-07-14,3323.739268340314
2020-07-15,3361.5902167485715
2020-07-16,3336.9734311280513
2020-07-17,3349.8204183194844
2020-07-20,3370.554568895538
2020-07-21,3378.36092646558
2020-07-22,3353.1458035556584
2020-07-23,3330.968274372005
2020-07-24,3294.58814162809
2020-07-27,3281.7416342100423
2020-07-28,3283.66569558673
2020-07-29,3298.3948369439995
2020-07-30,3271.998715103963
2020-07-31,3261.435666995178
2020-08-03,3310.4096260427245
2020-08-04,3326.8873674529145
2020-08-05,3322.928235438745
2020-08-06,3339.248522592627
2020-08-07,3345.8710398295593
2020-08-10,3358.1558037255786
2020-08-11,3359.1996128503347
2020-08-12,3386.3224071039335
2020-08-13,3377.356410047679
2020-08-14,3371.4760539056547
2020-08-17,3374.9057908183854
2020-08-18,3366.4122618514716
2020-08-19,3365.070855597493
2020-08-20,3366.868534745553
2020-08-21,3391.1128385930037
2020-08-24,3418.677056520656
2020-08-25,3425.188456856237
2020-08-26,3454.513330311849
2020-08-27,3458.3017456158227
2020-08-28,3447.0157580464597
2020-08-31,3419.949511486381
2020-09-01,3439.7311927674127
2020-09-02,3506.994164781885
2020-09-03,3422.2442234833115
2020-09-04,3398.536953350518
2020-09-07,3399.349047071594
2020-09-08,3342.584672835236
2020-09-09,3383.5663795406376
2020-09-10,3335.594689676206
2020-09-11,3348.292484447444
2020-09-14,3379.68382813131
2020-09-15,3402.49978539268
2020-09-16,3408.3359624979303
2020-09-17,3387.3321062137397
2020-09-18,3355.205153807083
2020-09-21,3329.5176625958884
2020-09-22,3353.88405306598
2020-09-23,3313.5630620099423
2020-09-24,3307.2088466587206
2020-09-25,3347.3642102540803
2020-09-28,3395.8922747369343
2020-09-29,3364.613006446148
2020-09-30,3379.822185238495
2020-10-01,3396.436118627597
2020-10-02,3382.3893828196015
2020-10-05,3416.8281287191016
2020-10-06,3398.0861459957882
2020-10-07,3441.8843188803503
2020-10-08,3473.4673442224243
2020-10-09,3481.0007354836353
2020-10-12,3521.973173611099
2020-10-13,3524.2062048015387
2020-10-14,3506.901983239738
2020-10-15,3498.892257375236
2020-10-16,3498.0593437633806
2020-10-19,3454.7283976659337
2020-10-20,3448.877423157209
2020-10-21,3431.169633031955
2020-10-22,3449.883874629843
2020-10-23,3459.788467544037
2020-10-26,3411.41703311844
2020-10-27,3396.1992806286526
2020-10-28,3322.5788442542025
2020-10-29,3363.5498391986057
2020-10-30,3328.7773014272107
2020-11-02,3373.4001536405744
2020-11-03,3409.531250936465
2020-11-04,3476.845552890712
2020-11-05,3517.858920554206
2020-11-06,3510.295682275137
2020-11-09,3575.922427976749
2020-11-10,3581.534629237051
2020-11-11,3625.093922065717
2020-11-12,3586.092175242989
2020-11-13,3611.9911783575612
2020-11-16,3655.477732533256
