Date,AC AP ex JP IMI WITH PARTIAL A SHARES
2015-12-31,2898.337330869138
2016-01-28,2587.7954391474705
2016-01-29,2666.8628075767347
2016-02-26,2631.554551281902
2016-02-29,2634.188187043846
2016-03-30,2792.5666020462772
2016-03-31,2796.7677626843533
2016-04-28,2828.2863447103623
2016-04-29,2784.031095316734
2016-05-30,2803.6627155147917
2016-05-31,2817.97517882451
2016-06-29,2837.6919035724154
2016-06-30,2880.4025308655887
2016-07-28,3053.552814928829
2016-07-29,3016.1755744696175
2016-08-30,3093.7306894785706
2016-08-31,3088.5650115995636
2016-09-29,3147.143365941392
2016-09-30,3112.6296915240887
2016-10-28,3139.736258692247
2016-10-31,3131.90467718442
2018-03-30,3645.7434854110597
2018-04-11,3679.892550760125
2018-04-12,3688.5127731583298
2018-04-13,3683.5398813300126
2018-04-16,3654.344529458433
2018-04-17,3647.1092027828754
2018-04-18,3660.8654694007832
2018-04-19,3694.8897497999687
2018-04-20,3672.7218141343897
2018-04-23,3664.103134360243
2018-04-24,3666.251655325139
2018-04-25,3646.5910412681474
2018-04-26,3659.2904543779555
2018-04-27,3698.389721601976
2018-04-30,3742.812882328233
2018-05-01,3769.793279243422
2018-05-02,3767.9706693315466
2018-05-03,3750.121227662978
2018-05-04,3737.334145218027
2018-05-07,3757.7165503642236
2018-05-08,3788.439396355739
2018-05-09,3788.651520607151
2018-05-10,3806.3032858665097
2018-05-11,3814.372103345801
2018-05-14,3830.229381483157
2018-05-15,3820.1791789577896
2018-05-16,3847.730197810178
2018-05-17,3832.2865964545636
2018-05-18,3837.3432440792135
2018-05-21,3851.0950146755968
2018-05-22,3843.5177623975974
2018-05-23,3841.7164402402823
2018-05-24,3847.27228587298
2018-05-25,3877.439295712339
2018-05-28,3902.962061931927
2018-05-29,3893.0839316137226
2018-05-30,3832.995834963208
2018-05-31,3848.529220522531
