Date,GOLDEN DRAGON IMI
2008-06-24,912.382313870007
2008-06-25,924.706302028247
2008-06-26,907.8505242662795
2008-06-27,884.7722617928625
2008-06-30,886.6235127638538
2008-07-01,881.9125792343247
2008-07-02,863.3953746294028
2008-07-03,858.6772524794397
2008-07-04,856.8251913738719
2008-07-07,878.0728514007232
2008-07-08,848.2357935704179
2008-07-09,860.4918858043163
2008-07-10,860.9064357278407
2008-07-11,872.988855732724
2008-07-14,865.5628785153689
2008-07-15,826.4276450625467
2008-07-16,831.1259159191285
2008-07-17,849.5953231372752
2008-07-18,846.4950164198074
2008-07-21,871.4581892847228
2008-07-22,870.8878174324143
2008-07-23,901.8601152347368
2008-07-24,905.0025213389143
2008-07-25,888.1222439261585
2008-07-28,883.4373700874646
2008-07-29,870.1022778419275
2008-07-30,883.9876319538944
2008-07-31,879.710958927631
2008-08-01,882.1575224729813
2008-08-04,869.021434388255
2008-08-05,851.7649494789583
2008-08-06,865.070995686372
2008-08-07,866.2396686227472
2008-08-08,884.9508128259215
2008-08-11,888.2675266227377
2008-08-12,886.4446605535808
2008-08-13,880.6569934340757
2008-08-14,883.7015962731925
2008-08-15,884.5882210673574
2008-08-18,866.7398346062944
2008-08-19,852.1706126900312
2008-08-20,869.4479153642518
2008-08-21,842.780127736935
2008-08-22,846.0711080821719
2008-08-25,869.6208033097846
2008-08-26,873.177180286219
2008-08-27,888.98007531563
2008-08-28,873.5206210542207
2008-08-29,880.6851597787565
2008-09-01,866.8970156644269
2008-09-02,865.0762617670712
2008-09-03,850.7639635550671
2008-09-04,839.9109990204291
2008-09-05,829.4554582754558
2008-09-08,869.298898068255
2008-09-09,851.3236820984098
2008-09-10,841.3500084309769
2008-09-11,818.5581603585983
2008-09-12,807.480456510476
2008-09-15,795.2493352143298
2008-09-16,756.8289706961922
2008-09-17,737.3724308606794
2008-09-18,715.2997579433543
2008-09-19,775.0096820222527
2008-09-22,778.6385617000385
2008-09-23,754.4034031899215
2008-09-24,755.3567594510936
2008-09-25,750.8486716804669
2008-09-26,739.9093554640505
2008-09-29,727.2714039724606
2008-09-30,740.0777748001542
2008-10-01,744.922614712221
2008-10-02,758.6385685084388
2008-10-03,744.8956123274788
2008-10-06,720.9622501265208
2008-10-07,714.5834290092702
2008-10-08,655.4872248454545
2008-10-09,664.2510291615251
2008-10-10,638.4540305899337
2008-10-13,671.2425293730398
2008-10-14,700.2943708345255
2008-10-15,676.2980992326865
2008-10-16,652.5741847528209
2008-10-17,629.3608811039692
2008-10-20,655.8163380928104
2008-10-21,652.3700622530088
2008-10-22,635.6165237091395
2008-10-23,613.1697768589079
2008-10-24,584.2404454004841
2008-10-27,541.2012953186799
2008-10-28,577.0405890232652
2008-10-29,569.1965496858062
2008-10-30,631.4475239842545
2008-10-31,643.8820230678593
2008-11-03,659.6270511261373
2008-11-04,649.8749325831267
2008-11-05,661.4611785605395
2008-11-06,631.4612181684147
2008-11-07,645.8359886527613
2008-11-10,663.5197814543917
2008-11-11,652.5706871426619
2008-11-12,649.923157546486
2008-11-13,617.0918915755271
2008-11-14,623.3693316917334
2008-11-17,622.8611347486233
2008-11-18,595.7035317947029
2008-11-19,591.1330486239063
2008-11-20,570.5179010291347
2008-11-21,585.3881625922758
2008-11-24,565.5381821107923
2008-11-25,577.1751264013202
2008-11-26,594.5902476696359
2008-11-27,611.6261441955719
2008-11-28,631.084436777909
2008-12-01,646.2733309301068
2008-12-02,612.004487944683
2008-12-03,617.9748125308545
2008-12-04,611.2073964700654
2008-12-05,621.8841012824852
2008-12-08,654.4341017641915
2008-12-09,652.7322929035915
2008-12-10,683.0239303364668
2008-12-11,672.6679606810872
2008-12-12,631.9355087889763
2008-12-15,633.8805907313916
2008-12-16,634.0874936190476
2008-12-17,624.7398289790789
2008-12-18,627.8555280048937
2008-12-19,644.8878325778469
2008-12-22,622.9334534946888
2008-12-23,600.9377513809047
2008-12-24,599.4922917680832
2008-12-25,599.1180953598268
2008-12-26,596.9885515455691
2008-12-29,595.2971827185548
2008-12-30,606.1649341287168
2008-12-31,622.2801304371568
2009-01-01,622.2801304371568
2009-01-02,637.4564515299631
2009-01-05,672.6833601082795
2009-01-06,686.8865736350723
2009-01-07,663.8260632412777
2009-01-08,627.7488322981791
2009-01-09,634.6166718855694
2009-01-12,624.7632769459954
2009-01-13,627.0589738214072
2009-01-14,632.271006423928
2009-01-15,613.9168798875476
2009-01-16,610.827853411688
2009-01-19,619.1674732185144
2009-01-20,615.4163037718351
2009-01-21,607.2616979609306
