Date,AC ASIA IMI
2019-12-30,1854.7574866299465
2019-12-31,1850.0180584914488
2020-01-01,1850.233776475341
2020-01-02,1869.1507665728382
2020-01-03,1873.4302880054056
2020-01-06,1845.0322151474081
2020-01-07,1869.520025859096
2020-01-08,1854.7540263234393
2020-01-09,1884.1581213596855
2020-01-10,1889.9709639083483
2020-01-13,1896.5508344401312
2020-01-14,1901.0642989293417
2020-01-15,1887.798927751852
2020-01-16,1890.3835797297447
2020-01-17,1906.1647338104601
2020-01-20,1909.1072411784248
2020-01-21,1883.7718694293358
2020-01-22,1898.9291811121045
2020-01-23,1889.9644032213225
2020-01-24,1891.9252194417843
2020-01-27,1877.771799859573
2020-01-28,1867.4547240603908
2020-01-29,1863.118406354152
2020-01-30,1820.6249514218687
2020-01-31,1812.5032359019133
2020-02-03,1803.4216193328732
2020-02-04,1830.9162908268518
2020-02-05,1846.600802831623
2020-02-06,1885.1214052576493
2020-02-07,1877.8402085225666
2020-02-10,1875.4952072850658
2020-02-11,1886.0646448296607
2020-02-12,1900.2201414055755
2020-02-13,1904.5464746977939
2020-02-14,1902.0191072760545
2020-02-17,1898.1938468261637
2020-02-18,1877.5808057730212
2020-02-19,1884.7542933173615
2020-02-20,1870.130674994151
2020-02-21,1851.3235663652083
2020-02-24,1830.4740946867985
2020-02-25,1812.6253107646355
2020-02-26,1792.8530292767623
2020-02-27,1756.9922731460174
2020-02-28,1720.7392922996057
2020-03-02,1713.6015490404309
2020-03-03,1706.046878535358
2020-03-04,1723.126106874511
2020-03-05,1738.8127954246752
2020-03-06,1684.1675110699073
2020-03-09,1599.8429235643048
2020-03-10,1623.7706410577425
2020-03-11,1603.7938888907631
2020-03-12,1547.5850910312513
2020-03-13,1501.5851632108233
2020-03-16,1438.6950424346228
2020-03-17,1455.1910379760611
2020-03-18,1434.0574095353438
2020-03-19,1408.4945588307778
2020-03-20,1448.1616335793963
2020-03-23,1395.591555523853
2020-03-24,1453.818903517208
2020-03-25,1529.2831403050034
2020-03-26,1509.7057482662258
2020-03-27,1542.8769108250376
2020-03-30,1530.8896046675377
2020-03-31,1544.4360593669046
2020-04-01,1511.131865649798
2020-04-02,1513.6382674485478
2020-04-03,1511.8896965358904
2020-04-06,1554.2011464129407
2020-04-07,1580.5802045868122
2020-04-08,1588.0508378251318
2020-04-09,1587.174947379526
2020-04-10,1594.286793159842
2020-04-13,1591.0015978810325
2020-04-14,1611.3161544991347
2020-04-15,1618.0907703413427
2020-04-16,1616.9752500387349
2020-04-17,1641.47240267957
2020-04-20,1636.1751510231693
2020-04-21,1608.4413379714235
2020-04-22,1616.6803036025683
2020-04-23,1630.549029509687
2020-04-24,1621.1570855581017
2020-04-27,1648.0361985680247
2020-04-28,1656.6187854574366
2020-04-29,1667.516133108238
2020-04-30,1667.1171308285707
2020-05-01,1637.7159566311482
2020-05-04,1620.1703760240305
2020-05-05,1639.7633030704599
2020-05-06,1657.959249543124
2020-05-07,1655.3290085640967
2020-05-08,1670.4817495839004
2020-05-11,1689.3828899594253
2020-05-12,1671.9822066628972
2020-05-13,1680.199376646194
2020-05-14,1660.455414561994
2020-05-15,1662.1085674966196
2020-05-18,1661.6420668789235
2020-05-19,1673.4297754902525
2020-05-20,1677.0275214793458
2020-05-21,1677.9579944526156
2020-05-22,1649.3748834490953
2020-05-25,1662.820066717407
2020-05-26,1680.7661047636486
2020-05-27,1686.5917975466468
2020-05-28,1684.9452545996767
2020-05-29,1676.1132846618573
2020-06-01,1700.4677567630695
2020-06-02,1708.7287591686215
2020-06-03,1725.7797518439863
2020-06-04,1711.0013358905037
2020-06-05,1727.8835746643756
2020-06-08,1749.2881135628909
2020-06-09,1749.935209521663
2020-06-10,1759.6609943465862
2020-06-11,1723.5161872101298
2020-06-12,1725.8090309477002
2020-06-15,1680.4314367701252
2020-06-16,1741.5920084258544
2020-06-17,1746.0059190352404
2020-06-18,1751.711957590649
2020-06-19,1760.8740843006588
2020-06-22,1748.3864805462283
2020-06-23,1757.002003194373
2020-06-24,1759.327390503471
2020-06-25,1752.437196095067
2020-06-26,1758.0411745953168
2020-06-29,1727.118214542268
2020-06-30,1737.8430654699425
2020-07-01,1730.8988197729955
2020-07-02,1763.119456486796
2020-07-03,1777.6054231466385
2020-07-06,1807.385488337383
2020-07-07,1801.4392548930732
2020-07-08,1807.0780562196408
2020-07-09,1824.6275475177067
2020-07-10,1801.191377964083
2020-07-13,1809.954674597852
2020-07-14,1789.9340917252305
2020-07-15,1804.353433634744
2020-07-16,1773.2124267748031
2020-07-17,1781.9803176964256
2020-07-20,1788.5288430522955
2020-07-21,1806.9589945956595
2020-07-22,1772.9074858495414
2020-07-23,1777.8945171842352
2020-07-24,1761.4180118114145
2020-07-27,1752.4080744671778
2020-07-28,1768.8614382365452
2020-07-29,1756.3461957061315
2020-07-30,1748.9739888152235
2020-07-31,1721.2648475925728
2020-08-03,1743.7107911271855
2020-08-04,1772.6834212424847
2020-08-05,1767.2679601942937
2020-08-06,1776.5345045323324
2020-08-07,1765.3244027368319
2020-08-10,1766.0588696762645
2020-08-11,1783.3161610962347
2020-08-12,1785.269220758863
2020-08-13,1791.252674589508
2020-08-14,1791.6448358645905
2020-08-17,1791.9397512025512
2020-08-18,1791.4618798766076
2020-08-19,1789.6322365257113
2020-08-20,1771.6737613016878
2020-08-21,1796.8851508128462
2020-08-24,1810.4455661048255
2020-08-25,1819.862457095754
2020-08-26,1828.0594474583895
2020-08-27,1824.7109852112874
2020-08-28,1814.6068888640234
2020-08-31,1791.355745420444
2020-09-01,1804.435667764459
2020-09-02,1827.275769365468
2020-09-03,1821.8624950032868
2020-09-04,1809.2688522857081
2020-09-07,1797.3179660832761
2020-09-08,1804.5339833531934
2020-09-09,1787.137715219199
2020-09-10,1786.315086215057
2020-09-11,1803.9529336002502
2020-09-14,1819.7850950037637
2020-09-15,1829.0348099615571
2020-09-16,1843.5523862986997
2020-09-17,1834.3326420967235
2020-09-18,1837.1815197579147
2020-09-21,1840.659686803928
2020-09-22,1831.85824851643
2020-09-23,1832.0640295221938
2020-09-24,1803.2216850004843
2020-09-25,1812.1574470761348
2020-09-28,1832.9905460211144
2020-09-29,1822.532006933773
2020-09-30,1821.675610398794
2020-10-01,1822.8847529501454
2020-10-02,1818.7866606827413
2020-10-05,1827.0561466493866
2020-10-06,1843.0382554572968
2020-10-07,1853.6903495513423
2020-10-08,1867.3279284835091
2020-10-09,1858.608471487651
2020-10-12,1875.1550239639955
2020-10-13,1887.2178457836524
2020-10-14,1883.1323173920005
2020-10-15,1871.0570122006627
2020-10-16,1864.1091854395918
2020-10-19,1865.4907495082462
2020-10-20,1857.8152727243755
2020-10-21,1867.1285180890898
2020-10-22,1861.385150453622
2020-10-23,1862.5966116714758
2020-10-26,1857.7957195308309
2020-10-27,1861.3309931047504
2020-10-28,1867.3320013972325
2020-10-29,1879.658196809919
2020-10-30,1848.8068997028593
2020-11-02,1871.8711674458928
2020-11-03,1864.328697520478
2020-11-04,1890.2579358386213
2020-11-05,1916.1911062190793
2020-11-06,1922.760849320456
2020-11-09,1936.3002345921532
2020-11-10,1936.2078209077863
2020-11-11,1956.1915148590049
2020-11-12,1953.8124569272832
2020-11-13,1953.0345117805718
2020-11-16,1976.1437788391218
2020-11-17,1973.1242804198848
2020-11-18,1976.140789486658
2020-11-19,1977.2608693282066
2020-11-20,1986.5847108246535
2020-11-23,1998.9608010461225
2020-11-24,2007.8020957110791
2020-11-25,1997.507742247718
2020-11-26,2014.0828304506806
2020-11-27,2015.3347664620976
2020-11-30,1973.4098424192039
2020-12-01,1980.9555301034202
2020-12-02,1978.3004827047953
2020-12-03,1980.015958302647
2020-12-04,1991.8601640514976
2020-12-07,1987.6053072362506
2020-12-08,1989.7944209133323
2020-12-09,2006.9343641508272
2020-12-10,1992.1145889844786
2020-12-11,2004.4388194612427
2020-12-14,1998.9240762704069
2020-12-15,1990.6544135598292
2020-12-16,2003.1194762070838
2020-12-17,2005.7313402658594
2020-12-18,2001.2694098345376
2020-12-21,1996.5850549448317
2020-12-22,1977.8248392444573
2020-12-23,1987.46189074088
2020-12-24,1988.5819265869618
2020-12-25,1991.784440529078
2020-12-28,1989.1057397604736
2020-12-29,2014.975603854115
2020-12-30,2026.4311599939376
2020-12-31,2040.137871853403
2021-01-01,2040.8918492267194
2021-01-04,2046.6277928801287
2021-01-05,2064.980374854478
2021-01-06,2054.3575118459325
2021-01-07,2073.508642068948
2021-01-08,2117.365119669645
2021-01-11,2128.868291085202
2021-01-12,2132.8484500219115
2021-01-13,2147.200608496471
2021-01-14,2160.8091569342682
2021-01-15,2151.643788714201
2021-01-18,2149.3084455659473
2021-01-19,2171.370659300269
2021-01-20,2194.697735434118
2021-01-21,2200.3052314304746
2021-01-22,2182.246462594283
2021-01-25,2212.0135652736913
2021-01-26,2175.0936243030956
2021-01-27,2177.2593449677315
2021-01-28,2132.6898014286235
2021-01-29,2094.6320305034565
2021-02-01,2147.8456221458664
2021-02-02,2182.9948542545926
2021-02-03,2208.2737798657795
2021-02-04,2203.4051796839217
2021-02-05,2210.4655776955115
2021-02-08,2227.391944947719
2021-02-09,2234.4658664149424
2021-02-10,2245.645742349412
2021-02-11,2249.610254301462
2021-02-12,2252.0540760756176
2021-02-15,2262.5068330396316
2021-02-16,2276.489993630846
2021-02-17,2294.521677233783
2021-02-18,2260.6251571722014
2021-02-19,2249.2597690971493
2021-02-22,2228.863913961435
2021-02-23,2225.987954392372
2021-02-24,2186.4479618094097
2021-02-25,2189.9125176052858
2021-02-26,2131.482698147167
2021-03-01,2183.4260241990974
2021-03-02,2172.1935118738907
2021-03-03,2194.8085464183673
2021-03-04,2152.707663816441
2021-03-05,2168.2872567959134
2021-03-08,2138.9352531121235
2021-03-09,2153.343934292063
2021-03-10,2157.135334660547
2021-03-11,2180.3629848775936
2021-03-12,2182.860221989172
2021-03-15,2185.208623031156
2021-03-16,2204.5066575494875
2021-03-17,2199.2511456570273
2021-03-18,2212.8202383790845
2021-03-19,2204.345333778948
2021-03-22,2193.7261812499364
2021-03-23,2186.5844245050775
2021-03-24,2148.0298111063553
2021-03-25,2159.2074670427082
2021-03-26,2183.85157506552
2021-03-29,2194.2520898657713
2021-03-30,2207.2854575223078
2021-03-31,2183.808769237886
2021-04-01,2204.426479944108
2021-04-02,2213.5033144579525
2021-04-05,2213.004614939388
2021-04-06,2205.6002667058788
2021-04-07,2192.2293718591695
