Date,FINLAND IMI GROWTH
1999-09-17,930.2403974670663
1999-09-20,955.6155102588133
1999-09-21,958.8616299467141
1999-09-22,941.3105378291707
1999-09-23,970.5217553544787
1999-09-24,943.8783276814588
1999-09-27,961.4458165165162
1999-09-28,965.6111192804357
1999-09-29,964.1003656110786
1999-09-30,949.6192076195816
1999-10-01,952.5468529390039
1999-10-04,962.7173549552921
1999-10-05,990.1613609912874
1999-10-06,993.3787734585518
1999-10-07,989.8471112762273
1999-10-08,1003.9267604367369
1999-10-11,1018.4709437951954
1999-10-12,1002.0618813114181
1999-10-13,997.8608949500527
1999-10-14,982.5694452458786
1999-10-15,951.3690588948058
1999-10-18,946.6326077745395
1999-10-19,983.3026851562736
1999-10-20,986.4064975011328
1999-10-21,1000.9134680718325
1999-10-22,1052.010388137999
1999-10-25,1047.337217532582
1999-10-26,1061.6228415883254
1999-10-27,1075.5386961220897
1999-10-28,1119.266836784985
1999-10-29,1168.8310223660844
1999-11-01,1160.6606176805644
1999-11-02,1153.4896558371656
1999-11-03,1176.2013969609627
1999-11-04,1189.0266114741448
1999-11-05,1208.9007119594019
1999-11-08,1230.4646489569382
1999-11-09,1212.4524514146258
1999-11-10,1212.0015139541324
1999-11-11,1243.4268644819508
1999-11-12,1239.8126439588468
1999-11-15,1285.4605934646527
1999-11-16,1281.2257302905641
1999-11-17,1343.6185353049575
1999-11-18,1426.008146933148
1999-11-19,1379.156670933764
1999-11-22,1366.4058165319739
1999-11-23,1409.2383821043431
1999-11-24,1418.6825549479959
1999-11-25,1475.7914130546837
1999-11-26,1537.956923721712
1999-11-29,1597.8376723495273
1999-11-30,1518.10337631619
1999-12-01,1518.886870204287
1999-12-02,1526.743477793238
1999-12-03,1649.3714985437323
1999-12-06,1649.452782015734
1999-12-07,1779.4395403564067
1999-12-08,1802.160433571903
1999-12-09,1799.6006966675316
1999-12-10,1771.52661655325
1999-12-13,1769.7637614238429
1999-12-14,1750.4074927234722
1999-12-15,1645.87534114434
1999-12-16,1712.2256945638733
