Date,BELGIUM IMI GROWTH
2019-11-11,2151.3657169636176
2019-11-12,2165.311434894611
2019-11-13,2172.65249095772
2019-11-14,2159.48986829498
2019-11-15,2169.1211529063485
2019-11-18,2180.6571136682564
2019-11-19,2171.412408396473
2019-11-20,2165.941894274848
2019-11-21,2155.463103948936
2019-11-22,2160.6925893112198
2019-11-25,2183.2303208902013
2019-11-26,2177.941632270561
2019-11-27,2179.4491883806427
2019-11-28,2182.047511202094
2019-11-29,2185.1086091686398
2019-12-02,2160.5944151259196
2019-12-03,2157.135132275525
2019-12-04,2179.644215437549
2019-12-05,2169.0789171597467
2019-12-06,2202.611436501464
2019-12-09,2201.923168905891
2019-12-10,2189.0445253324324
2019-12-11,2191.056009043185
2019-12-12,2175.821710797936
2019-12-13,2178.984844945518
2019-12-16,2215.754089207115
2019-12-17,2201.363533136001
2019-12-18,2212.3852355851386
2019-12-19,2222.0539156050586
2019-12-20,2247.9727954209525
2019-12-23,2256.3655317899443
2019-12-24,2258.1670899710584
2019-12-25,2258.167089971058
2019-12-26,2258.1670899710575
2019-12-27,2262.5655990401788
2019-12-30,2241.9438921412984
2019-12-31,2224.0075201215373
2020-01-01,2224.0075201215373
2020-01-02,2262.458674513238
2020-01-03,2259.540586603221
2020-01-06,2251.741864805594
2020-01-07,2253.1454324493616
2020-01-08,2245.1685364375194
2020-01-09,2260.547797446567
2020-01-10,2269.8823099158035
2020-01-13,2250.771269659093
2020-01-14,2245.853424256393
2020-01-15,2247.857055683007
2020-01-16,2256.463734923115
2020-01-17,2267.165886263559
2020-01-20,2266.85609371274
2020-01-21,2269.2737201144537
2020-01-22,2256.775530879157
2020-01-23,2235.3712060691296
2020-01-24,2256.4558625077398
2020-01-27,2196.6645649013626
2020-01-28,2219.930254969776
2020-01-29,2225.126906341284
2020-01-30,2201.345013820138
2020-01-31,2200.897895357162
2020-02-03,2206.6363926442177
2020-02-04,2270.7749397668917
2020-02-05,2294.781833633766
2020-02-06,2305.5140376579675
2020-02-07,2261.452877799402
2020-02-10,2272.639235552882
2020-02-11,2285.928645625862
