Date,KUKJE (ACWI ex KOREA) VALUE
2009-11-30,1478.8667648184621
2009-12-01,1507.7745949385342
2009-12-02,1510.0689209744228
2009-12-03,1505.9943832459924
2009-12-04,1504.3843103583456
2009-12-07,1499.5900322255961
2009-12-08,1481.331249651354
2009-12-09,1476.0220974704525
2009-12-10,1481.8758295147761
2009-12-11,1485.6696508250536
2009-12-14,1495.4255093737368
2009-12-15,1485.5053606325496
2009-12-16,1494.8688669267733
2009-12-17,1469.2292811234065
2009-12-18,1464.735154631585
2009-12-21,1478.2992641348617
2009-12-22,1482.6152174385913
2009-12-23,1490.5038030167887
2009-12-24,1498.1920085881427
2009-12-25,1497.4792206976167
2009-12-28,1504.1356234926354
2009-12-29,1506.4577398037445
2009-12-30,1498.3298361234608
2009-12-31,1497.3381579872057
2010-01-01,1497.3381579872057
2010-01-04,1523.8790415257085
2010-01-05,1532.1860251702724
2010-01-06,1534.728399272496
2010-01-07,1534.7391170398703
2010-01-08,1538.6611518395025
2010-01-11,1552.6875866844641
2010-01-12,1542.6576706615735
2010-01-13,1542.8782914530593
2010-01-14,1549.3152094543284
2010-01-15,1533.9657090213752
2010-01-18,1536.8455335557449
2010-01-19,1543.4695138675283
2010-01-20,1520.804304285973
2010-01-21,1495.9691718573463
2010-01-22,1476.3558691301332
2010-01-25,1474.960147953902
2010-01-26,1464.32434014494
2010-01-27,1459.0014618688153
2010-01-28,1449.6677440743886
2010-01-29,1441.5841747994727
2010-02-01,1452.5279653289365
2010-02-02,1472.0879791543393
2010-02-03,1464.004740453586
2010-02-04,1421.8267229950059
2010-02-05,1404.404889931928
2010-02-08,1399.363146466591
2010-02-09,1410.9214751962697
2010-02-10,1413.9148888259856
2010-02-11,1419.7703217668432
2010-02-12,1417.1133203955624
2010-02-15,1418.003386651695
2010-02-16,1440.3315752309702
2010-02-17,1451.6854660690526
2010-02-18,1456.73283124305
2010-02-19,1451.1033326113197
2010-02-22,1459.9577471923358
2010-02-23,1446.1256739270202
2010-02-24,1451.2290817533958
2010-02-25,1438.620325361896
2010-02-26,1452.128939499137
2010-03-01,1460.3294025912926
2010-03-02,1472.2036726641913
2010-03-03,1482.713659514119
2010-03-04,1480.406718351395
2010-03-05,1500.119794706875
2010-03-08,1506.369990151874
2010-03-09,1505.5370774041567
2010-03-10,1515.123293712772
2010-03-11,1517.6472008909
2010-03-12,1522.7000620261606
2010-03-15,1515.4815095833073
2010-03-16,1531.5971063276634
2010-03-17,1545.20914566563
2010-03-18,1537.629983966328
2010-03-19,1530.4325829361208
2010-03-22,1530.4718778922347
2010-03-23,1540.382986225164
2010-03-24,1528.774456378788
2010-03-25,1530.483211765034
2010-03-26,1533.0637135093325
2010-03-29,1544.9858277094138
2010-03-30,1544.7201081520116
2010-03-31,1545.0513416285619
2010-04-01,1561.7098478976538
2010-04-02,1562.7071755866605
2010-04-05,1568.9382930312524
2010-04-06,1571.4559058102127
2010-04-07,1566.6881159326288
2010-04-08,1563.1008192072686
2010-04-09,1578.826818186848
2010-04-12,1586.572587995513
2010-04-13,1581.1048247293031
2010-04-14,1598.888860408429
2010-04-15,1601.7276776657222
2010-04-16,1575.0716856631764
2010-04-19,1567.8658481415064
2010-04-20,1583.1138408915785
2010-04-21,1578.794117568826
2010-04-22,1568.4366982121235
2010-04-23,1575.5369019563855
2010-04-26,1579.0743360690115
2010-04-27,1544.9428539973105
2010-04-28,1535.4310643732888
2010-04-29,1552.8478033534345
2010-04-30,1543.5495917027197
2010-05-03,1547.9676422800014
2010-05-04,1509.6211109456412
2010-05-05,1490.6717269221956
2010-05-06,1446.8423378894518
2010-05-07,1417.0798172593925
2010-05-10,1487.237331781617
2010-05-11,1475.8774031728276
2010-05-12,1492.6897640195257
2010-05-13,1485.9979635907525
2010-05-14,1449.3692695880995
2010-05-17,1438.6410361733585
2010-05-18,1433.9183837174987
2010-05-19,1412.0017654960425
2010-05-20,1371.5218990192504
2010-05-21,1385.066924274771
2010-05-24,1372.245716159505
2010-05-25,1349.2484724324956
2010-05-26,1359.7713939703995
2010-05-27,1399.7696036672392
2010-05-28,1395.9248192938928
2010-05-31,1396.6781507829792
2010-06-01,1380.2697993953968
2010-06-02,1390.9082298937144
2010-06-03,1404.3633834674124
2010-06-04,1366.364335782614
2010-06-07,1342.5520282013608
2010-06-08,1349.177238614614
2010-06-09,1355.0396237164323
2010-06-10,1385.3870296799316
2010-06-11,1393.7375685265351
2010-06-14,1406.010348983267
2010-06-15,1427.2849856407327
2010-06-16,1430.1121714603485
2010-06-17,1433.5295440096056
2010-06-18,1438.1489154382637
2010-06-21,1447.176951014097
2010-06-22,1427.526217415426
2010-06-23,1414.869732458453
2010-06-24,1397.2960062867692
2010-06-25,1395.5308825472525
2010-06-28,1399.727380361669
2010-06-29,1357.1590055445736
2010-06-30,1350.5131306666124
2010-07-01,1343.2202393842624
2010-07-02,1345.0379695436093
2010-07-05,1341.052859769981
2010-07-06,1365.8519185609662
2010-07-07,1390.887727124666
2010-07-08,1408.0753744738806
2010-07-09,1417.2668457285884
2010-07-12,1416.5238058049938
2010-07-13,1438.7431258675995
2010-07-14,1441.2400879405811
2010-07-15,1439.8700535039727
2010-07-16,1411.7895269221372
2010-07-19,1410.5260788614921
2010-07-20,1414.756879442711
2010-07-21,1410.7143400116568
2010-07-22,1438.213249430041
2010-07-23,1446.1131683085189
2010-07-26,1463.2151662190045
2010-07-27,1470.3535141941684
2010-07-28,1468.5787817875105
2010-07-29,1469.9288209115905
2010-07-30,1464.5717274746569
2010-08-02,1501.9508866090564
2010-08-03,1501.7308159509585
2010-08-04,1501.7667581118603
2010-08-05,1503.0854746919024
2010-08-06,1501.332150843881
2010-08-09,1509.2507746787235
2010-08-10,1492.3385507311725
2010-08-11,1451.1086835156043
2010-08-12,1443.0893266982903
2010-08-13,1440.1737797107755
2010-08-16,1442.772427353208
2010-08-17,1457.490262003373
2010-08-18,1457.8808824746714
2010-08-19,1440.0447871194624
2010-08-20,1423.1736225323323
2010-08-23,1425.0584629328791
2010-08-24,1407.1920664610616
2010-08-25,1398.9292190505594
2010-08-26,1403.2257871091003
2010-08-27,1419.3752217024844
2010-08-30,1411.2958675741074
2010-08-31,1410.2167352490983
2010-09-01,1449.2291683942253
2010-09-02,1457.6960608084237
2010-09-03,1474.0858143347682
2010-09-06,1481.5318913810559
2010-09-07,1464.340124082448
2010-09-08,1469.9732327352997
2010-09-09,1482.2123848354506
2010-09-10,1484.9464131258617
2010-09-13,1507.1093096713234
2010-09-14,1509.4327590368462
2010-09-15,1509.3860857329207
2010-09-16,1504.9334833935163
2010-09-17,1501.7743615279053
2010-09-20,1521.8353080619336
2010-09-21,1518.6068444635189
2010-09-22,1518.5300024217045
2010-09-23,1506.9950381650256
2010-09-24,1530.5675282826255
2010-09-27,1527.9700783945314
2010-09-28,1532.6667374215501
2010-09-29,1532.7191760561989
2010-09-30,1528.7922615075593
2010-10-01,1537.9756433406433
2010-10-04,1527.9984138942734
2010-10-05,1557.682944791776
2010-10-06,1567.5460559193302
2010-10-07,1568.954459350565
2010-10-08,1570.8796674592513
2010-10-11,1572.6548322072633
2010-10-12,1567.7210046708817
2010-10-13,1585.4817438504056
2010-10-14,1590.0743339361286
2010-10-15,1580.8077011905243
2010-10-18,1588.2586626235488
2010-10-19,1566.2736282085832
2010-10-20,1581.3423874233076
2010-10-21,1583.4456261491682
2010-10-22,1579.2719012611187
2010-10-25,1586.3809356240852
2010-10-26,1580.2372790657287
2010-10-27,1565.8617856284263
2010-10-28,1575.5143782576986
2010-10-29,1577.2883311273874
2010-11-01,1578.8105490481676
2010-11-02,1590.8470411490716
2010-11-03,1592.3675819809012
2010-11-04,1629.2429491573494
2010-11-05,1630.746346874858
2010-11-08,1625.6911422921048
2010-11-09,1622.2894440240682
2010-11-10,1611.253884520482
2010-11-11,1607.5254353253276
2010-11-12,1594.4737609811857
2010-11-15,1592.511888533003
2010-11-16,1564.3716752077514
2010-11-17,1565.5983500808218
2010-11-18,1588.669215620551
2010-11-19,1589.1383170268416
2010-11-22,1579.8918820818756
2010-11-23,1551.5648037201356
2010-11-24,1562.964309111012
2010-11-25,1564.269484486249
2010-11-26,1545.4707325702175
2010-11-29,1534.9447745285572
2010-11-30,1525.6817315148255
2010-12-01,1556.7250045184376
2010-12-02,1582.4855643556741
2010-12-03,1593.3337782777203
2010-12-06,1589.9106766857037
2010-12-07,1596.373932823755
2010-12-08,1594.3813750491258
2010-12-09,1602.8447880106542
2010-12-10,1609.3041437673905
2010-12-13,1621.8821096049107
2010-12-14,1625.9027378722817
2010-12-15,1615.2766234095768
2010-12-16,1613.889232468009
2010-12-17,1610.227992969137
2010-12-20,1611.6919920373841
2010-12-21,1627.8400826813318
2010-12-22,1632.4039769564338
2010-12-23,1632.6253316428335
2010-12-24,1633.6842516101199
2010-12-27,1631.833634607326
2010-12-28,1635.9123351554833
2010-12-29,1641.559867728779
2010-12-30,1639.991704583851
2010-12-31,1645.9376201305015
2011-01-03,1658.0110875798002
2011-01-04,1662.6875519158712
2011-01-05,1657.968138924175
2011-01-06,1654.5317551700323
2011-01-07,1649.218056937479
2011-01-10,1639.1635294810067
2011-01-11,1647.2087103935735
2011-01-12,1672.6224539297687
2011-01-13,1683.1988199649961
2011-01-14,1688.6857081365274
2011-01-17,1685.4853468179892
2011-01-18,1695.620013110668
2011-01-19,1689.6700167251463
2011-01-20,1676.004567654068
2011-01-21,1689.77620390266
2011-01-24,1698.8277944851823
2011-01-25,1696.0545133847247
2011-01-26,1700.9844904491376
2011-01-27,1706.4492140846958
2011-01-28,1684.1206005735403
2011-01-31,1689.988623594234
2011-02-01,1720.065293087959
2011-02-02,1723.257303394417
2011-02-03,1718.76066965745
2011-02-04,1718.8018383600997
2011-02-07,1727.9290997602318
2011-02-08,1737.016123537316
2011-02-09,1729.6451288550656
2011-02-10,1721.6501037784008
2011-02-11,1723.814020145069
2011-02-14,1729.003701797244
2011-02-15,1729.7996465849242
2011-02-16,1742.2551615934826
2011-02-17,1752.8978458180923
2011-02-18,1759.7340204639017
2011-02-21,1754.1473931773478
2011-02-22,1730.509194956231
2011-02-23,1722.7374157817835
2011-02-24,1717.8939900591433
2011-02-25,1733.2260598752139
2011-02-28,1749.0930258294966
2011-03-01,1736.7854474918925
2011-03-02,1732.4736818415017
2011-03-03,1749.719987136625
2011-03-04,1746.809271613119
2011-03-07,1737.41214790243
2011-03-08,1742.1524578716428
2011-03-09,1741.7545985374954
2011-03-10,1708.7822996757732
2011-03-11,1709.6280272857741
2011-03-14,1694.8594516941637
2011-03-15,1656.0061987156596
2011-03-16,1641.454874412081
2011-03-17,1664.7501266313373
2011-03-18,1675.1609120206977
2011-03-21,1699.943842115384
2011-03-22,1707.573026089991
2011-03-23,1707.331909111659
2011-03-24,1720.9930991299575
2011-03-25,1724.8158187850768
2011-03-28,1719.354889292012
2011-03-29,1721.0924375098816
2011-03-30,1736.9469504840008
2011-03-31,1736.4412574479122
2011-04-01,1747.9044823537731
2011-04-04,1753.7112559424634
2011-04-05,1750.821220974172
2011-04-06,1760.6615062982921
2011-04-07,1757.5817952428552
2011-04-08,1766.6260086977043
2011-04-11,1762.1941194643755
2011-04-12,1741.6399129609688
2011-04-13,1745.2955721329163
2011-04-14,1740.3669415184263
2011-04-15,1742.1674199104327
2011-04-18,1711.4985115479963
2011-04-19,1719.989981698074
2011-04-20,1752.7073660166216
2011-04-21,1764.4027807727182
2011-04-22,1764.607718245429
2011-04-25,1760.4793538660285
2011-04-26,1773.0210229005684
2011-04-27,1780.2560758979603
2011-04-28,1797.4116741331213
2011-04-29,1803.5048378188606
2011-05-02,1806.990025474352
2011-05-03,1795.2255589294882
2011-05-04,1780.2225202222698
2011-05-05,1758.0944770541792
2011-05-06,1763.4175312985435
2011-05-09,1754.6470886380562
2011-05-10,1771.0747041161483
2011-05-11,1761.0711376262302
2011-05-12,1751.0606157265486
2011-05-13,1741.0834367717555
2011-05-16,1733.709424383376
2011-05-17,1725.6040884877993
2011-05-18,1741.1163066301663
2011-05-19,1745.319827242857
2011-05-20,1733.1090280502895
2011-05-23,1703.4840737782133
2011-05-24,1707.301725246341
2011-05-25,1711.7022827396147
2011-05-26,1718.5810651330405
2011-05-27,1734.7145858420724
2011-05-30,1734.0727632374208
2011-05-31,1756.9393437580477
2011-06-01,1733.2359532357489
2011-06-02,1720.070762211916
2011-06-03,1714.9003990323217
2011-06-06,1700.2133440586801
2011-06-07,1704.475467355571
2011-06-08,1694.369175307182
2011-06-09,1700.8068487852142
2011-06-10,1678.1121536068895
2011-06-13,1679.9933321117546
2011-06-14,1701.5978102271952
2011-06-15,1673.8394030693237
2011-06-16,1662.0907889333937
2011-06-17,1673.4842766848117
2011-06-20,1672.9630563879193
2011-06-21,1696.467490420836
2011-06-22,1694.1877771643428
2011-06-23,1667.2579666971521
2011-06-24,1660.594761674335
2011-06-27,1666.7853457242252
2011-06-28,1683.484480743901
2011-06-29,1706.1467807210013
2011-06-30,1729.4000736923224
2011-07-01,1745.4074967930455
2011-07-04,1751.2471176951847
2011-07-05,1743.9986198123722
2011-07-06,1734.4613599752906
2011-07-07,1746.0592046711977
2011-07-08,1732.5173467117133
2011-07-11,1694.7273359798016
2011-07-12,1683.454758032601
2011-07-13,1700.0556755691616
2011-07-14,1689.7613935883874
2011-07-15,1687.9392798953365
2011-07-18,1665.5200472763954
2011-07-19,1686.9282124125361
2011-07-20,1700.0835387160266
2011-07-21,1729.56260779421
2011-07-22,1734.074632778378
2011-07-25,1721.7312329185866
2011-07-26,1725.1488294203473
2011-07-27,1697.423438045969
2011-07-28,1689.2719570423608
2011-07-29,1680.7476479178295
2011-08-01,1670.0626521785002
2011-08-02,1636.534126680193
2011-08-03,1624.5525724042718
2011-08-04,1560.5964197564226
2011-08-05,1539.9283663025774
2011-08-08,1462.5459660947388
2011-08-09,1491.7735781478548
2011-08-10,1450.9847275307309
2011-08-11,1495.5378719936368
2011-08-12,1509.8221297826942
2011-08-15,1545.5994374047389
2011-08-16,1535.2018024692286
2011-08-17,1543.6032701475367
2011-08-18,1483.1716499420208
2011-08-19,1462.597843701147
2011-08-22,1461.8225931276645
2011-08-23,1492.2879464536068
2011-08-24,1506.0910851671292
2011-08-25,1489.4645256114572
2011-08-26,1493.3419756725436
2011-08-29,1532.1546836263935
2011-08-30,1536.2441821348718
2011-08-31,1556.6288303611582
2011-09-01,1546.7633620768422
2011-09-02,1510.1160135144926
2011-09-05,1480.6813333534078
2011-09-06,1464.678243029324
2011-09-07,1504.5487959422878
2011-09-08,1500.8205003659427
2011-09-09,1456.5989091935292
2011-09-12,1437.7900824445665
2011-09-13,1450.9788036580933
2011-09-14,1461.1946023120743
2011-09-15,1494.931963530113
2011-09-16,1503.1773280343098
2011-09-19,1473.9157881517876
2011-09-20,1481.0946204359814
2011-09-21,1449.2131599899826
2011-09-22,1387.5350363781722
2011-09-23,1392.9574175408602
2011-09-26,1412.7408648219555
2011-09-27,1455.1495122026047
2011-09-28,1438.2237625173384
2011-09-29,1453.8903528604615
2011-09-30,1424.4362310450883
2011-10-03,1384.305500104164
2011-10-04,1380.3073480875996
2011-10-05,1405.3929958182166
2011-10-06,1440.0523584668276
2011-10-07,1444.6727317724483
2011-10-10,1482.9372973031022
2011-10-11,1485.6485875233807
2011-10-12,1509.5724998431044
2011-10-13,1497.9645605969188
2011-10-14,1516.4779019822486
2011-10-17,1500.7928287045916
2011-10-18,1506.2065244286043
2011-10-19,1510.4628859709078
2011-10-20,1498.7522204274892
2011-10-21,1531.3712670722857
2011-10-24,1552.153234071237
2011-10-25,1533.98023889847
2011-10-26,1542.1628554655415
2011-10-27,1608.2020530842412
2011-10-28,1610.6993566216809
2011-10-31,1564.927183301977
2011-11-01,1506.665789114869
2011-11-02,1525.7513091252938
2011-11-03,1544.5261577982724
2011-11-04,1538.741576215615
2011-11-07,1543.0377570205255
2011-11-08,1556.2169368572
2011-11-09,1513.886936279744
2011-11-10,1512.379619158787
2011-11-11,1545.1092446997395
2011-11-14,1531.640620094796
2011-11-15,1523.7583739271238
2011-11-16,1510.0218387586808
2011-11-17,1492.1770361145955
2011-11-18,1485.4569087956256
2011-11-21,1450.652688989738
2011-11-22,1442.1616961344646
2011-11-23,1410.2252120099126
2011-11-24,1405.9775369902954
2011-11-25,1403.6001940521444
2011-11-28,1446.0707897748669
2011-11-29,1456.491117102997
2011-11-30,1514.4287654201892
2011-12-01,1517.4205652593048
2011-12-02,1525.3683691214974
2011-12-05,1542.2645577107562
2011-12-06,1534.5673476923437
2011-12-07,1541.5316370248825
2011-12-08,1509.8276772797062
2011-12-09,1525.0423330217516
2011-12-12,1498.8494777408885
2011-12-13,1489.088804640568
2011-12-14,1465.9884344589038
2011-12-15,1472.2143219633758
2011-12-16,1476.5957972563344
2011-12-19,1460.2120645970479
2011-12-20,1495.3621571150832
2011-12-21,1502.080297582502
2011-12-22,1517.8213917545984
2011-12-23,1529.183481130929
2011-12-26,1529.8701828222515
2011-12-27,1529.2242669594975
2011-12-28,1507.9167686610922
2011-12-29,1520.6042209427633
2011-12-30,1526.620558291698
2012-01-02,1531.3860673103327
2012-01-03,1558.4963336665414
2012-01-04,1554.728557169435
2012-01-05,1544.9948006869122
2012-01-06,1537.6853890450598
2012-01-09,1539.7800859312126
2012-01-10,1561.8117585440164
2012-01-11,1559.5909086092893
2012-01-12,1563.8733152941584
2012-01-13,1555.5469446809957
2012-01-16,1557.347160328601
2012-01-17,1570.3216704951592
2012-01-18,1582.6445696273292
2012-01-19,1597.9367060918328
2012-01-20,1603.792404228949
2012-01-23,1613.5690360203505
2012-01-24,1605.6172565349075
2012-01-25,1608.4878762249948
2012-01-26,1618.686017171795
2012-01-27,1612.0568852504787
2012-01-30,1600.515322275007
2012-01-31,1604.8293987098425
2012-02-01,1627.8861776355268
2012-02-02,1631.9960952498882
2012-02-03,1649.0730803926233
2012-02-06,1648.6312642563137
2012-02-07,1655.623070716954
2012-02-08,1662.489995574632
2012-02-09,1663.8854697562901
