Date,BULGARIA
2016-07-07,106.50728978598318
2016-07-08,106.1419129794576
2016-07-11,105.7050529184495
2016-07-12,108.47024335561414
2016-07-13,109.32767172739814
2016-07-14,105.89536889263022
2016-07-15,105.37735755385555
2016-07-18,105.36369856968139
2016-07-19,105.56684426343462
2016-07-20,105.93096801011232
2016-07-21,108.39003834049896
2016-07-22,108.31775398072065
2016-07-25,107.88081659849004
2016-07-26,107.05597016293844
2016-07-27,106.33428939464028
2016-07-28,107.24413371811903
2016-07-29,106.68768489924398
2016-08-01,106.55412203674089
2016-08-02,106.73127370343599
2016-08-03,105.82040451309527
2016-08-04,106.88029977165726
2016-08-05,104.97488219561576
2016-08-08,105.47056098241215
2016-08-09,106.05607488844983
2016-08-10,106.19463531073835
2016-08-11,104.82074239907713
2016-08-12,105.96356116100654
2016-08-15,107.36413017397003
2016-08-16,108.6206841476688
2016-08-17,109.49596951577053
2016-08-18,110.24568617743682
2016-08-19,109.9926900959369
2016-08-22,110.76023528168817
2016-08-23,111.36464763432366
2016-08-24,112.0513949255128
2016-08-25,112.35104707109505
2016-08-26,112.20502958660559
2016-08-29,108.48668737605175
2016-08-30,109.2086050119095
2016-08-31,107.07331262117745
2016-09-01,109.01464316760915
2016-09-02,109.41975424849082
2016-09-05,109.25763243344291
2016-09-06,110.17428651546123
2016-09-07,108.88817150342418
2016-09-08,109.79041687369991
2016-09-09,109.86445140727454
2016-09-12,109.79383111758092
2016-09-13,110.73023381348602
2016-09-14,111.03583095795415
2016-09-15,111.03544878880896
2016-09-16,110.99233333522085
2016-09-19,110.73484432934251
2016-09-20,111.95326119638193
2016-09-21,112.45854134505103
2016-09-22,113.47971660554059
2016-09-23,113.26490385684656
2016-09-26,114.1657326360152
2016-09-27,115.48450839867965
2016-09-28,121.0490659078707
2016-09-29,121.67394169019855
2016-09-30,119.11464472651811
2016-10-03,118.90502868161654
2016-10-04,120.2126283220452
2016-10-05,122.05846524795629
2016-10-06,121.68025327763839
2016-10-07,121.56563919612468
2016-10-10,121.9134428383556
2016-10-11,120.70980494764308
2016-10-12,120.38298854075566
2016-10-13,120.28119744233254
2016-10-14,118.46579110187402
2016-10-17,118.30768867672928
2016-10-18,118.16666158780708
2016-10-19,118.12863002388211
2016-10-20,117.79453569469155
2016-10-21,117.23015315765235
2016-10-24,118.36225866218173
2016-10-25,118.68161570158853
2016-10-26,119.44428179979148
2016-10-27,119.88936435558733
2016-10-28,122.60079116209722
2016-10-31,126.51373505644406
2016-11-01,127.84037587592239
2016-11-02,128.14805754101832
2016-11-03,124.53450600134299
2016-11-04,126.24341931763577
2016-11-07,125.35883691726933
2016-11-08,129.75998362141212
2016-11-09,123.66901205404224
2016-11-10,124.66281638894513
2016-11-11,124.51425057982168
2016-11-14,121.47373898764813
2016-11-15,122.7482933693376
2016-11-16,122.30563662975143
2016-11-17,122.28895236971408
2016-11-18,118.91502598859057
2016-11-21,121.7350295556037
2016-11-22,122.32548241825418
2016-11-23,123.86582162513186
2016-11-24,125.95158333252351
2016-11-25,127.33741503355111
2016-11-28,128.27393930521816
2016-11-29,132.68405123394768
2016-11-30,133.65838725729375
2016-12-01,133.74257466716563
2016-12-02,134.84506498680094
2016-12-05,136.9770103205803
2016-12-06,138.0634530678822
2016-12-07,141.12558587149698
2016-12-08,141.5181267463879
2016-12-09,140.48074172273414
2016-12-12,142.05591003568694
2016-12-13,142.314927838347
2016-12-14,143.26642250185074
2016-12-15,139.2289167948662
2016-12-16,139.3709916429184
2016-12-19,137.84025558018925
2016-12-20,136.26454228603114
2016-12-21,138.58380800048744
2016-12-22,137.64625327429457
2016-12-23,139.0267861433071
2016-12-26,139.0267861433071
2016-12-27,139.27439496064642
2016-12-28,138.78440782693644
2016-12-29,139.14820778565138
2016-12-30,139.60049062720466
2017-01-02,139.60049062720466
2017-01-03,137.3099530295848
2017-01-04,139.62412957511236
2017-01-05,142.1623002106202
2017-01-06,143.7819678985425
2017-01-09,144.12955933266997
