Date,PACIFIC ex JAPAN HIGH DIVIDEND YIELD
1998-09-07,821.73415906
1998-09-08,813.40763444
1998-09-09,798.4428362
1998-09-10,797.09211069
1998-09-11,777.14485793
1998-09-14,787.14145907
1998-09-15,799.87346842
1998-09-16,801.65994262
1998-09-17,791.08024758
1998-09-18,779.16160078
1998-09-21,753.83182646
1998-09-22,763.1007784
1998-09-23,768.36366705
1998-09-24,795.26692457
1998-09-25,788.22237548
1998-09-28,801.20126543
1998-09-29,804.19420989
1998-09-30,788.65066833
1998-10-01,788.95762894
1998-10-02,785.94250833
1998-10-05,773.1652848
1998-10-06,768.1337168
1998-10-07,797.96794683
1998-10-08,807.79118688
1998-10-09,836.4502107
1998-10-12,861.94319933
1998-10-13,868.64549485
1998-10-14,855.10395326
1998-10-15,861.42271159
1998-10-16,928.14470712
1998-10-19,924.55868609
1998-10-20,927.18034852
1998-10-21,939.14475048
1998-10-22,938.04549284
1998-10-23,942.68356436
1998-10-26,935.56342342
1998-10-27,947.96675906
1998-10-28,957.52043909
1998-10-29,973.0076262
1998-10-30,996.19710381
1998-11-02,1007.54614124
1998-11-03,1007.8109889
1998-11-04,1017.74138594
1998-11-05,1006.7000912
1998-11-06,1001.07612494
1998-11-09,976.08131638
1998-11-10,957.90843872
1998-11-11,997.49830578
1998-11-12,984.18135126
1998-11-13,993.41386335
1998-11-16,1013.47038559
1998-11-17,999.92566788
1998-11-18,1015.06502923
1998-11-19,1026.31357056
1998-11-20,1022.28383333
1998-11-23,1038.24456339
1998-11-24,1069.40938206
1998-11-25,1062.48186595
1998-11-26,1062.85128372
1998-11-27,1060.16423971
1998-11-30,1032.11411825
1998-12-01,1005.64018761
1998-12-02,1015.09678714
1998-12-03,996.11497981
1998-12-04,990.59268072
1998-12-07,1009.54094935
1998-12-08,1003.9857505
1998-12-09,1001.71379452
1998-12-10,1009.14598087
1998-12-11,986.13280928
1998-12-14,967.94494643
1998-12-15,986.07600592
1998-12-16,982.97019959
1998-12-17,1000.96389297
1998-12-18,1006.83003599
1998-12-21,1005.90367664
1998-12-22,1006.33089418
1998-12-23,996.59757873
1998-12-24,1001.15635846
1998-12-25,1001.15635846
1998-12-28,994.65317075
1998-12-29,1000.55771531
1998-12-30,998.03083185
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,989.592776416342
1999-01-05,995.8639084086955
1999-01-06,1020.9794651475024
1999-01-07,1046.882580613481
1999-01-08,1045.1911972999744
1999-01-11,1062.4720858862147
1999-01-12,1071.0250134806568
1999-01-13,1044.08322033401
1999-01-14,1035.1418536122387
1999-01-15,1039.153795107005
1999-01-18,1054.290018620257
1999-01-19,1044.2546488502526
1999-01-20,1050.0733257866054
1999-01-21,1030.5138268403643
1999-01-22,1000.7767920990932
1999-01-25,977.3485664057879
1999-01-26,976.6546467893013
1999-01-27,986.7933896421257
1999-01-28,963.4889013912215
1999-01-29,975.7053390922564
1999-02-01,981.8105769246678
1999-02-02,986.2996096165562
1999-02-03,993.1201479117727
1999-02-04,993.8994290217214
1999-02-05,977.6339540895151
1999-02-08,976.0755050623076
1999-02-09,977.0102192820889
1999-02-10,952.5999940710955
1999-02-11,962.8147274111334
1999-02-12,984.4701818174993
1999-02-15,978.0727781956381
1999-02-16,970.9206018052507
1999-02-17,972.2391033756829
1999-02-18,973.2739384224709
1999-02-19,964.8613161927797
1999-02-22,970.473305655556
1999-02-23,975.8318145617898
1999-02-24,980.2306587454368
1999-02-25,971.6224304977022
1999-02-26,979.8506547642601
1999-03-01,983.9642188312978
1999-03-02,980.4919549816353
1999-03-03,985.5979474374093
1999-03-04,981.1555948599457
1999-03-05,1016.6014302126517
1999-03-08,1039.6406138563782
1999-03-09,1044.5484477411549
1999-03-10,1055.4686675660284
1999-03-11,1050.1383250762128
1999-03-12,1067.5033339888466
1999-03-15,1061.6084871368914
1999-03-16,1067.46665012614
1999-03-17,1073.7877632280035
1999-03-18,1054.9295761531039
1999-03-19,1077.8162014069871
1999-03-22,1085.5975013399843
1999-03-23,1087.7309123240314
1999-03-24,1068.676010433933
1999-03-25,1081.9652418719004
1999-03-26,1089.0109731673128
1999-03-29,1074.6469549004294
1999-03-30,1086.5825541842626
1999-03-31,1086.1181346003293
1999-04-01,1084.8382025776816
1999-04-02,1082.7142755432128
1999-04-05,1081.8733941392893
1999-04-06,1077.8201238391193
1999-04-07,1104.3962603344642
1999-04-08,1111.5215636702187
1999-04-09,1132.0777563589472
1999-04-12,1119.5600894578686
1999-04-13,1131.4288223914796
1999-04-14,1134.8844469561714
1999-04-15,1161.4954861869826
1999-04-16,1235.5190525612459
1999-04-19,1258.2654059587187
1999-04-20,1225.816876821846
1999-04-21,1235.2839561982391
1999-04-22,1297.4484825144402
1999-04-23,1321.7029007436095
1999-04-26,1339.077352917036
1999-04-27,1362.0525965371965
1999-04-28,1326.6908836744299
1999-04-29,1338.381805512296
1999-04-30,1345.9372327339047
1999-05-03,1349.8525070448422
1999-05-04,1358.6113175797484
1999-05-05,1357.4978872635977
1999-05-06,1343.7819160118706
1999-05-07,1292.311542715787
1999-05-10,1298.2233464813173
1999-05-11,1273.9285413011228
1999-05-12,1282.457679011293
1999-05-13,1297.5995178653145
1999-05-14,1288.8830105737165
1999-05-17,1264.7026266833934
1999-05-18,1277.0207528549547
1999-05-19,1246.0584545665538
1999-05-20,1245.1958225960102
1999-05-21,1238.119809672594
1999-05-24,1246.9207559810943
1999-05-25,1231.4709301289809
1999-05-26,1227.4161577839225
1999-05-27,1214.4742232564174
1999-05-28,1197.7290911654384
1999-05-31,1186.5531320290584
1999-06-01,1193.3436978032094
1999-06-02,1195.1341260476845
1999-06-03,1198.9087673684564
1999-06-04,1206.9384928613242
1999-06-07,1228.3753716853914
1999-06-08,1229.7711631351224
1999-06-09,1239.4370299037723
1999-06-10,1231.4628030257975
1999-06-11,1230.2507825268356
1999-06-14,1227.9687325909636
1999-06-15,1214.9055502263518
1999-06-16,1233.5347537023179
1999-06-17,1246.253520313767
1999-06-18,1245.1071816830752
1999-06-21,1257.5156096929297
1999-06-22,1261.4732098047905
1999-06-23,1267.3653584535186
1999-06-24,1249.3827188607975
1999-06-25,1250.4487232689196
1999-06-28,1255.690349290362
1999-06-29,1250.592908459647
1999-06-30,1240.438764920905
1999-07-01,1250.2990640486514
1999-07-02,1276.4248936586803
1999-07-05,1288.801121665795
1999-07-06,1287.438908366941
1999-07-07,1260.9042993478504
1999-07-08,1255.3583194154053
1999-07-09,1249.6452321110032
1999-07-12,1239.9002077587957
1999-07-13,1234.871442243085
1999-07-14,1220.3691320013627
1999-07-15,1236.3516244230761
1999-07-16,1219.1874565275073
1999-07-19,1219.4707999772481
1999-07-20,1226.5481228857675
1999-07-21,1222.2499637610047
1999-07-22,1216.3546129047297
1999-07-23,1201.7652078744827
1999-07-26,1191.336634915369
1999-07-27,1195.849042038658
1999-07-28,1200.8648252403143
