Date,EM EMEA HIGH DIVIDEND YIELD
1999-12-13,1753.2810049193517
1999-12-14,1732.729356697221
1999-12-15,1723.7864915235564
1999-12-16,1723.1930698422257
1999-12-17,1748.1113135041064
1999-12-20,1774.4412770535032
1999-12-21,1775.3774416517738
1999-12-22,1780.3163641866229
1999-12-23,1770.0050158890833
1999-12-24,1774.5647934332585
1999-12-27,1796.9784633057777
1999-12-28,1793.7049588279162
1999-12-29,1815.6407180743572
1999-12-30,1827.4870285850259
1999-12-31,1828.8737711599163
2000-01-03,1860.3373982615262
2000-01-04,1855.0759486088655
2000-01-05,1816.9326404744056
2000-01-06,1789.4535425620231
2000-01-07,1824.4917186701864
2000-01-10,1883.0015379540048
2000-01-11,1891.828579513042
2000-01-12,1894.549732115264
2000-01-13,1902.2667616025083
2000-01-14,1924.9718704461638
2000-01-17,1947.781025231765
2000-01-18,1948.274214669866
2000-01-19,1928.2011246203238
2000-01-20,1933.6978350559577
2000-01-21,1916.9664984592946
2000-01-24,1913.0600537735038
2000-01-25,1862.085646819125
2000-01-26,1833.7535494108195
2000-01-27,1827.8638047300622
2000-01-28,1804.014772000557
2000-01-31,1772.2075211364297
2000-02-01,1824.6762316165377
2000-02-02,1828.9879427057454
2000-02-03,1848.781805592543
2000-02-04,1838.0114685665558
2000-02-07,1878.7254555306938
2000-02-08,1890.354586862313
2000-02-09,1899.5992300408107
2000-02-10,1865.006378528642
2000-02-11,1845.5475000042159
2000-02-14,1822.0337875519215
2000-02-15,1826.3523114240263
2000-02-16,1818.583732865957
2000-02-17,1824.2109436248438
2000-02-18,1817.7632388980471
2000-02-21,1791.5713496095411
2000-02-22,1764.5196451804802
2000-02-23,1760.50525645629
2000-02-24,1772.8402879353346
2000-02-25,1755.3958446922861
2000-02-28,1712.0130275374083
2000-02-29,1738.8424663965686
2000-03-01,1762.9010189416772
2000-03-02,1736.0088517143622
2000-03-03,1694.0307635153445
2000-03-06,1724.6552088524124
2000-03-07,1727.4529549396514
2000-03-08,1729.8005922721852
2000-03-09,1745.2048259037936
2000-03-10,1735.9819392546376
2000-03-13,1690.782023472308
2000-03-14,1690.9537556679431
2000-03-15,1679.7107430225851
2000-03-16,1712.7796657249094
2000-03-17,1732.1025067464832
2000-03-20,1717.0971524070624
2000-03-21,1718.854416991729
2000-03-22,1722.7529719336685
2000-03-23,1731.5631536354485
2000-03-24,1746.469916085977
2000-03-27,1756.8140787404034
2000-03-28,1743.699738662278
2000-03-29,1722.7729799318531
2000-03-30,1685.398731427457
2000-03-31,1683.6560633842514
2000-04-03,1681.5671543181882
2000-04-04,1701.1741561778651
2000-04-05,1654.4344615494879
2000-04-06,1678.7025397509835
2000-04-07,1675.3525471411765
2000-04-10,1674.141555618558
2000-04-11,1638.9268062744193
2000-04-12,1646.25040751297
2000-04-13,1636.6421647227253
2000-04-14,1608.8560791191005
2000-04-17,1486.3214858894787
2000-04-18,1498.393547879981
2000-04-19,1530.9232601203428
2000-04-20,1550.3135113305634
2000-04-21,1557.6183026784618
2000-04-24,1552.7119983513421
2000-04-25,1577.6372392057049
2000-04-26,1576.7469856223056
2000-04-27,1568.970500178571
2000-04-28,1581.4856882689944
2000-05-01,1579.2390531176618
2000-05-02,1582.4805825133205
2000-05-03,1571.3502672948653
2000-05-04,1544.1625330328814
2000-05-05,1532.5145821512149
2000-05-08,1539.5525912945245
2000-05-09,1548.853044158268
2000-05-10,1551.8939100492073
2000-05-11,1554.4499638454747
2000-05-12,1541.6020246726162
2000-05-15,1546.3384290074325
2000-05-16,1555.0264304749041
2000-05-17,1524.7543042928105
2000-05-18,1511.3390842055426
2000-05-19,1497.5597077481168
2000-05-22,1492.7469999263897
2000-05-23,1486.8601512343146
2000-05-24,1463.729866586044
2000-05-25,1491.2220887164283
2000-05-26,1495.8598131786923
2000-05-29,1519.0775062212094
2000-05-30,1539.8780014850802
2000-05-31,1557.3103116068041
2000-06-01,1555.9048293314354
2000-06-02,1582.6293532834957
2000-06-05,1581.9915185645755
2000-06-06,1605.4102111998598
2000-06-07,1599.361733150707
2000-06-08,1595.424996794769
2000-06-09,1618.0127986254133
2000-06-12,1627.4191420897039
2000-06-13,1620.1444530010094
2000-06-14,1625.9754653547807
2000-06-15,1621.2395377251305
2000-06-16,1634.9899031800453
2000-06-19,1622.5946036436533
2000-06-20,1619.6298606186347
2000-06-21,1599.9885032179598
2000-06-22,1589.3007724412232
2000-06-23,1585.1965875448734
2000-06-26,1599.3927668587264
2000-06-27,1622.8992435822877
2000-06-28,1623.5554792461521
2000-06-29,1626.206892797978
2000-06-30,1636.2470971095092
2000-07-03,1631.2932555048703
2000-07-04,1635.2619104720177
2000-07-05,1642.749013128066
2000-07-06,1623.7405600580112
2000-07-07,1615.06918877502
2000-07-10,1620.8889737572606
2000-07-11,1619.872093303847
2000-07-12,1628.7581013777483
2000-07-13,1630.4514421795643
2000-07-14,1646.4141039351357
2000-07-17,1640.9086135201367
2000-07-18,1625.6458244751775
2000-07-19,1618.2846635975698
2000-07-20,1610.0209157163613
2000-07-21,1619.9590447314397
2000-07-24,1608.8517031124268
2000-07-25,1606.1495701840906
2000-07-26,1602.808724170615
2000-07-27,1599.9261090644284
2000-07-28,1590.2587850682598
2000-07-31,1584.1954213959852
2000-08-01,1588.1261915026225
