Date,EM EASTERN EUROPE IMI VALUE
2004-01-21,386.28373640157105
2004-01-22,389.6363008448392
2004-01-23,393.3024201111241
2004-01-26,389.9300861760069
2004-01-27,385.956156488938
2004-01-28,381.3547286959234
2004-01-29,381.3279511956829
2004-01-30,378.72931749189365
2004-02-02,380.02069164042825
2004-02-03,384.1186593876772
2004-02-04,386.99180902703165
2004-02-05,386.84845003443985
2004-02-06,385.13258430651723
2004-02-09,392.2462048090486
2004-02-10,391.64718336532485
2004-02-11,393.6719650456719
2004-02-12,402.84967895131194
2004-02-13,404.942026141442
2004-02-16,404.99279394959666
2004-02-17,407.8378973649556
2004-02-18,407.2375941164597
2004-02-19,403.5884126716601
2004-02-20,405.19044419374245
2004-02-23,405.0881338780763
2004-02-24,400.76392511724873
2004-02-25,406.99055183838635
2004-02-26,412.2150634866547
2004-02-27,418.0914008279317
2004-03-01,425.73085536383434
2004-03-02,423.573999308857
2004-03-03,413.7159005706674
2004-03-04,417.7239501990297
2004-03-05,426.2185528241458
2004-03-08,428.07370706104814
2004-03-09,434.83965839474666
2004-03-10,428.25315555819134
2004-03-11,422.03772491222355
2004-03-12,420.7881697197013
2004-03-15,422.3284094196309
2004-03-16,426.24535052783716
2004-03-17,435.1401034330345
2004-03-18,440.2819169242871
2004-03-19,445.79965438828424
2004-03-22,440.43952003504864
2004-03-23,441.3544824466627
2004-03-24,436.10195716539056
2004-03-25,438.3193322091418
2004-03-26,443.143372840193
2004-03-29,448.92677047149283
2004-03-30,456.7883157078443
2004-03-31,464.62995249659554
2004-04-01,463.97607784636773
2004-04-02,468.93647126410764
2004-04-05,471.5591077731013
2004-04-06,463.6206765210623
2004-04-07,470.4879146569395
2004-04-08,476.3711098407095
2004-04-09,478.76351438662437
2004-04-12,478.8384852622868
2004-04-13,470.71359783632045
2004-04-14,454.8467392828954
2004-04-15,458.9035341603015
2004-04-16,456.9891512608692
2004-04-19,451.9662899868919
2004-04-20,449.07916823629387
2004-04-21,440.04878857181154
2004-04-22,428.9354251581919
2004-04-23,427.3244538708253
2004-04-26,431.80742614748976
2004-04-27,422.3755259536888
2004-04-28,426.08725973814546
2004-04-29,412.9253119915642
2004-04-30,411.8060817001939
2004-05-03,412.48395327790325
2004-05-04,414.0686878597512
2004-05-05,417.2296246067423
2004-05-06,416.3111185669447
2004-05-07,393.82480098358366
2004-05-10,387.89537556959226
2004-05-11,379.9516393357601
2004-05-12,388.2920381979514
2004-05-13,386.15152306460004
2004-05-14,387.97960148921317
2004-05-17,397.93529279767915
2004-05-18,402.92289368143753
2004-05-19,411.4019886489377
2004-05-20,409.0533476828966
2004-05-21,407.759078887024
2004-05-24,410.32511616307124
2004-05-25,402.1667427511774
2004-05-26,410.6941710217606
2004-05-27,404.97478649087856
2004-05-28,392.6095382854707
2004-05-31,392.59529550240654
2004-06-01,379.6773158514294
2004-06-02,389.8982061738578
2004-06-03,391.29584440488344
2004-06-04,387.7628341909929
2004-06-07,394.9698849904462
2004-06-08,395.415447785196
2004-06-09,395.5431871158027
2004-06-10,388.2764862720892
2004-06-11,381.15641322149907
2004-06-14,381.3795613329241
2004-06-15,372.3200491890416
2004-06-16,368.52384148471936
2004-06-17,391.73656889719194
2004-06-18,398.1240717156186
2004-06-21,406.97839828315205
2004-06-22,402.1519959000158
2004-06-23,404.1462743157939
2004-06-24,403.740836070752
2004-06-25,403.72225100380143
2004-06-28,398.9054690078584
2004-06-29,393.9721967498339
2004-06-30,401.214049095256
2004-07-01,403.1412215025957
2004-07-02,392.363027307785
2004-07-05,389.91071023451866
2004-07-06,390.454444149128
2004-07-07,399.7624957426966
2004-07-08,399.53906303323527
2004-07-09,396.8452334681301
2004-07-12,401.1789198822788
2004-07-13,409.3349096334848
2004-07-14,409.77568555318766
2004-07-15,408.77014269604535
2004-07-16,411.6504493531133
2004-07-19,416.37945453417433
2004-07-20,404.51729349749814
2004-07-21,397.452797248459
2004-07-22,384.9526102821382
2004-07-23,388.1118682460893
2004-07-26,379.6400031333933
2004-07-27,376.5706681253453
2004-07-28,361.12732323774986
2004-07-29,367.20462847234586
2004-07-30,372.85840983343843
2004-08-02,376.21539861112905
2004-08-03,377.8606057291588
2004-08-04,379.24211227863594
2004-08-05,379.6813500506395
2004-08-06,376.994113672622
2004-08-09,382.3865300632526
2004-08-10,377.62713698448925
2004-08-11,370.4836555608003
2004-08-12,372.85322786134066
2004-08-13,383.6140984687375
2004-08-16,385.9103563891097
2004-08-17,387.5272049614709
2004-08-18,380.2608669495155
2004-08-19,382.28365850152176
2004-08-20,383.2086913444755
2004-08-23,380.86686913889673
2004-08-24,384.7887878642794
2004-08-25,383.41416116626954
2004-08-26,385.57835277770147
2004-08-27,391.11456054899367
2004-08-30,390.9844435251132
2004-08-31,396.95325251713166
2004-09-01,398.36680356354134
2004-09-02,399.0570793385588
2004-09-03,398.9711250617524
