Date,BRIC IMI GROWTH
2018-03-22,1775.1451683114478
2018-03-23,1727.4383321448277
2018-03-26,1745.2920944929963
2018-03-27,1738.7472688520004
2018-03-28,1705.947512122444
2018-03-29,1728.3369629651809
2018-03-30,1728.5055273385908
2018-04-02,1715.422362750388
2018-04-03,1718.7987944112876
2018-04-04,1697.362122629619
2018-04-05,1721.0318627407614
2018-04-06,1710.0481467870209
2018-04-09,1699.4464453918472
2018-04-10,1718.3903627566847
2018-04-11,1711.1256234797763
2018-04-12,1722.188918818307
2018-04-13,1698.8340102303678
2018-04-16,1683.8275368127202
2018-04-17,1693.5477354557413
2018-04-18,1703.5744220998943
2018-04-19,1709.765887134402
2018-04-20,1702.7291214567415
2018-04-23,1692.0691843638608
2018-04-24,1693.0201331740823
2018-04-25,1676.1057669254926
2018-04-26,1691.4227593393105
2018-04-27,1713.9148710363083
2018-04-30,1724.5863936115404
2018-05-01,1739.0745948568901
2018-05-02,1736.8549769207186
2018-05-03,1722.703770647161
2018-05-04,1732.5142153459885
2018-05-07,1749.266254800851
2018-05-08,1771.8110442551372
2018-05-09,1772.0442754472542
2018-05-10,1789.408031864815
2018-05-11,1779.9912339918055
2018-05-14,1782.685654944422
2018-05-15,1769.101139043645
2018-05-16,1790.589445593737
2018-05-17,1787.1778869505792
2018-05-18,1771.8195850799023
2018-05-21,1770.490862279482
2018-05-22,1774.1230627798902
2018-05-23,1774.8581654523236
2018-05-24,1776.7111471548587
2018-05-25,1792.0709780387813
2018-05-28,1797.6799515044331
2018-05-29,1791.0882035377142
2018-05-30,1777.1101978546108
2018-05-31,1780.0991966444906
2018-06-01,1800.8486239397728
2018-06-04,1824.4760983927354
2018-06-05,1825.945038279979
2018-06-06,1820.049487332647
2018-06-07,1802.217975644565
2018-06-08,1798.243859194988
2018-06-11,1806.123644444972
2018-06-12,1819.0512850219448
2018-06-13,1806.1718741221498
2018-06-14,1824.3864805064038
2018-06-15,1810.8941987312253
2018-06-18,1807.693138024906
2018-06-19,1781.9611535860936
2018-06-20,1795.091517140807
2018-06-21,1767.1859999320288
2018-06-22,1773.5844594167843
2018-06-25,1724.4247557367255
2018-06-26,1724.1418670256467
2018-06-27,1690.60124360354
2018-06-28,1697.379235437951
2018-06-29,1715.6246658972811
2018-07-02,1720.7770789852168
2018-07-03,1707.9771712298523
2018-07-04,1695.5324424497833
2018-07-05,1690.4625778823413
2018-07-06,1700.8670531989892
2018-07-09,1728.9976291741934
2018-07-10,1727.3277700064998
2018-07-11,1707.083645326865
2018-07-12,1733.7093975467046
2018-07-13,1739.276435395611
2018-07-16,1728.1780104999073
2018-07-17,1730.8724519000875
2018-07-18,1730.8449875226177
2018-07-19,1712.4758652623789
2018-07-20,1705.014864064834
2018-07-23,1701.5837367141357
2018-07-24,1719.693700847504
2018-07-25,1752.456305524681
2018-07-26,1739.64226778901
2018-07-27,1732.147728764556
2018-07-30,1705.4189039622756
2018-07-31,1692.4031362144704
2018-08-01,1685.5798236655176
2018-08-02,1668.9221032505616
2018-08-03,1679.611938875231
2018-08-06,1678.3358546411434
2018-08-07,1687.9508409909674
2018-08-08,1676.9133495964993
2018-08-09,1684.7259978959714
2018-08-10,1692.3356611078084
2018-08-13,1667.8056758650794
2018-08-14,1651.1606281124848
2018-08-15,1621.4861562139317
2018-08-16,1606.6210307786498
2018-08-17,1611.44790997149
2018-08-20,1638.0381995226833
2018-08-21,1631.8271562914524
2018-08-22,1626.703620676001
2018-08-23,1613.636856122624
2018-08-24,1609.5975497620175
2018-08-27,1638.8846617452632
2018-08-28,1627.622013472488
2018-08-29,1628.9664540762692
2018-08-30,1607.209460473307
2018-08-31,1601.053037274119
2018-09-03,1585.5921229478934
2018-09-04,1580.7598968280001
2018-09-05,1532.8248863685742
2018-09-06,1515.8980070937475
2018-09-07,1534.6478827815763
2018-09-10,1499.4780512432403
2018-09-11,1483.0236623223616
2018-09-12,1485.984294708315
2018-09-13,1507.0544830235478
2018-09-14,1524.1847901398767
2018-09-17,1492.8113564198977
2018-09-18,1491.202588373385
2018-09-19,1518.0514746222973
2018-09-20,1519.5355329236365
2018-09-21,1535.7518924373182
2018-09-24,1501.0317838196434
2018-09-25,1505.177930305546
2018-09-26,1519.9902534647026
2018-09-27,1528.8678533744778
2018-09-28,1527.305171541708
2018-10-01,1522.9566667874133
2018-10-02,1513.1094271423585
2018-10-03,1520.9306718501712
2018-10-04,1482.015944784237
2018-10-05,1464.6575448043936
2018-10-08,1461.0207449367626
2018-10-09,1445.7076070395979
2018-10-10,1413.33480102027
2018-10-11,1381.9531457181045
2018-10-12,1433.0077732109964
2018-10-15,1416.066032893638
2018-10-16,1439.1827777141812
2018-10-17,1433.8593767229902
2018-10-18,1416.7185329047304
2018-10-19,1414.8531410487426
2018-10-22,1449.7445733535599
2018-10-23,1417.9984256591144
2018-10-24,1405.5834661769532
2018-10-25,1412.7242972297283
2018-10-26,1398.0985838270938
2018-10-29,1378.0888639236027
