Date,EM FAR EAST IMI GROWTH
2012-07-10,1053.2599419385792
2012-07-11,1055.0938452192638
2012-07-12,1037.5449854769633
2012-07-13,1042.0110164498337
2012-07-16,1044.6549109491832
2012-07-17,1054.9198012552306
2012-07-18,1038.8565195356875
2012-07-19,1058.263352535218
2012-07-20,1066.919274753758
2012-07-23,1045.4090874081348
2012-07-24,1045.3130651875574
2012-07-25,1031.9011148461705
2012-07-26,1020.7064862950549
2012-07-27,1042.3765082052537
2012-07-30,1063.7004502385093
2012-07-31,1075.236387293376
2012-08-01,1079.4043730250696
2012-08-02,1081.7970668685532
2012-08-03,1059.1339805494183
2012-08-06,1072.497365128593
2012-08-07,1073.266471000378
2012-08-08,1081.484295277298
2012-08-09,1101.7032034830506
2012-08-10,1100.0590922830859
2012-08-13,1088.7469016749303
2012-08-14,1100.2449802408948
2012-08-15,1098.2051831405297
2012-08-16,1091.6872148924513
2012-08-17,1095.279619183989
2012-08-20,1091.1495169045704
2012-08-21,1085.1470109136876
2012-08-22,1078.141537847981
2012-08-23,1078.3806221528532
2012-08-24,1073.2043192500387
2012-08-27,1062.0935018579803
2012-08-28,1054.3765511301856
2012-08-29,1061.1597385397474
2012-08-30,1056.0607237041488
2012-08-31,1048.7561367478384
2012-09-03,1059.6077216140425
2012-09-04,1056.6562592192183
2012-09-05,1036.8507111619303
2012-09-06,1037.4362197106311
2012-09-07,1048.4109755191173
2012-09-10,1052.4682575690022
2012-09-11,1049.9273230983974
2012-09-12,1060.4620516393345
2012-09-13,1058.658784721199
2012-09-14,1071.6778674592094
2012-09-17,1071.170543851732
2012-09-18,1070.2307744939435
2012-09-19,1075.8883140409343
2012-09-20,1068.8526592947833
2012-09-21,1074.7402633663226
2012-09-24,1080.9202582119553
2012-09-25,1075.4732761403845
2012-09-26,1075.817899062371
2012-09-27,1083.3605968572815
2012-09-28,1095.3122230185006
2012-10-01,1090.0231493024953
2012-10-02,1091.708754319894
2012-10-03,1093.698267886211
2012-10-04,1087.676584060915
2012-10-05,1089.309806135709
2012-10-08,1086.6522629138858
2012-10-09,1091.2484997562833
2012-10-10,1083.3564714220029
2012-10-11,1074.6714639335794
2012-10-12,1077.4320918581723
2012-10-15,1077.1480519792108
2012-10-16,1078.8175736898886
2012-10-17,1076.7496937085843
2012-10-18,1082.1534145276044
2012-10-19,1081.2461468102354
2012-10-22,1079.433317796237
2012-10-23,1084.9231097439874
2012-10-24,1080.3073326776416
2012-10-25,1085.5095424882493
2012-10-26,1073.2253589097947
2012-10-29,1074.2538148573753
2012-10-30,1075.111701791715
2012-10-31,1084.2260097922572
2012-11-01,1088.369006773837
2012-11-02,1105.9873265941478
2012-11-05,1108.0064816664
2012-11-06,1111.470415641068
2012-11-07,1124.4614831906974
2012-11-08,1113.9232482094365
2012-11-09,1114.9730544082843
2012-11-12,1115.1648441538325
2012-11-13,1104.8896251362023
2012-11-14,1109.3163414602138
2012-11-15,1091.672282285196
2012-11-16,1094.0934606960564
2012-11-19,1088.8489750577783
2012-11-20,1096.1986595024684
2012-11-21,1097.643770967051
2012-11-22,1099.7829374504536
2012-11-23,1108.9062210446014
2012-11-26,1108.0680140478346
2012-11-27,1113.636845868586
2012-11-28,1110.3705691611162
2012-11-29,1114.9004680098658
2012-11-30,1117.552261909672
2012-12-03,1111.9588622249926
2012-12-04,1109.697732014675
2012-12-05,1124.3393029744589
2012-12-06,1129.0091614330959
2012-12-07,1139.8449633461703
2012-12-10,1142.6133833794418
2012-12-11,1136.8809120990677
2012-12-12,1142.2947714950728
2012-12-13,1144.2852550763705
2012-12-14,1139.8154510816544
2012-12-17,1127.5201736108525
2012-12-18,1125.064158036394
2012-12-19,1125.4665707987494
2012-12-20,1123.3217749301064
2012-12-21,1116.9009419458896
2012-12-24,1119.9380325401712
2012-12-25,1123.412978311163
2012-12-26,1121.1599059076318
2012-12-27,1126.7168103334345
2012-12-28,1134.1938093807528
2012-12-31,1139.5588483492775
2013-01-01,1139.5588483492775
2013-01-02,1160.1077309711875
2013-01-03,1174.6211336900956
2013-01-04,1174.2023667002966
2013-01-07,1168.663097147008
2013-01-08,1164.58045413074
2013-01-09,1170.3764550587487
2013-01-10,1159.798936999817
2013-01-11,1145.9384914017792
2013-01-14,1150.9899556185871
2013-01-15,1144.4661050086838
2013-01-16,1143.4976011991362
2013-01-17,1132.4069408229373
2013-01-18,1151.823743903642
2013-01-21,1143.4149027671212
2013-01-22,1149.6862662169124
2013-01-23,1144.974837422585
2013-01-24,1128.0274856884355
2013-01-25,1108.637405677893
2013-01-28,1100.312825783876
2013-01-29,1112.5743078097128
2013-01-30,1111.4429681139534
2013-01-31,1107.827191231729
2013-02-01,1096.998577127002
2013-02-04,1114.608071228645
2013-02-05,1108.5105578279877
2013-02-06,1108.1939326987394
2013-02-07,1118.7965273230523
2013-02-08,1121.716086525646
2013-02-11,1121.7357357870837
2013-02-12,1116.3926768156748
2013-02-13,1126.324832963068
2013-02-14,1139.6884724498252
2013-02-15,1144.2073940441476
2013-02-18,1142.8118843243462
2013-02-19,1138.2274015380226
2013-02-20,1153.438866276519
2013-02-21,1152.0529162297619
2013-02-22,1153.9452074714181
2013-02-25,1149.0067622226604
2013-02-26,1150.5778255976174
2013-02-27,1152.3415690054894
2013-02-28,1171.3066916468058
2013-03-01,1181.5271818567585
2013-03-04,1163.2583408896703
2013-03-05,1170.7322167785712
2013-03-06,1183.5837523622806
2013-03-07,1168.7703304317931
2013-03-08,1183.7306989823226
2013-03-11,1174.9489418902547
2013-03-12,1167.4248647767117
2013-03-13,1171.15675307741
2013-03-14,1163.5753945616952
2013-03-15,1148.5625318234418
2013-03-18,1139.6559751075592
2013-03-19,1151.498409344232
2013-03-20,1145.5535530393433
2013-03-21,1144.816105302957
2013-03-22,1132.86048666786
2013-03-25,1157.0814535926768
2013-03-26,1163.4081597604459
2013-03-27,1176.8126225854935
2013-03-28,1165.5066125642645
