Date,MSCI World IMI with USA Gross Index
2005-10-12,1104.5961348876094
2005-10-13,1105.202284440378
2005-10-14,1102.2383820533782
2005-10-17,1106.0672089216687
2005-10-18,1103.8398523711408
2005-10-19,1102.4143888788358
2005-10-20,1095.2093408284059
2005-10-21,1093.1630921425215
2005-10-24,1108.9888419341473
2005-10-25,1101.7203458317774
2005-10-26,1101.9096404072213
2005-10-27,1088.1394892870044
2005-10-28,1099.3274787949706
2005-10-31,1122.1694235169355
2005-11-01,1121.9822493538798
2005-11-02,1125.6673769199808
2005-11-03,1137.615731227297
2005-11-04,1150.7723507565195
2005-11-07,1155.0802879310368
2005-11-08,1156.2174381465918
2005-11-09,1158.1960904947955
2005-11-10,1161.070243336777
2005-11-11,1170.675737685481
2005-11-14,1168.2593553051772
2005-11-15,1165.4516867395448
2005-11-16,1166.4622448368818
2005-11-17,1173.3752085672106
2005-11-18,1180.8620741086806
2005-11-21,1184.5276271758175
2005-11-22,1189.3776458888926
2005-11-23,1188.8621889535837
2005-11-24,1188.5060887824136
2005-11-25,1194.4487029957836
2005-11-28,1183.2765721015794
2005-11-29,1186.1486633459072
2005-11-30,1178.749284477665
2005-12-01,1199.3429894566518
2005-12-02,1206.4591026933224
2005-12-05,1199.6632670149488
2005-12-06,1200.6621773155598
2005-12-07,1202.1553333900101
2005-12-08,1192.4035642062665
2005-12-09,1195.5710701890157
2005-12-12,1190.8645602452234
2005-12-13,1196.497812907963
2005-12-14,1192.5804517463039
2005-12-15,1194.7109319165052
2005-12-16,1191.806351441
2005-12-19,1188.2655242214616
2005-12-20,1197.9226832416398
2005-12-21,1209.117118083223
2005-12-22,1208.9319626987945
2005-12-23,1209.97559570319
2005-12-26,1210.9097188596686
2005-12-27,1203.6600319202703
2005-12-28,1202.6914590668925
2005-12-29,1208.6108739930255
2005-12-30,1205.5293736762624
2006-01-02,1206.7465934659347
2006-01-03,1209.1515319034038
2006-01-04,1211.1763923202293
2006-01-05,1211.33119240632
2006-01-06,1217.983929377156
2006-01-09,1227.0860318084085
2006-01-10,1223.5665269452597
2006-01-11,1227.3249869461245
2006-01-12,1230.0758088454172
2006-01-13,1225.8175302081054
2006-01-16,1222.1746126921248
2006-01-17,1216.2665176058658
2006-01-18,1202.9106159869475
2006-01-19,1213.3079399821738
2006-01-20,1202.1381615727782
2006-01-23,1187.5833625796315
2006-01-24,1191.7098482238302
2006-01-25,1194.7203286702886
2006-01-26,1205.9342341164686
2006-01-27,1226.4613821628889
2006-01-30,1231.90393327967
2006-01-31,1227.6952945131402
2006-02-01,1233.4593419971204
2006-02-02,1225.7763639865784
2006-02-03,1227.0772118391426
2006-02-06,1231.6561343891021
2006-02-07,1226.1860602099457
2006-02-08,1225.4528751375456
2006-02-09,1229.737570035414
2006-02-10,1231.1934537507896
2006-02-13,1225.706475383822
2006-02-14,1236.3811629954862
2006-02-15,1236.4459649231123
2006-02-16,1244.7587684790387
2006-02-17,1239.7377466558114
2006-02-20,1237.2200503936588
2006-02-21,1242.686432609465
2006-02-22,1251.094003796196
2006-02-23,1249.982594833479
2006-02-24,1257.5954197363978
2006-02-27,1264.3778982420624
2006-02-28,1248.4112721887604
2006-03-01,1254.702223033582
2006-03-02,1247.490369591535
2006-03-03,1242.1401714707167
2006-03-06,1239.1808461628264
2006-03-07,1241.2857633473923
2006-03-08,1235.5612987559823
2006-03-09,1238.7342345074105
2006-03-10,1247.7999223438655
2006-03-13,1251.892801867435
2006-03-14,1254.293368690136
2006-03-15,1257.999770111429
2006-03-16,1249.4174045824439
2006-03-17,1251.7076118627617
2006-03-20,1252.9728560789094
2006-03-21,1253.686034564038
2006-03-22,1259.7160231216637
2006-03-23,1264.6346972337358
2006-03-24,1266.8420929698489
2006-03-27,1264.1855737191843
2006-03-28,1254.903318813963
2006-03-29,1268.1091413383658
