Date,NORTH AMERICA IMI
2005-11-29,903.9566446354187
2005-11-30,897.5249446215865
2005-12-01,915.3405057507437
2005-12-02,917.7100767735839
2005-12-05,910.211904671363
2005-12-06,910.4787427841267
2005-12-07,910.5959991694632
2005-12-08,902.7970267630596
2005-12-09,904.4469147030745
2005-12-12,896.3651219108824
2005-12-13,902.1305672691675
2005-12-14,897.9166069246179
2005-12-15,901.7955206885968
2005-12-16,895.3289407893935
2005-12-19,890.0305642779897
2005-12-20,897.8558858383383
2005-12-21,906.8293002906818
2005-12-22,907.0446057948025
2005-12-23,907.6750494017098
2005-12-26,907.6750494017098
2005-12-27,899.3074443310841
2005-12-28,897.7272630274815
2005-12-29,900.8205405870585
2005-12-30,900.2028387645807
2006-01-02,900.2028387645807
2006-01-03,901.515450731728
2006-01-04,897.6025433826812
2006-01-05,897.0945770345598
2006-01-06,901.7870238702197
2006-01-09,910.4958592376155
2006-01-10,911.9554668931459
2006-01-11,912.6584228757106
2006-01-12,911.5438793704616
2006-01-13,909.8051849331326
2006-01-16,907.1807106146238
2006-01-17,907.7664454986634
2006-01-18,901.0488557018374
2006-01-19,906.4664872849628
2006-01-20,893.3536724139734
2006-01-23,882.3351356678791
2006-01-24,885.7084924333012
2006-01-25,884.9358457032989
2006-01-26,892.9680858248302
2006-01-27,907.9857198536251
2006-01-30,913.6218487558752
2006-01-31,907.248079569959
2006-02-01,911.7538161798498
2006-02-02,904.7942053105744
2006-02-03,906.9140521617961
2006-02-06,910.6515187145932
2006-02-07,903.2497737393576
2006-02-08,909.3797162160535
2006-02-09,907.8917809104441
2006-02-10,911.817112107739
2006-02-13,907.7467005815646
2006-02-14,919.0897704883531
2006-02-15,920.3055032421724
2006-02-16,928.5834975898474
2006-02-17,925.2496269190457
2006-02-20,923.9990339965985
2006-02-21,924.8485013644678
2006-02-22,932.8119390126859
2006-02-23,926.2505660129576
2006-02-24,932.4012355702292
2006-02-27,936.6467099881692
2006-02-28,922.4606403850331
2006-03-01,930.3927123704595
2006-03-02,926.1218254210827
2006-03-03,922.7220078815616
2006-03-06,915.967549310892
2006-03-07,921.3065591485973
2006-03-08,919.4207320377673
2006-03-09,915.0937246516737
2006-03-10,924.6569292363358
2006-03-13,923.4909191741099
2006-03-14,925.9836296604935
2006-03-15,929.5537815990165
2006-03-16,921.9067579566512
2006-03-17,921.3907839770186
2006-03-20,919.4047044133029
2006-03-21,919.9202295167179
2006-03-22,925.7195588084749
2006-03-23,932.5182631742289
2006-03-24,932.5600074774405
2006-03-27,930.0990817587195
2006-03-28,921.050653849903
2006-03-29,935.9261637098903
2006-03-30,924.2857191715068
2006-03-31,924.1399345756702
2006-04-03,924.2676761886465
2006-04-04,918.2111209061746
2006-04-05,922.3469874407587
2006-04-06,924.7299050926964
2006-04-07,924.5322068821945
2006-04-10,925.5112511907092
2006-04-11,916.2431158551948
2006-04-12,918.6687170280824
2006-04-13,921.4401015144839
2006-04-14,921.4401015144839
2006-04-17,905.6988207030079
2006-04-18,921.443441183718
2006-04-19,921.059226088863
2006-04-20,922.3605866395054
2006-04-21,920.423777118417
2006-04-24,915.2471965008119
2006-04-25,908.9945120589366
2006-04-26,908.3062779066835
2006-04-27,902.9484725455346
2006-04-28,900.1051145709855
2006-05-01,895.9014991330522
2006-05-02,899.4673914116601
2006-05-03,898.453567003109
2006-05-04,896.2256530267731
2006-05-05,902.0138385998074
2006-05-08,903.1225418731213
2006-05-09,900.8769636718869
2006-05-10,896.9385842761722
2006-05-11,883.3894567963209
2006-05-12,868.111939664852
2006-05-15,870.837017569912
2006-05-16,868.4626826586278
2006-05-17,858.3450157319646
2006-05-18,849.8166573031409
2006-05-19,859.9055052397458
2006-05-22,849.0119241688482
2006-05-23,843.139449220959
2006-05-24,848.7274320253881
2006-05-25,859.3949252128165
2006-05-26,868.5254106993393
2006-05-29,866.8424976531867
2006-05-30,844.4605022035943
2006-05-31,854.654421101602
2006-06-01,867.4706124467274
2006-06-02,862.1909658406315
2006-06-05,845.0369993260879
2006-06-06,850.5617553502398
2006-06-07,847.5933929238195
2006-06-08,856.372336624588
2006-06-09,853.3292443433656
2006-06-12,844.95554409402
2006-06-13,835.6095399417205
2006-06-14,836.1390629785166
2006-06-15,855.0983281011952
2006-06-16,850.4262860532555
2006-06-19,847.1098293106857
2006-06-20,845.3648534633156
2006-06-21,850.8159201415464
2006-06-22,850.8953130516683
2006-06-23,855.5441596422338
2006-06-26,858.1539710777809
2006-06-27,847.0870126544982
2006-06-28,855.6852124928254
2006-06-29,875.013454772418
2006-06-30,858.4145718371509
2006-07-03,863.5808835768145
2006-07-04,864.9179816051007
2006-07-05,862.7243626429628
2006-07-06,862.4296386282056
2006-07-07,851.6661869851387
2006-07-10,857.437457897483
2006-07-11,860.2985747624007
2006-07-12,855.1258654183392
2006-07-13,843.1553789449098
2006-07-14,843.1189971702465
2006-07-17,848.0582377982676
2006-07-18,851.3428254655163
2006-07-19,862.8427395345311
2006-07-20,847.6958676780284
2006-07-21,837.7034360499268
2006-07-24,856.4986326957259
2006-07-25,863.0556557448857
2006-07-26,864.1006130042701
2006-07-27,851.5638428423736
2006-07-28,860.0787924487656
2006-07-31,859.6594328196641
2006-08-01,856.6835723729885
2006-08-02,858.1030384059262
2006-08-03,861.1966689399034
2006-08-04,853.3356892622909
2006-08-07,853.4505999598268
2006-08-08,851.7343761181378
2006-08-09,844.9263723153144
2006-08-10,855.449276687967
2006-08-11,852.5424447024513
2006-08-14,854.237622273651
2006-08-15,863.8118888930353
2006-08-16,867.2343799565544
2006-08-17,868.0296706793853
2006-08-18,873.2305092702663
2006-08-21,863.9930797828655
2006-08-22,872.4363508257517
2006-08-23,869.5868461116734
2006-08-24,870.6950072571916
2006-08-25,873.5584933076755
2006-08-28,875.3142866134616
2006-08-29,879.5585788012003
2006-08-30,875.3821509928441
2006-08-31,877.8285442896275
2006-09-01,882.4371890193901
2006-09-04,878.2196365856831
2006-09-05,884.2028395028916
2006-09-06,875.5266155420709
2006-09-07,874.60567953997
2006-09-08,881.0494129639878
2006-09-11,878.055685522029
2006-09-12,888.2217856245253
2006-09-13,893.2997313027754
2006-09-14,886.219331713022
2006-09-15,895.0503600568229
2006-09-18,894.0585946602623
2006-09-19,890.0488489099426
2006-09-20,894.2341651157489
2006-09-21,888.4828598505819
2006-09-22,879.9349003615307
2006-09-25,891.6312216239418
2006-09-26,902.5784780128577
2006-09-27,901.8356954084127
2006-09-28,905.2031291949344
2006-09-29,903.7249566830717
2006-10-02,894.9653061740171
2006-10-03,894.9494834602407
2006-10-04,909.4960617149403
2006-10-05,913.7413515463622
2006-10-06,918.2325595917523
2006-10-09,918.8486829769853
2006-10-10,925.4107212605822
2006-10-11,921.1724653864353
2006-10-12,931.7854479569754
2006-10-13,938.1260429440404
2006-10-16,940.4161477247575
2006-10-17,934.5516585306949
2006-10-18,937.2587687827825
2006-10-19,932.8239174874897
2006-10-20,932.4895948134869
2006-10-23,941.6533890042285
2006-10-24,942.6526563453805
2006-10-25,944.0461971597225
2006-10-26,943.1714584342482
2006-10-27,931.5724185446137
2006-10-30,932.669608879801
2006-10-31,929.4185329221893
2006-11-01,920.1860947542897
2006-11-02,920.5421615477311
2006-11-03,924.9122605766266
2006-11-06,934.6756151424089
2006-11-07,930.100531703474
2006-11-08,936.2769115350152
2006-11-09,929.0302880393858
2006-11-10,926.1630820066852
2006-11-13,931.3592073291151
2006-11-14,937.6761295306884
2006-11-15,941.3941509764903
2006-11-16,942.6056855806349
2006-11-17,941.4206144752062
2006-11-20,942.5002171070059
2006-11-21,944.5046257757203
2006-11-22,939.1038353229167
2006-11-23,938.3996501001403
2006-11-24,926.0473795781116
2006-11-27,910.7373609090132
2006-11-28,911.6268703690372
2006-11-29,920.3915891516922
2006-11-30,914.7110003761381
2006-12-01,906.9339178403682
2006-12-04,916.200156992369
2006-12-05,921.0016279834749
2006-12-06,919.3070281371611
2006-12-07,917.2351620877978
2006-12-08,917.0532255534022
2006-12-11,925.5678906177643
2006-12-12,921.9313164337871
2006-12-13,924.3494687556116
2006-12-14,935.5015669250549
2006-12-15,940.925279608001
2006-12-18,938.2208882738605
2006-12-19,932.5791129834912
2006-12-20,931.4149922453149
2006-12-21,928.8415159511738
2006-12-22,925.0552048804115
2006-12-25,925.0552048804115
2006-12-26,930.281876481278
2006-12-27,938.2092266975428
2006-12-28,935.9125036122249
2006-12-29,928.4837818106935
2007-01-01,928.4837818106935
2007-01-02,922.1472996183167
2007-01-03,925.7552243487589
2007-01-04,933.5512290837389
2007-01-05,933.8770339909961
2007-01-08,935.2140652600575
2007-01-09,935.3084202414315
2007-01-10,941.4029350891537
2007-01-11,952.1868777771181
2007-01-12,954.9979859641066
2007-01-15,955.3765680330151
2007-01-16,955.5162769634645
2007-01-17,953.361053846033
2007-01-18,949.0037369869113
2007-01-19,953.2102275956029
2007-01-22,947.3990364524004
2007-01-23,946.45919327473
2007-01-24,959.6675719345426
2007-01-25,948.7469548919631
2007-01-26,953.704115703945
2007-01-29,951.1494348488553
2007-01-30,955.2088134313747
2007-01-31,958.4326484164193
2007-02-01,962.5127179371098
2007-02-02,967.2074897031757
2007-02-05,970.3707076549096
2007-02-06,969.6657477738372
2007-02-07,966.7770177523416
2007-02-08,964.404518327048
2007-02-09,960.6923078677581
2007-02-12,959.9184662703348
2007-02-13,964.2181523670896
2007-02-14,962.7340640156124
2007-02-15,963.344738481651
2007-02-16,964.7175960618806
2007-02-19,963.3252832235331
2007-02-20,965.7716175907981
2007-02-21,967.2311352617206
2007-02-22,968.526816411795
2007-02-23,961.5821544229738
2007-02-26,960.2892840070646
2007-02-27,922.4040140036232
2007-02-28,928.7853924978842
2007-03-01,929.42832725418
2007-03-02,917.3627265016917
2007-03-05,911.7726009039134
2007-03-06,926.1024588174196
2007-03-07,922.209018396363
2007-03-08,930.0241295831512
2007-03-09,932.3668149956094
2007-03-12,930.1439190746805
2007-03-13,910.4237068339271
2007-03-14,913.6136038383864
2007-03-15,916.369403544144
2007-03-16,908.6906176736941
2007-03-19,919.3792003795814
2007-03-20,926.0419359734389
2007-03-21,940.7046904482626
2007-03-22,936.9712367373443
2007-03-23,942.352210247354
2007-03-26,941.0963250710391
2007-03-27,934.3143840259801
2007-03-28,926.6826011297136
2007-03-29,932.1043439839171
2007-03-30,932.9468285603565
2007-04-02,931.4385243119084
2007-04-03,940.0099126718463
2007-04-04,941.1591046262265
2007-04-05,939.9880203476114
2007-04-06,939.9880203476114
2007-04-09,945.5630443895985
2007-04-10,942.5532570186837
2007-04-11,937.1963094746897
2007-04-12,939.5987744985383
2007-04-13,941.9679367470776
2007-04-16,949.5164037788438
2007-04-17,949.2386314326101
2007-04-18,948.6549860237029
2007-04-19,944.6306668995614
2007-04-20,954.3317727728096
2007-04-23,954.6390566987076
2007-04-24,950.0821443746574
2007-04-25,956.6275235671271
2007-04-26,959.8243557085766
2007-04-27,956.2610859569096
2007-04-30,948.2637158237777
2007-05-01,953.7280446553013
2007-05-02,961.6926026130051
2007-05-03,968.2113878781215
2007-05-04,969.1075135798955
2007-05-07,969.3169969902124
2007-05-08,975.3079485602925
2007-05-09,976.9346682252842
2007-05-10,966.5668276722026
2007-05-11,975.2635302832108
2007-05-14,971.6929903888496
2007-05-15,966.2117388723279
2007-05-16,975.3604249360201
2007-05-17,981.0609007666424
2007-05-18,987.4634375916653
2007-05-21,993.4367427977721
2007-05-22,993.4262531182009
2007-05-23,990.4607762294283
2007-05-24,983.4164619650829
2007-05-25,987.7213579034523
2007-05-28,987.9677643642506
2007-05-29,988.5163502801076
2007-05-30,1000.667765112423
2007-05-31,1000.0
2007-06-01,1007.4584085463023
2007-06-04,1005.3352677352381
2007-06-05,996.9417292173925
2007-06-06,989.7729579231215
2007-06-07,974.2036739994766
2007-06-08,992.136065935046
2007-06-11,994.1593567769024
2007-06-12,985.696560866133
2007-06-13,1000.5739535568338
2007-06-14,1005.4126895357159
2007-06-15,1009.2286366693496
2007-06-18,1005.2390117267583
2007-06-19,1006.1472057214722
2007-06-20,992.1831010981657
2007-06-21,999.3318405416775
2007-06-22,985.8961027394856
2007-06-25,979.3100058093421
2007-06-26,974.8628707747691
2007-06-27,986.1220249717627
2007-06-28,984.1120523835831
2007-06-29,980.5538744282484
2007-07-02,982.520769482599
2007-07-03,987.2420471980961
2007-07-04,986.7086519602782
2007-07-05,989.3066685375815
2007-07-06,991.4634988886154
2007-07-09,992.810992106245
2007-07-10,972.5920803693003
2007-07-11,973.2986751948749
2007-07-12,991.9077759667925
2007-07-13,995.2192279401928
2007-07-16,992.2507395308303
2007-07-17,991.621238120389
2007-07-18,989.1495530628316
2007-07-19,992.8076270649466
2007-07-20,980.4489128467064
2007-07-23,984.321916520993
2007-07-24,963.3503602272642
2007-07-25,974.6166316505831
2007-07-26,950.7838040926554
2007-07-27,940.5948565806812
2007-07-30,947.3861446017746
2007-07-31,936.5460594867468
2007-08-01,942.0545831998123
2007-08-02,948.0411963653365
2007-08-03,916.831016867099
2007-08-06,933.0719438887766
2007-08-07,940.7242040873565
2007-08-08,951.6718463587669
2007-08-09,932.9956584120946
2007-08-10,935.2176603547457
2007-08-13,938.9998345053605
2007-08-14,924.2096824327239
2007-08-15,916.8077969490835
2007-08-16,923.223995220628
2007-08-17,937.9774945412199
2007-08-20,941.5264135389755
2007-08-21,942.7873253068323
2007-08-22,952.797110008558
2007-08-23,947.4749346128874
2007-08-24,953.8559549958303
2007-08-27,945.759525059476
2007-08-28,923.1905645339727
2007-08-29,943.029511562225
2007-08-30,940.47870290688
2007-08-31,952.1546858330993
2007-09-03,954.0434194833662
2007-09-04,965.7554150256693
2007-09-05,951.3484756201618
2007-09-06,952.6695221919995
2007-09-07,932.0972666644903
2007-09-10,927.7416250991934
2007-09-11,937.6654358204261
2007-09-12,934.9133539476378
2007-09-13,942.5185247527975
2007-09-14,944.2532003093495
2007-09-17,939.4500252119627
2007-09-18,966.3957447078596
2007-09-19,966.1601347882804
2007-09-20,952.1254411745471
2007-09-21,956.1663592724217
2007-09-24,951.653034648919
2007-09-25,949.2851747073929
2007-09-26,954.3790487639606
2007-09-27,957.3498194989065
2007-09-28,950.154639322827
2007-10-01,961.5205344350978
2007-10-02,967.3814071469975
2007-10-03,963.3649755513142
2007-10-04,966.3593085362115
2007-10-05,977.5934253591789
2007-10-08,979.6068094565719
2007-10-09,985.4026370278759
2007-10-10,979.4060143691025
2007-10-11,969.5149329952152
2007-10-12,978.8783852486539
2007-10-15,967.1581092791645
2007-10-16,964.8774093587547
2007-10-17,964.3685281671637
2007-10-18,958.9114460709483
2007-10-19,937.2019604347078
2007-10-22,947.3894228431109
2007-10-23,949.9224257969958
2007-10-24,947.9795396133023
2007-10-25,941.8617128317097
2007-10-26,949.8875349443055
2007-10-29,953.4946082559924
2007-10-30,945.9352884011461
2007-10-31,955.9359923735368
2007-11-01,933.5553576473702
2007-11-02,932.3362605548546
2007-11-05,927.7573847701505
2007-11-06,934.4393664383551
2007-11-07,902.5549354758697
2007-11-08,900.3700934085024
2007-11-09,886.7128421039434
2007-11-12,882.9025136603242
2007-11-13,902.5992859280932
2007-11-14,892.4767812972185
2007-11-15,882.94440635318
2007-11-16,886.4170268875478
2007-11-19,869.0522016102731
2007-11-20,864.8228791461432
2007-11-21,849.1030524877965
2007-11-22,848.3831356121933
2007-11-23,864.3942054240774
2007-11-26,843.9204619299521
2007-11-27,853.346221185033
2007-11-28,883.9116604613955
2007-11-29,883.4119073136882
2007-11-30,894.6133366395122
2007-12-03,890.7085952120793
2007-12-04,878.5839597698291
2007-12-05,897.4296157785872
2007-12-06,913.6522680817908
2007-12-07,911.3413105222884
2007-12-10,914.3603629885013
2007-12-11,892.3093692682819
2007-12-12,898.4619859426145
2007-12-13,902.9004298363349
2007-12-14,901.114402551484
2007-12-17,890.9573274325835
2007-12-18,894.704465944493
2007-12-19,895.8062891053017
2007-12-20,904.2625650511332
2007-12-21,918.1729547925289
2007-12-24,924.0149701250367
2007-12-25,924.0149701250367
2007-12-26,918.8005598635569
2007-12-27,902.0670301393208
2007-12-28,895.7208834308923
2007-12-31,894.7060824624582
2008-01-01,894.7060824624582
2008-01-02,876.8117053135525
2008-01-03,876.3020081773071
2008-01-04,850.9864525024662
2008-01-07,855.0735626773283
2008-01-08,840.5479548209781
2008-01-09,852.1551512254148
2008-01-10,854.6403374816823
2008-01-11,839.820564268508
2008-01-14,843.4897123043653
2008-01-15,824.000242324198
2008-01-16,827.9577487131434
2008-01-17,804.0555041112069
2008-01-18,802.8593059417043
2008-01-21,807.4749989351285
2008-01-22,795.5633535070275
2008-01-23,814.833638167554
2008-01-24,816.0067240834533
2008-01-25,806.4266119427704
2008-01-28,815.1819201027437
2008-01-29,822.1717146273168
2008-01-30,816.7179641896174
2008-01-31,829.1010026199891
2008-02-01,840.5241036285603
2008-02-04,833.0612522524881
2008-02-05,816.2784100733098
2008-02-06,809.00855403116
2008-02-07,823.6918777168274
2008-02-08,822.7176239092761
2008-02-11,827.4930291034299
2008-02-12,827.3409413206862
2008-02-13,840.6921786826454
2008-02-14,826.6391303336618
2008-02-15,822.6407509868621
2008-02-18,824.3916612809774
2008-02-19,819.6935040876596
2008-02-20,831.7614739448495
2008-02-21,814.0879582406782
2008-02-22,818.398290267911
2008-02-25,830.4021990817214
2008-02-26,834.2346612048841
2008-02-27,821.6413902976232
2008-02-28,811.4534837596447
2008-02-29,789.5314934983533
2008-03-03,787.8089279747202
2008-03-04,782.8131695720522
2008-03-05,785.8934069075849
2008-03-06,764.2334307666198
2008-03-07,757.8875414978328
2008-03-10,743.2901505097645
2008-03-11,772.4122064606794
2008-03-12,758.5944802077275
2008-03-13,760.1562116924041
2008-03-14,743.4867420608737
2008-03-17,726.142282985548
2008-03-18,754.2400015049996
2008-03-19,741.411147742729
2008-03-20,767.0800260571447
2008-03-21,767.0800260571447
2008-03-24,782.0282803269622
2008-03-25,776.2086295852483
2008-03-26,762.7888290219609
2008-03-27,753.1312464901416
2008-03-28,748.3658122752781
2008-03-31,748.3979216372186
2008-04-01,784.8893145737993
2008-04-02,784.6982474670957
2008-04-03,785.5269269204291
2008-04-04,781.7147023156624
2008-04-07,784.2874077423802
2008-04-08,781.4841581038212
2008-04-09,771.071986937943
2008-04-10,775.3547343812149
2008-04-11,758.0845226397271
2008-04-14,755.2305108155577
2008-04-15,761.1072573472604
2008-04-16,772.6070074319974
2008-04-17,774.0862793030298
2008-04-18,795.9231004046294
2008-04-21,786.2558345551597
2008-04-22,776.0605830096911
2008-04-23,781.5369534790378
2008-04-24,794.8536391274324
2008-04-25,803.123196594758
2008-04-28,803.3012892476672
2008-04-29,800.6348263212155
2008-04-30,801.1915410468135
2008-05-01,819.3991051604525
2008-05-02,824.9257819417212
2008-05-05,818.5179168069373
2008-05-06,821.6842318678528
2008-05-07,817.3210384489848
2008-05-08,819.7195124551004
2008-05-09,815.0615739479441
2008-05-12,820.5307354310669
2008-05-13,822.15430380741
2008-05-14,826.4247571316926
2008-05-15,834.708980908848
2008-05-16,832.9131953600518
2008-05-19,835.4663524885091
2008-05-20,823.2461447639002
2008-05-21,804.1122400759022
2008-05-22,809.0471099063817
2008-05-23,796.4906418073405
2008-05-26,796.1006685496308
2008-05-27,802.5692167443565
2008-05-28,811.9875819117474
2008-05-29,821.1824369189923
2008-05-30,822.791711297274
2008-06-02,816.0932212375893
2008-06-03,815.229736665912
2008-06-04,815.3645342238711
2008-06-05,826.6579399614311
2008-06-06,794.3698874529973
2008-06-09,794.0700836835898
2008-06-10,803.3470105168412
2008-06-11,788.6418050298425
2008-06-12,795.6306506671501
2008-06-13,811.4865000483945
2008-06-16,807.7957895360863
2008-06-17,802.1485765053429
2008-06-18,794.5656143953862
2008-06-19,798.0499283183369
2008-06-20,776.262530403908
2008-06-23,783.6051509406784
2008-06-24,773.462865134826
2008-06-25,779.7473947145811
2008-06-26,750.196671369605
2008-06-27,748.2417482082776
2008-06-30,748.1811146580516
2008-07-01,749.9226961818504
2008-07-02,729.3943145703616
2008-07-03,735.7076613558768
2008-07-04,736.2770921325825
2008-07-07,730.3178023438837
2008-07-08,741.9959285095799
2008-07-09,724.4236183146216
2008-07-10,727.1460454778311
2008-07-11,715.6449386843199
2008-07-14,710.6920672066951
2008-07-15,699.4405642767447
2008-07-16,722.5485984301542
2008-07-17,727.3870324394725
2008-07-18,728.5143740555918
2008-07-21,730.0871796145599
2008-07-22,739.6278138507001
2008-07-23,747.6042223647713
2008-07-24,730.987701652652
2008-07-25,734.8513230579046
2008-07-28,719.2227707222875
2008-07-29,741.0207071991566
2008-07-30,755.5384318847473
2008-07-31,744.3629092991196
2008-08-01,742.4769209747242
2008-08-04,732.391244279837
2008-08-05,754.5310769333748
2008-08-06,761.9266910333699
2008-08-07,751.3204274919581
2008-08-08,783.5492766503758
2008-08-11,790.5097814054412
2008-08-12,787.154347266739
2008-08-13,789.340701556534
2008-08-14,792.4358576058205
2008-08-15,804.5515156532811
2008-08-18,793.1616963770266
2008-08-19,785.8124878243294
2008-08-20,790.1845054541355
2008-08-21,785.3355904364037
2008-08-22,796.5133152625147
2008-08-25,783.306603438308
2008-08-26,793.086228941197
2008-08-27,797.4335346817528
2008-08-28,808.3744961151298
2008-08-29,798.4383730095685
2008-09-01,805.1319282212844
2008-09-02,802.5424154865442
2008-09-03,803.918068484025
2008-09-04,784.541107788648
2008-09-05,794.0979601236029
2008-09-08,810.1029860119517
2008-09-09,785.435351747559
2008-09-10,797.0862917996648
2008-09-11,813.9141596534552
2008-09-12,803.8612695303406
2008-09-15,765.8038490043948
2008-09-16,781.9969983242299
2008-09-17,742.843193331128
2008-09-18,765.2302396149096
2008-09-19,798.0407942695872
2008-09-22,756.7394073490965
2008-09-23,741.1262226543215
2008-09-24,741.7830828051727
2008-09-25,754.0366491399249
2008-09-26,755.94188543013
2008-09-29,700.6928396490674
2008-09-30,754.6883101753534
2008-10-01,752.9322558554618
