DATE,DGS20
2003-03,4.840
2003-04,4.790
2003-05,4.360
2003-06,4.520
2003-07,5.430
2003-08,5.330
2003-09,4.910
2003-10,5.200
2003-11,5.200
2003-12,5.100
2004-01,5.000
2004-02,4.850
2004-03,4.770
2004-04,5.310
2004-05,5.390
2004-06,5.330
2004-07,5.240
2004-08,4.930
2004-09,4.890
2004-10,4.790
2004-11,5.030
2004-12,4.850
2005-01,4.640
2005-02,4.790
2005-03,4.880
2005-04,4.610
2005-05,4.400
2005-06,4.280
2005-07,4.560
2005-08,4.300
2005-09,4.620
2005-10,4.840
2005-11,4.81
2005-12,4.61
2006-01,4.74
2006-02,4.70
2006-03,5.07
2006-04,5.31
2006-05,5.35
2006-06,5.31
2006-07,5.17
2006-08,4.95
2006-09,4.84
2006-10,4.81
2006-11,4.66
2006-12,4.91
2007-01,5.02
2007-02,4.78
2007-03,4.92
2007-04,4.88
2007-05,5.10
2007-06,5.21
2007-07,5.00
2007-08,4.87
2007-09,4.89
2007-10,4.79
2007-11,4.44
2007-12,4.50
2008-01,4.35
2008-02,4.37
2008-03,4.30
2008-04,4.49
2008-05,4.74
2008-06,4.59
2008-07,4.63
2008-08,4.47
2008-09,4.43
2008-10,4.74
2008-11,3.71
2008-12,3.05
2009-01,3.86
2009-02,3.98
2009-03,3.61
2009-04,4.10
2009-05,4.34
2009-06,4.30
2009-07,4.29
2009-08,4.14
2009-09,4.02
2009-10,4.19
2009-11,4.07
2009-12,4.58
2010-01,4.38
2010-02,4.40
2010-03,4.55
2010-04,4.36
2010-05,4.05
2010-06,3.74
2010-07,3.74
2010-08,3.23
2010-09,3.38
2010-10,3.64
2010-11,3.80
2010-12,4.13
2011-01,4.33
2011-02,4.25
2011-03,4.29
2011-04,4.15
2011-05,3.91
2011-06,4.09
2011-07,3.77
2011-08,3.19
2011-09,2.66
2011-10,2.89
2011-11,2.77
2011-12,2.57
2012-01,2.59
2012-02,2.73
2012-03,3.00
2012-04,2.73
2012-05,2.27
2012-06,2.38
2012-07,2.21
2012-08,2.29
2012-09,2.42
2012-10,2.46
2012-11,2.37
2012-12,2.54
2013-01,2.79
2013-02,2.71
2013-03,2.71
2013-04,2.49
2013-05,2.95
2013-06,3.22
2013-07,3.34
2013-08,3.46
2013-09,3.41
2013-10,3.33
2013-11,3.54
2013-12,3.72
2014-01,3.35
2014-02,3.31
2014-03,3.31
2014-04,3.22
2014-05,3.05
2014-06,3.08
2014-07,3.07
2014-08,2.83
2014-09,2.98
2014-10,2.81
2014-11,2.62
2014-12,2.47
2015-01,2.04
2015-02,2.38
2015-03,2.31
2015-04,2.49
2015-05,2.63
2015-06,2.83
2015-07,2.61
2015-08,2.64
2015-09,2.51
2015-10,2.57
2015-11,2.63
2015-12,2.67
2016-01,2.36
2016-02,2.19
2016-03,2.20
2016-04,2.26
2016-05,2.23
2016-06,1.86
2016-07,1.78
2016-08,1.90
2016-09,1.99
2016-10,2.25
2016-11,2.73
2016-12,2.79
2017-01,2.78
2017-02,2.70
2017-03,2.76
2017-04,2.67
2017-05,2.60
2017-06,2.61
2017-07,2.66
2017-08,2.47
2017-09,2.63
2017-10,2.66
2017-11,2.65
2017-12,2.58
2018-01,2.83
2018-02,3.02
2018-03,2.85
2018-04,3.01
2018-05,2.91
2018-06,2.91
2018-07,3.03
2018-08,2.95
2018-09,3.13
2018-10,3.30
2018-11,3.19
2018-12,2.87
2019-01,2.83
2019-02,2.94
2019-03,2.63
2019-04,2.75
2019-05,2.39
2019-06,2.31
2019-07,2.31
2019-08,1.78
2019-09,1.94
2019-10,2.00
2019-11,2.07
2019-12,2.25
2020-01,1.83
2020-02,1.46
2020-03,1.15
2020-04,1.05
2020-05,1.18
2020-06,1.18
2020-07,0.98
2020-08,1.26
2020-09,1.23
2020-10,1.43
2020-11,1.37
2020-12,1.45
2021-01,1.68
2021-02,2.08
2021-03,2.31
2021-04,2.19
2021-05,2.18
2021-06,2.00
2021-07,1.81
2021-08,1.85
2021-09,2.02
2021-10,1.98
2021-11,1.85
2021-12,1.94
2022-01,2.17
2022-02,2.25
2022-03,2.59
2022-04,3.14
2022-05,3.28
2022-06,3.38
2022-07,3.20
2022-08,3.53
2022-09,4.08
2022-10,4.44
2022-11,4.00
2022-12,4.14
2023-01,3.78
2023-02,4.10
2023-03,3.81
2023-04,3.80
2023-05,4.01
2023-06,4.06
2023-07,4.22
2023-08,4.39
2023-09,4.92
2023-10,5.21
2023-11,4.72
2023-12,4.20
2024-01,4.34
2024-02,4.51
2024-03,4.45
