DATE,DGS1PTR
2005-04,165.23
2005-05,165.70
2005-06,165.95
2005-07,165.87
2005-08,166.44
2005-09,166.58
2005-10,166.65
2005-11,167.20
2005-12,167.74
2006-01,168.03
2006-02,168.43
2006-03,168.95
2006-04,169.49
2006-05,169.91
2006-06,170.40
2006-07,171.30
2006-08,172.19
2006-09,173.07
2006-10,173.64
2006-11,174.44
2006-12,175.06
2007-01,175.63
2007-02,176.59
2007-03,177.42
2007-04,178.16
2007-05,178.78
2007-06,179.58
2007-07,180.42
2007-08,182.29
2007-09,183.16
2007-10,183.80
2007-11,185.80
2007-12,186.16
2008-01,188.92
2008-02,189.88
2008-03,190.57
2008-04,190.26
2008-05,189.87
2008-06,189.96
2008-07,190.50
2008-08,191.04
2008-09,192.12
2008-10,193.23
2008-11,194.29
2008-12,195.46
2009-01,195.25
2009-02,194.92
2009-03,195.33
2009-04,195.58
2009-05,195.70
2009-06,195.60
2009-07,195.85
2009-08,196.02
2009-09,196.15
2009-10,196.27
2009-11,196.53
2009-12,196.18
2010-01,196.59
2010-02,196.60
2010-03,196.48
2010-04,196.55
2010-05,196.75
2010-06,196.85
2010-07,196.96
2010-08,197.08
2010-09,197.08
2010-10,197.23
2010-11,197.17
2010-12,197.17
2011-01,197.28
2011-02,197.34
2011-03,197.28
2011-04,197.49
2011-05,197.60
2011-06,197.61
2011-07,197.63
2011-08,197.86
2011-09,197.81
2011-10,197.85
2011-11,197.87
2011-12,197.89
2012-01,197.89
2012-02,197.82
2012-03,197.83
2012-04,197.84
2012-05,197.91
2012-06,197.88
2012-07,198.01
2012-08,198.04
2012-09,198.05
2012-10,198.06
2012-11,198.09
2012-12,198.15
2013-01,198.20
2013-02,198.19
2013-03,198.27
2013-04,198.36
2013-05,198.31
2013-06,198.32
2013-07,198.42
2013-08,198.40
2013-09,198.48
2013-10,198.50
2013-11,198.46
2013-12,198.48
2014-01,198.56
2014-02,198.53
2014-03,198.53
2014-04,198.60
2014-05,198.63
2014-06,198.63
2014-07,198.63
2014-08,198.71
2014-09,198.64
2014-10,198.70
2014-11,198.68
2014-12,198.47
2015-01,198.65
2015-02,198.60
2015-03,198.55
2015-04,198.64
2015-05,198.64
2015-06,198.64
2015-07,198.59
2015-08,198.52
2015-09,198.71
2015-10,198.74
2015-11,198.46
2015-12,198.27
2016-01,198.73
2016-02,198.51
2016-03,198.68
2016-04,198.83
2016-05,198.69
2016-06,199.26
2016-07,199.23
2016-08,199.10
2016-09,199.24
2016-10,199.20
2016-11,199.03
2016-12,199.07
2017-01,199.23
2017-02,199.29
2017-03,199.14
2017-04,199.23
2017-05,199.21
2017-06,199.27
2017-07,199.49
2017-08,199.70
2017-09,199.74
2017-10,199.72
2017-11,199.59
2017-12,199.58
2018-01,199.60
2018-02,199.58
2018-03,199.89
2018-04,199.94
2018-05,200.33
2018-06,200.51
2018-07,200.68
2018-08,201.05
2018-09,201.21
2018-10,201.45
2018-11,201.88
2018-12,202.47
2019-01,203.07
2019-02,203.52
2019-03,204.23
2019-04,204.65
2019-05,205.42
2019-06,206.38
2019-07,206.55
2019-08,207.38
2019-09,207.71
2019-10,208.46
2019-11,208.58
2019-12,208.88
2020-01,209.44
2020-02,210.69
2020-03,212.54
2020-04,212.59
2020-05,212.60
2020-06,212.65
2020-07,212.78
2020-08,212.78
2020-09,212.80
2020-10,212.80
2020-11,212.87
2020-12,212.91
2021-01,212.93
2021-02,212.99
2021-03,213.02
2021-04,213.08
2021-05,213.09
2021-06,213.05
2021-07,213.07
2021-08,213.08
2021-09,213.05
2021-10,212.94
2021-11,212.77
2021-12,212.50
2022-01,211.74
2022-02,211.40
2022-03,210.29
2022-04,209.60
2022-05,210.01
2022-06,208.90
2022-07,209.03
2022-08,208.49
2022-09,208.00
2022-10,207.49
2022-11,208.13
2022-12,208.97
2023-01,209.89
2023-02,210.02
2023-03,211.66
2023-04,212.15
2023-05,212.23
2023-06,212.70
2023-07,213.72
2023-08,214.67
2023-09,215.44
2023-10,216.46
2023-11,218.01
2023-12,219.71
2024-01,220.71
2024-02,220.99
2024-03,221.87
