DATE,PPIACO
2007-06,173.8
2007-07,175.1
2007-08,172.4
2007-09,173.5
2007-10,174.7
2007-11,179.0
2007-12,178.6
2008-01,181.0
2008-02,182.7
2008-03,187.9
2008-04,190.9
2008-05,196.6
2008-06,200.5
2008-07,205.5
2008-08,199.0
2008-09,196.9
2008-10,186.4
2008-11,176.8
2008-12,170.9
2009-01,171.2
2009-02,169.3
2009-03,168.1
2009-04,169.1
2009-05,170.8
2009-06,174.1
2009-07,172.5
2009-08,175.0
2009-09,174.1
2009-10,175.2
2009-11,177.4
2009-12,178.1
2010-01,181.9
2010-02,181.0
2010-03,183.3
2010-04,184.4
2010-05,184.8
2010-06,183.5
2010-07,184.1
2010-08,184.9
2010-09,184.9
2010-10,186.6
2010-11,187.7
2010-12,189.7
2011-01,192.7
2011-02,195.8
2011-03,199.2
2011-04,203.1
2011-05,204.1
2011-06,203.9
2011-07,204.6
2011-08,203.2
2011-09,203.7
2011-10,201.1
2011-11,201.4
2011-12,199.8
2012-01,200.7
2012-02,201.6
2012-03,204.2
2012-04,203.7
2012-05,201.9
2012-06,199.8
2012-07,200.1
2012-08,202.7
2012-09,204.4
2012-10,203.5
2012-11,201.8
2012-12,201.5
2013-01,202.5
2013-02,204.3
2013-03,204.0
2013-04,203.5
2013-05,204.1
2013-06,204.3
2013-07,204.4
2013-08,204.2
2013-09,203.9
2013-10,202.5
2013-11,201.2
2013-12,202.0
2014-01,203.8
2014-02,205.7
2014-03,207.0
2014-04,208.3
2014-05,208.0
2014-06,208.3
2014-07,208.0
2014-08,207.0
2014-09,206.4
2014-10,203.4
2014-11,200.9
2014-12,197.0
2015-01,192.0
2015-02,191.1
2015-03,191.5
2015-04,190.9
2015-05,193.4
2015-06,194.8
2015-07,193.9
2015-08,191.9
2015-09,189.1
2015-10,187.5
2015-11,185.7
2015-12,183.5
2016-01,182.6
2016-02,181.3
2016-03,182.1
2016-04,183.2
2016-05,185.3
2016-06,187.6
2016-07,187.7
2016-08,186.6
2016-09,186.9
2016-10,186.7
2016-11,186.3
2016-12,188.2
2017-01,190.7
2017-02,191.6
2017-03,191.5
2017-04,193.0
2017-05,192.8
2017-06,193.6
2017-07,193.5
2017-08,193.8
2017-09,194.8
2017-10,194.9
2017-11,195.9
2017-12,196.3
2018-01,197.9
2018-02,199.3
2018-03,199.3
2018-04,200.3
2018-05,203.2
2018-06,204.2
2018-07,204.3
2018-08,203.4
2018-09,203.6
2018-10,204.6
2018-11,202.3
2018-12,201.0
2019-01,199.1
2019-02,199.2
2019-03,200.8
2019-04,202.1
2019-05,201.7
2019-06,200.3
2019-07,200.7
2019-08,199.2
2019-09,198.4
2019-10,198.6
2019-11,199.0
2019-12,199.0
2020-01,199.3
2020-02,196.7
2020-03,193.1
2020-04,185.5
2020-05,188.6
2020-06,191.2
2020-07,193.0
2020-08,194.3
2020-09,195.5
2020-10,196.5
2020-11,198.3
2020-12,200.5
2021-01,204.8
2021-02,210.6
2021-03,215.0
2021-04,217.9
2021-05,224.9
2021-06,228.9
2021-07,231.850
2021-08,233.415
2021-09,235.678
2021-10,240.465
2021-11,243.287
2021-12,241.338
2022-01,246.453
2022-02,252.660
2022-03,260.014
2022-04,265.310
2022-05,273.251
2022-06,280.251
2022-07,272.274
2022-08,269.546
2022-09,267.898
2022-10,265.061
2022-11,263.157
2022-12,257.897
2023-01,260.227
2023-02,258.669
2023-03,257.062
2023-04,256.908
2023-05,253.670
2023-06,253.860
2023-07,253.835
2023-08,257.680
2023-09,258.934
2023-10,255.192
2023-11,252.856
2023-12,249.849
2024-01,251.250
2024-02,254.951
2024-03,255.140
