DATE,IQ12260
2013-02,582.8
2013-03,567.9
2013-04,555.7
2013-05,520.2
2013-06,494.5
2013-07,467.6
2013-08,450.7
2013-09,472.0
2013-10,469.8
2013-11,459.7
2013-12,446.0
2014-01,427.1
2014-02,435.4
2014-03,455.1
2014-04,466.1
2014-05,453.5
2014-06,435.9
2014-07,461.6
2014-08,453.9
2014-09,442.8
2014-10,423.5
2014-11,404.0
2014-12,419.4
2015-01,423.4
2015-02,440.8
2015-03,419.7
2015-04,422.3
2015-05,416.5
2015-06,414.4
2015-07,408.9
2015-08,381.6
2015-09,395.5
2015-10,400.3
2015-11,389.5
2015-12,372.3
2016-01,381.9
2016-02,398.7
2016-03,436.1
2016-04,430.7
2016-05,450.2
2016-06,426.8
2016-07,474.2
2016-08,473.8
2016-09,468.4
2016-10,446.4
2016-11,452.1
2016-12,409.0
2017-01,407.8
2017-02,422.6
2017-03,434.5
2017-04,438.2
2017-05,435.4
2017-06,447.6
2017-07,427.4
2017-08,442.8
2017-09,468.5
2017-10,444.6
2017-11,445.4
2017-12,441.5
2018-01,460.3
2018-02,463.0
2018-03,463.3
2018-04,466.1
2018-05,458.0
2018-06,453.5
2018-07,438.1
2018-08,426.3
2018-09,419.2
2018-10,420.0
2018-11,428.4
2018-12,433.9
2019-01,449.0
2019-02,460.0
2019-03,451.8
2019-04,451.9
2019-05,448.3
2019-06,465.8
2019-07,489.4
2019-08,519.6
2019-09,536.2
2019-10,523.3
2019-11,521.1
2019-12,516.0
2020-01,536.4
2020-02,549.3
2020-03,575.2
2020-04,564.1
2020-05,596.5
2020-06,600.0
2020-07,621.8
2020-08,706.2
2020-09,684.0
2020-10,667.1
2020-11,671.2
2020-12,636.4
2021-01,673.2
2021-02,639.6
2021-03,601.9
2021-04,611.2
2021-05,633.7
2021-06,663.6
2021-07,634.3
2021-08,633.5
2021-09,635.7
2021-10,617.9
2021-11,627.8
2021-12,626.1
2022-01,633.6
2022-02,632.7
2022-03,676.1
2022-04,678.5
2022-05,658.0
2022-06,650.0
2022-07,616.0
2022-08,621.0
2022-09,599.3
2022-10,595.5
2022-11,577.9
2022-12,625.2
2023-01,647.1
2023-02,671.3
2023-03,642.4
2023-04,702.5
2023-05,704.2
2023-06,687.8
2023-07,672.6
2023-08,682.8
2023-09,674.3
2023-10,639.5
2023-11,696.9
2023-12,709.5
2024-01,718.0
2024-02,710.1
2024-03,748.9
