Date,AC ASIA
2006-06-13,98.22729609199035
2006-06-14,98.44600316352566
2006-06-15,99.58511775222377
2006-06-16,102.83788777227335
2006-06-19,102.53735038319033
2006-06-20,101.31136426479765
2006-06-21,100.66316834503027
2006-06-22,103.30912573923078
2006-06-23,103.2954877631813
2006-06-26,103.18425276211488
2006-06-27,103.15975010237703
2006-06-28,102.50156889623794
2006-06-29,103.95902445440824
2006-06-30,106.0049077091949
2006-07-03,106.03857185492298
2006-07-04,106.61566781668004
2006-07-05,105.69828487878135
2006-07-06,104.90477706444577
2006-07-07,105.21099209656751
2006-07-10,107.1358377909958
2006-07-11,106.30424259634799
2006-07-12,105.10016218262294
2006-07-13,104.2841968517476
2006-07-14,102.08553245725054
2006-07-17,102.00786026555357
2006-07-18,99.94449291091148
2006-07-19,99.5434392358196
2006-07-20,102.46568979762796
2006-07-21,101.8991457745845
2006-07-24,101.82330451613835
2006-07-25,103.10018337833621
2006-07-26,102.68369626246317
2006-07-27,104.08637963607579
2006-07-28,105.10500145419536
2006-07-31,105.85224441676743
2006-08-01,105.18486500008932
2006-08-02,105.19316307818278
2006-08-03,105.14380098227207
2006-08-04,104.91236877939963
2006-08-07,103.26086288656825
2006-08-08,104.82027996608994
2006-08-09,105.45981745072184
2006-08-10,106.27487506017343
2006-08-11,105.61170491350751
2006-08-14,106.67044841184786
2006-08-15,106.74437962251181
2006-08-16,107.91646602320274
2006-08-17,108.32740331680596
2006-08-18,109.01150233130544
2006-08-21,106.86373001931362
2006-08-22,108.46623861372424
2006-08-23,108.31983853493577
2006-08-24,107.36132904676204
2006-08-25,107.01987686940868
2006-08-28,105.74482403130287
2006-08-29,107.29719385055962
2006-08-30,106.55676577492274
2006-08-31,107.77485513564494
2006-09-01,107.9245706824684
2006-09-04,109.46945564488996
2006-09-05,109.89944687615909
2006-09-06,109.18769807365999
2006-09-07,108.22146571925371
2006-09-08,108.90320111901822
2006-09-11,106.56329443471397
2006-09-12,106.0800210015648
2006-09-13,106.56001599036657
2006-09-14,106.97371795948929
2006-09-15,107.63282784204735
2006-09-18,107.583807686764
2006-09-19,107.87517981054447
2006-09-20,106.84252383248229
2006-09-21,107.68949992688019
2006-09-22,106.23065743920164
2006-09-25,106.45630138381155
2006-09-26,106.37643221221924
2006-09-27,108.14408394603778
2006-09-28,108.56628246395282
2006-09-29,108.91661902529009
2006-10-02,109.25160927694846
2006-10-03,108.90628602549833
2006-10-04,108.29675715297098
2006-10-05,110.34517178542797
2006-10-06,110.57231019285308
2006-10-09,109.87854836357086
