Date,ACFM AMERICA INDEX
2013-01-23,1782.6182945263301
2013-01-24,1770.3510968994067
2013-01-25,1764.882378049902
2013-01-28,1763.7262767913128
2013-01-29,1770.3074892817444
2013-01-30,1751.4698736263201
2013-01-31,1747.088910989427
2013-02-01,1748.310433978476
2013-02-04,1746.9139357318181
2013-02-05,1767.0993959761986
2013-02-06,1766.6283838360932
2013-02-07,1782.988902415802
2013-02-08,1793.4955392310376
2013-02-11,1791.2173116764122
2013-02-12,1783.2307485356891
2013-02-13,1788.0308791514135
2013-02-14,1801.3230659647206
2013-02-15,1797.5002992340587
2013-02-18,1796.7833889465408
2013-02-19,1808.5787729167132
2013-02-20,1784.3644098097855
2013-02-21,1791.716967078576
2013-02-22,1814.5180762725358
2013-02-25,1777.7410772103622
2013-02-26,1805.8819547113387
2013-02-27,1823.00766190557
2013-02-28,1828.3442179261842
2013-03-01,1843.665605581042
2013-03-04,1846.010850203487
2013-03-05,1859.9037846392914
2013-03-06,1868.3533791684717
2013-03-07,1860.2533415868813
2013-03-08,1883.4715271847565
2013-03-11,1883.9868886958727
2013-03-12,1879.2194635331866
2013-03-13,1889.427713980228
2013-03-14,1895.0680853890708
2013-03-15,1880.0740843776714
2013-03-18,1885.1881330054089
2013-03-19,1889.7847731875393
2013-03-20,1892.889521749989
2013-03-21,1881.6269025302756
2013-03-22,1882.5299188294089
2013-03-25,1892.486873102774
2013-03-26,1911.9124162195849
2013-03-27,1923.2980391466829
2013-03-28,1922.5668649923932
2013-03-29,1922.5668649923932
2013-04-01,1912.7787226179198
2013-04-02,1921.7372637068672
2013-04-03,1899.872855083903
2013-04-04,1903.951496217243
2013-04-05,1872.046197752324
2013-04-08,1884.0635772425462
2013-04-09,1887.7405812344239
2013-04-10,1905.6181863156496
2013-04-11,1905.3700146911085
2013-04-12,1902.0672867316841
2013-04-15,1857.1589605846784
2013-04-16,1875.8593965179864
2013-04-17,1860.8729520990976
2013-04-18,1844.9612199835653
2013-04-19,1861.9619841033202
2013-04-22,1876.7553245013573
2013-04-23,1897.609055956067
2013-04-24,1902.247685065434
2013-04-25,1909.866993575777
2013-04-26,1901.7604961126365
2013-04-29,1905.393908644143
2013-04-30,1902.1371302924147
2013-05-01,1883.0964261023473
2013-05-02,1916.234723688468
2013-05-03,1928.42998359591
2013-05-06,1940.302908088729
2013-05-07,1947.055597711958
2013-05-08,1943.3833032997281
2013-05-09,1948.376101388064
2013-05-10,1972.4732458596711
2013-05-13,1969.5548504079702
2013-05-14,1988.5209296465018
2013-05-15,2013.6997554873703
2013-05-16,1996.458643055524
2013-05-17,2028.8972390137428
2013-05-20,2022.3609980751664
2013-05-21,2024.0431890435725
2013-05-22,2007.5199419288485
2013-05-23,1996.1786466716014
2013-05-24,1990.9934037684816
2013-05-27,1989.426069564765
2013-05-28,2013.0866145187588
2013-05-29,1981.1166554144836
2013-05-30,1975.655461796475
2013-05-31,1962.3775679981493
2013-06-03,1960.2831692122718
2013-06-04,1944.7011164039352
2013-06-05,1915.325413066672
2013-06-06,1914.8934306305903
2013-06-07,1933.0677221170527
2013-06-10,1935.8621378030932
2013-06-11,1903.167922037024
2013-06-12,1878.7054671681783
2013-06-13,1911.779916589536
2013-06-14,1894.9844104017486
2013-06-17,1907.8369467009115
2013-06-18,1914.177520097122
2013-06-19,1887.1277386716054
2013-06-20,1867.660810851454
2013-06-21,1875.378593043226
2013-06-24,1857.5955750393982
2013-06-25,1879.9305562929778
2013-06-26,1908.9692101074188
2013-06-27,1922.1717322421923
2013-06-28,1916.9539550275617
2013-07-01,1921.9214084557566
2013-07-02,1918.8554877063166
2013-07-03,1928.7595601835287
2013-07-04,1938.9677771838378
2013-07-05,1965.367529736523
2013-07-08,1971.313151439421
2013-07-09,1997.789241260611
2013-07-10,1987.487668026823
2013-07-11,1988.515540584666
2013-07-12,1991.5785712280756
2013-07-15,1997.1937731984394
2013-07-16,1977.0704960778762
2013-07-17,1990.1403465403498
2013-07-18,2001.2847709742382
2013-07-19,1996.5161738885354
2013-07-22,1994.2280866578724
2013-07-23,1988.8257454103245
2013-07-24,1977.9981745128812
2013-07-25,1984.339346803469
2013-07-26,1980.7238812011813
2013-07-29,1975.9394250186824
2013-07-30,1975.4835428616998
2013-07-31,1970.236357848644
2013-08-01,2001.8765061610575
2013-08-02,1997.0829466379744
2013-08-05,2000.3339219857999
2013-08-06,1977.4045751657616
2013-08-07,1968.4540131218323
2013-08-08,1969.9463666010954
2013-08-09,1971.0317986323453
2013-08-12,1978.010489692155
2013-08-13,1990.6376411011934
2013-08-14,1977.3238702683846
2013-08-15,1953.7992076078822
2013-08-16,1936.3946971265595
2013-08-19,1920.8655041211837
2013-08-20,1916.656107825062
2013-08-21,1911.3354958384718
2013-08-22,1931.0697460164645
