Date,ACWI ex RUSSIA
2018-06-15,1563.3877394572155
2018-06-18,1557.28700307203
2018-06-19,1551.19661236182
2018-06-20,1554.6497955658613
2018-06-21,1541.1454165488547
2018-06-22,1544.0616798952806
2018-06-25,1516.245438025983
2018-06-26,1520.2832802759647
2018-06-27,1519.0537986245527
2018-06-28,1522.9857351921771
2018-06-29,1520.1885563971778
2018-07-02,1522.8775804516056
2018-07-03,1517.0499280367687
2018-07-04,1517.568901339944
2018-07-05,1518.9177045784613
2018-07-06,1524.110806309807
2018-07-09,1537.8528776961166
2018-07-10,1546.101151977284
2018-07-11,1532.289840089057
2018-07-12,1546.9254590255184
2018-07-13,1552.4203823370501
2018-07-16,1545.1639914235418
2018-07-17,1552.0846832341506
2018-07-18,1559.8822811419827
2018-07-19,1557.9636217906839
2018-07-20,1549.760854576066
2018-07-23,1550.215938575061
2018-07-24,1559.3283362559475
2018-07-25,1571.9918014352047
2018-07-26,1574.0999848051608
2018-07-27,1571.8011422603886
2018-07-30,1558.4927473507169
2018-07-31,1562.628104524016
2018-08-01,1563.950035715739
2018-08-02,1567.962466953978
2018-08-03,1577.120463940689
2018-08-06,1582.5040932993054
2018-08-07,1585.4918758320698
2018-08-08,1583.6757533913137
2018-08-09,1586.871455816343
2018-08-10,1588.1847254964207
2018-08-13,1579.0882497949303
2018-08-14,1591.5828128084902
2018-08-15,1582.6830035791247
2018-08-16,1581.912731662224
2018-08-17,1584.5535139655499
2018-08-20,1587.8719287781257
2018-08-21,1582.0945595342794
2018-08-22,1575.118975865559
2018-08-23,1573.7687412986093
2018-08-24,1574.9440123262364
2018-08-27,1584.1706019000615
2018-08-28,1580.3056153241453
2018-08-29,1588.4850429458795
2018-08-30,1585.4743832429824
2018-08-31,1584.2681020844275
2018-09-03,1582.694962418842
2018-09-04,1584.4418429463908
2018-09-05,1565.3691023665474
2018-09-06,1558.769246640113
2018-09-07,1561.9281593493033
2018-09-10,1560.5320711161683
2018-09-11,1564.9930526060398
2018-09-12,1563.128266026713
2018-09-13,1565.3204094767254
2018-09-14,1570.792349641243
2018-09-17,1561.7775981429475
2018-09-18,1568.518903469947
2018-09-19,1578.0007872462386
2018-09-20,1579.5649052079464
2018-09-21,1583.512177300197
2018-09-24,1573.589162855554
2018-09-25,1574.8859108143977
2018-09-26,1578.3325884603391
2018-09-27,1588.4851705162055
2018-09-28,1593.343045889832
2018-10-01,1600.0481063132067
2018-10-02,1598.9512351950202
2018-10-03,1601.581578639939
2018-10-04,1588.2309602104522
2018-10-05,1578.8478717321855
2018-10-08,1578.0230882168682
2018-10-09,1575.0316915704777
2018-10-10,1532.7142706704446
2018-10-11,1495.130957458801
2018-10-12,1511.3138373605927
2018-10-15,1501.18841068531
2018-10-16,1527.701139852868
2018-10-17,1533.2267969942966
2018-10-18,1520.0082182524152
2018-10-19,1517.977743040234
2018-10-22,1517.6236368035848
2018-10-23,1502.430769731944
2018-10-24,1479.240787512907
2018-10-25,1492.4787670130556
2018-10-26,1475.9530945020815
2018-10-29,1468.4984892769521
2018-10-30,1486.5591938269617
2018-10-31,1510.7548393175023
2018-11-01,1517.274269826528
2018-11-02,1521.3308613792449
2018-11-05,1520.2914154675873
2018-11-06,1524.6678045770268
2018-11-07,1540.6952546835178
2018-11-08,1545.1473534981533
2018-11-09,1539.5041243020778
2018-11-12,1528.7305556733486
2018-11-13,1523.4536511733777
2018-11-14,1512.6005661033212
2018-11-15,1521.0915701306385
2018-11-16,1515.6190636107326
2018-11-19,1493.5208008118786
2018-11-20,1474.7561620645104
2018-11-21,1482.6670741129533
2018-11-22,1480.7496697599972
2018-11-23,1482.0207301090568
2018-11-26,1500.2708476003113
2018-11-27,1508.0954885022359
2018-11-28,1531.9332958399934
2018-11-29,1521.52473832498
2018-11-30,1534.1052442292846
2018-12-03,1551.2875262288965
2018-12-04,1517.1308723691243
2018-12-05,1510.8757593766873
2018-12-06,1489.8654719977392
2018-12-07,1472.0983396437155
2018-12-10,1462.6147078061242
2018-12-11,1470.9218060329742
2018-12-12,1482.250434520419
2018-12-13,1484.956434543453
2018-12-14,1467.9041554658427
2018-12-17,1443.3312529353104
2018-12-18,1435.1362560753837
2018-12-19,1418.4260208176383
2018-12-20,1398.0709324028683
2018-12-21,1379.4982710919671
2018-12-24,1357.5257446893534
2018-12-25,1352.0512740729384
2018-12-26,1389.8111560418454
2018-12-27,1398.9915988444293
2018-12-28,1402.5593478930616
2018-12-31,1412.2052064373443
2019-01-01,1412.2681312128948
2019-01-02,1418.1411480260294
2019-01-03,1393.8921383570037
2019-01-04,1428.1740551565124
2019-01-07,1434.1853296346897
2019-01-08,1446.9730729379976
2019-01-09,1451.6489125864578
2019-01-10,1455.6132679095595
2019-01-11,1461.2371282615318
2019-01-14,1455.1870354903679
2019-01-15,1472.091647481205
2019-01-16,1479.64686207685
2019-01-17,1487.6748081803587
2019-01-18,1507.6526449380474
2019-01-21,1507.96344941942
2019-01-22,1493.1398989403892
2019-01-23,1491.1542997799424
2019-01-24,1497.9638823858156
2019-01-25,1506.7737146068794
2019-01-28,1492.7471303462219
2019-01-29,1495.939767673199
2019-01-30,1510.0066073697978
2019-01-31,1517.6517877621425
2019-02-01,1519.3415172722657
2019-02-04,1529.6918057633268
2019-02-05,1541.8308572005583
2019-02-06,1542.7792255272816
2019-02-07,1531.3954698350697
2019-02-08,1530.0595177017622
2019-02-11,1537.7446452955746
2019-02-12,1551.523410067923
2019-02-13,1558.6030423490079
2019-02-14,1557.0550204673455
2019-02-15,1569.851972449253
2019-02-18,1568.965983460872
2019-02-19,1567.4728307779737
2019-02-20,1572.8102094280946
2019-02-21,1569.4823670254493
2019-02-22,1578.441844739322
2019-02-25,1582.2621019035205
2019-02-26,1580.323140523036
2019-02-27,1576.7646011902755
2019-02-28,1570.5565585984236
2019-03-01,1577.7066412780787
2019-03-04,1583.4665087059666
2019-03-05,1584.0989808129598
2019-03-06,1576.6262671793315
2019-03-07,1575.6287842078777
2019-03-08,1565.93307216294
2019-03-11,1585.330510408643
2019-03-12,1585.984709983815
2019-03-13,1589.19676038143
2019-03-14,1590.2921805068947
2019-03-15,1597.199787922457
2019-03-18,1603.8164713309684
2019-03-19,1604.5423143740588
2019-03-20,1597.6920723163494
2019-03-21,1607.438486061773
2019-03-22,1594.5889889028365
2019-03-25,1581.6787360086284
2019-03-26,1598.5661680019077
2019-03-27,1596.9887588649285
2019-03-28,1600.7184338559605
2019-03-29,1612.7816668201372
2019-04-01,1632.2848193277387
2019-04-02,1636.9054835900336
2019-04-03,1640.4568985014164
2019-04-04,1642.713861311211
2019-04-05,1647.4497048352714
2019-04-08,1644.4366225438712
2019-04-09,1637.2647407779043
2019-04-10,1644.2594946626034
2019-04-11,1639.518067687621
2019-04-12,1641.8899125737157
2019-04-15,1643.515410062863
2019-04-16,1647.50414006777
2019-04-17,1646.2320042705903
2019-04-18,1653.7626636248472
2019-04-19,1653.8682733043906
2019-04-22,1652.3330249773849
2019-04-23,1668.418556771641
2019-04-24,1664.4824991775743
2019-04-25,1669.764256400477
2019-04-26,1673.1524787022136
2019-04-29,1674.9286798205019
2019-04-30,1670.4071370954925
2019-05-01,1659.8179527631262
2019-05-02,1662.308935585632
2019-05-03,1673.8515375664565
2019-05-06,1661.8619057192402
2019-05-07,1640.827826286068
2019-05-08,1635.3741390110908
2019-05-09,1619.3949055047601
2019-05-10,1623.308980304018
2019-05-13,1593.5257815202688
2019-05-14,1605.966679303688
2019-05-15,1615.1320774130888
2019-05-16,1629.48436911884
2019-05-17,1623.3321989112203
2019-05-20,1614.343668606326
2019-05-21,1621.8335259434725
2019-05-22,1621.6029483658083
2019-05-23,1603.5588397337685
2019-05-24,1601.476067552955
2019-05-27,1604.7125208739299
2019-05-28,1599.117424968404
2019-05-29,1589.7223322285117
2019-05-30,1595.080160619092
2019-05-31,1579.571594710512
2019-06-03,1572.4478447323122
2019-06-04,1589.7574918983862
2019-06-05,1597.990962348871
2019-06-06,1600.5478223535795
2019-06-07,1608.934932385226
2019-06-10,1620.6505948473598
2019-06-11,1625.4845434659312
2019-06-12,1620.0680227955454
2019-06-13,1628.1827791387034
2019-06-14,1629.7995459961041
2019-06-17,1628.8683520317659
2019-06-18,1650.8486172980392
2019-06-19,1656.4529489381175
2019-06-20,1662.9069133825535
2019-06-21,1655.1158829049002
2019-06-24,1645.2322085397882
2019-06-25,1635.2862361427756
2019-06-26,1633.2074805063362
2019-06-27,1641.455315635614
2019-06-28,1646.7085859561457
2019-07-01,1666.9401543957426
2019-07-02,1675.7352875076447
2019-07-03,1687.1904280662186
2019-07-04,1689.3010208063788
2019-07-05,1690.9834119090567
2019-07-08,1682.0947225666946
2019-07-09,1682.3333673467862
2019-07-10,1681.931335032578
2019-07-11,1685.752553967039
2019-07-12,1690.1607266969763
2019-07-15,1691.2083217782244
2019-07-16,1693.2950786315448
2019-07-17,1685.2181295766147
2019-07-18,1686.1169299784065
2019-07-19,1684.1666124148774
2019-07-22,1685.5963150506354
2019-07-23,1705.025362816901
2019-07-24,1711.7727285115832
2019-07-25,1701.8632417129977
2019-07-26,1711.7556630740344
2019-07-29,1708.2273762686011
2019-07-30,1700.3570834739305
2019-07-31,1689.210849764253
2019-08-01,1688.6359578209117
2019-08-02,1662.5342680511842
2019-08-05,1608.5435644975405
2019-08-06,1616.33240750875
2019-08-07,1615.534200231303
2019-08-08,1642.8482793363073
2019-08-09,1634.4418666944161
2019-08-12,1618.7040953873793
2019-08-13,1633.7201650237614
2019-08-14,1605.9339504450738
2019-08-15,1609.9136592906896
2019-08-16,1629.675451004029
2019-08-19,1648.5184367474749
2019-08-20,1641.4667593394747
2019-08-21,1652.3488061864105
2019-08-22,1650.3102789061265
2019-08-23,1620.3361519552436
2019-08-26,1624.6298826567229
2019-08-27,1627.041948886057
2019-08-28,1635.8463455920514
2019-08-29,1652.7838551712828
2019-08-30,1667.5224402865856
2019-09-02,1672.8616683707387
2019-09-03,1664.9858632944208
2019-09-04,1674.0506319848464
2019-09-05,1691.5951654735845
2019-09-06,1695.2147023898306
2019-09-09,1694.023159564761
2019-09-10,1696.7490625768148
2019-09-11,1715.7083233702372
2019-09-12,1716.8237160428016
2019-09-13,1712.2902873953537
2019-09-16,1718.8165892532647
2019-09-17,1713.3375235215
2019-09-18,1711.777374193618
2019-09-19,1713.9684712822736
2019-09-20,1716.9809002911509
2019-09-23,1715.7103932574432
2019-09-24,1706.7463171863856
2019-09-25,1713.481061845154
2019-09-26,1716.0777537815618
2019-09-27,1709.4436180418402
2019-09-30,1719.7830033340329
2019-10-01,1701.799672689424
2019-10-02,1669.8725003789814
2019-10-03,1671.7303557707128
2019-10-04,1688.9745792268798
2019-10-07,1684.682584132459
2019-10-08,1671.3455856489604
2019-10-09,1677.1552715906937
2019-10-10,1681.531881517027
2019-10-11,1701.2383904214007
2019-10-14,1701.2959842670298
2019-10-15,1714.5294212326291
2019-10-16,1712.5264745592983
2019-10-17,1707.8442637547766
2019-10-18,1698.9029844739377
2019-10-21,1708.3409882414599
2019-10-22,1708.206879753303
2019-10-23,1712.7005664227024
2019-10-24,1720.6897502076777
2019-10-25,1727.395859525918
