Date,ACWI ex SPAIN
2019-02-14,2747.701578896444
2019-02-15,2770.2076342591886
2019-02-18,2768.4668298340025
2019-02-19,2765.825677815619
2019-02-20,2775.364369903734
2019-02-21,2769.3680134593405
2019-02-22,2785.339468206092
2019-02-25,2792.095278042346
2019-02-26,2788.503510032159
2019-02-27,2782.1615315377726
2019-02-28,2770.900895174787
2019-03-01,2783.6529992374158
2019-03-04,2793.9553550445708
2019-03-05,2795.047537588059
2019-03-06,2781.770496365315
2019-03-07,2780.0397352619084
2019-03-08,2763.145033631441
2019-03-11,2797.411009577341
2019-03-12,2798.61975846609
2019-03-13,2804.1797543895473
2019-03-14,2806.016903095811
2019-03-15,2817.9954758303397
2019-03-18,2829.6479121629172
2019-03-19,2830.7934082838465
2019-03-20,2818.9432866473726
2019-03-21,2836.516720681566
2019-03-22,2814.0491247309783
2019-03-25,2791.3084465161637
2019-03-26,2821.318562793721
2019-03-27,2818.17220238375
2019-03-28,2825.003459577795
2019-03-29,2846.1100508006225
2019-04-01,2880.556334193975
2019-04-02,2888.7720107675054
2019-04-03,2894.7485530252256
2019-04-04,2898.5552364932587
2019-04-05,2907.0716791059576
2019-04-08,2901.988016803883
2019-04-09,2889.4389499841072
2019-04-10,2902.0216615918266
2019-04-11,2893.2784718929634
2019-04-12,2897.412483554182
2019-04-15,2900.1522709202177
2019-04-16,2907.345192060861
2019-04-17,2905.017385534
2019-04-18,2918.3420968443693
2019-04-19,2918.53058187423
2019-04-22,2915.9126784499654
2019-04-23,2944.683815874719
2019-04-24,2937.800719525564
2019-04-25,2946.8654338116394
2019-04-26,2952.8479060411555
2019-04-29,2955.9187171478607
2019-04-30,2947.6370070356925
2019-05-01,2928.791138699335
2019-05-02,2933.638208991865
2019-05-03,2954.248402949291
2019-05-06,2933.1837640457684
2019-05-07,2896.1216762714594
2019-05-08,2886.316746729647
2019-05-09,2858.240650177547
2019-05-10,2864.9998252660675
2019-05-13,2812.3629767911057
2019-05-14,2834.5040047008993
2019-05-15,2850.6405080802097
2019-05-16,2875.8802969778144
2019-05-17,2865.0040718170853
2019-05-20,2849.310100023808
2019-05-21,2862.7547122485694
2019-05-22,2862.5410461172455
2019-05-23,2830.6714079430653
2019-05-24,2826.749026014835
2019-05-27,2832.4499380832763
2019-05-28,2822.4622187902623
