Date,MSCI ACWI ex USA ex China ex Hong Kong Index
2019-03-13,1010.6850251181806
2019-03-14,1012.9866706530887
2019-03-15,1019.3122110616064
2019-03-18,1024.2660477050074
2019-03-19,1026.8919932655133
2019-03-20,1021.5415287882322
2019-03-21,1023.4055827780904
2019-03-22,1020.1848485121454
2019-03-25,1008.2713866185992
2019-03-26,1019.3902088884016
2019-03-27,1018.7432821948055
2019-03-28,1016.8249667286836
2019-03-29,1023.4905659847017
2019-04-01,1035.140977397566
2019-04-02,1038.13610739195
2019-04-03,1044.5418952819477
2019-04-04,1043.5077717594172
2019-04-05,1044.715518104748
2019-04-08,1043.10014122371
2019-04-09,1041.5095940881174
2019-04-10,1044.2362663790086
2019-04-11,1040.9524539462423
2019-04-12,1040.236992288909
2019-04-15,1043.8793339977667
2019-04-16,1047.2425561693556
2019-04-17,1049.0267652818818
2019-04-18,1051.0273598829629
2019-04-19,1051.1708377822913
2019-04-22,1049.0547627151386
2019-04-23,1054.9366416358384
2019-04-24,1051.5559726328422
2019-04-25,1053.7043116920681
2019-04-26,1054.6816382407494
2019-04-29,1055.4285571693206
2019-04-30,1053.44206281094
2019-05-01,1052.1312270262406
2019-05-02,1050.1383552670907
2019-05-03,1053.873228333595
2019-05-06,1046.6396895184882
2019-05-07,1037.1774345067881
2019-05-08,1033.948314659802
2019-05-09,1018.9680285685819
2019-05-10,1020.3827720537621
2019-05-13,1009.5484774363573
2019-05-14,1014.5950654076693
2019-05-15,1018.7518232477508
2019-05-16,1024.867962722275
2019-05-17,1023.7732601799825
2019-05-20,1022.3494923945563
2019-05-21,1023.8047872747841
2019-05-22,1024.3802746184333
2019-05-23,1014.7823921759874
2019-05-24,1016.5445249306322
2019-05-27,1020.1539105114945
2019-05-28,1019.8905205071235
2019-05-29,1011.2527262459406
2019-05-30,1014.898322028629
2019-05-31,1010.9438956884964
2019-06-03,1011.5263230965148
2019-06-04,1013.689238873321
2019-06-05,1018.8316318250578
2019-06-06,1016.9556748940688
2019-06-07,1022.4144004970693
2019-06-10,1028.0467834418591
2019-06-11,1034.9441743007444
2019-06-12,1031.69771719199
2019-06-13,1031.9072156364036
2019-06-14,1031.5043904571676
2019-06-17,1028.42073564881
2019-06-18,1041.7337391015687
2019-06-19,1047.3370914218917
2019-06-20,1052.6468196820836
2019-06-21,1046.8611882788107
2019-06-24,1043.7506626106617
2019-06-25,1042.5276374977323
2019-06-26,1039.5519030082448
2019-06-27,1043.842989523491
2019-06-28,1046.6922621651604
2019-07-01,1058.0563339011114
2019-07-02,1061.5806717172202
2019-07-03,1066.3795535116149
2019-07-04,1069.9419701064705
2019-07-05,1066.7181350846033
2019-07-08,1061.8430478111543
2019-07-09,1058.7313618016992
2019-07-10,1057.665747009226
2019-07-11,1060.083885387428
2019-07-12,1059.4984702577997
2019-07-15,1061.1937381393498
2019-07-16,1063.8389770996098
2019-07-17,1060.472616024576
2019-07-18,1056.1465092798994
2019-07-19,1061.5114870678246
2019-07-22,1060.8418923699878
2019-07-23,1070.113527507799
2019-07-24,1071.6002643795687
2019-07-25,1066.3191959517437
2019-07-26,1066.6320144988138
2019-07-29,1065.7162442133413
2019-07-30,1058.4876309068193
2019-07-31,1057.621297759329
2019-08-01,1060.7400361399884
2019-08-02,1039.9733124517743
2019-08-05,1014.7835573584828
2019-08-06,1008.9888057205548
2019-08-07,1009.9912220048598
2019-08-08,1022.1724383294761
2019-08-09,1019.8852686835935
2019-08-12,1015.3302101264491
2019-08-13,1014.5079478125941
2019-08-14,1008.0107132653549
2019-08-15,1004.0868029146791
2019-08-16,1011.8559524172649
2019-08-19,1020.3100422139192
2019-08-20,1019.7009243040108
2019-08-21,1025.2580252794223
2019-08-22,1022.3532739787707
2019-08-23,1017.3869369113797
2019-08-26,1010.9577475346026
2019-08-27,1017.4608175934521
2019-08-28,1018.8377865255073
2019-08-29,1025.001325187144
2019-08-30,1038.9823271347411
2019-09-02,1041.0597320109478
2019-09-03,1038.9564677858052
2019-09-04,1043.4748901517257
2019-09-05,1052.809523752272
2019-09-06,1057.3686991129503
2019-09-09,1057.441892585524
2019-09-10,1059.5697651885687
2019-09-11,1070.4726986637127
2019-09-12,1072.1108553783736
2019-09-13,1073.0937044516118
2019-09-16,1075.7282739681532
2019-09-17,1071.7237093225538
2019-09-18,1070.5563370615248
2019-09-19,1074.4177603856551
2019-09-20,1080.1663038785034
2019-09-23,1077.5370908914222
2019-09-24,1077.4877521352914
2019-09-25,1073.421319486264
2019-09-26,1078.7703682563101
2019-09-27,1079.058254143282
2019-09-30,1080.0550867402446
2019-10-01,1072.999540985912
2019-10-02,1053.074036903121
2019-10-03,1048.4068468920202
2019-10-04,1054.6541032249881
2019-10-07,1057.0691685026702
2019-10-08,1054.6626109706597
2019-10-09,1053.9235026650922
2019-10-10,1055.6868176443832
2019-10-11,1070.546028137472
2019-10-14,1070.306113786932
2019-10-15,1077.7278325877307
2019-10-16,1079.5555786242242
2019-10-17,1077.0400415690162
2019-10-18,1073.7416809173944
2019-10-21,1078.9207537039633
2019-10-22,1082.7474771936124
2019-10-23,1084.3348788178994
2019-10-24,1090.4339521048212
2019-10-25,1092.5062210258418
2019-10-28,1093.820915482281
2019-10-29,1095.0094502811282
2019-10-30,1094.41111661276
2019-10-31,1091.3597511840328
2019-11-01,1096.5215428112613
2019-11-04,1104.9881396654391
2019-11-05,1114.0055991792635
2019-11-06,1114.5848731572667
2019-11-07,1119.2462922836205
2019-11-08,1117.8078528051803
2019-11-11,1115.6862697302265
2019-11-12,1119.7667936030532
2019-11-13,1115.4461272627498
2019-11-14,1112.62256213388
2019-11-15,1116.3019285920982
2019-11-18,1115.619489178875
2019-11-19,1115.2088722201163
2019-11-20,1110.544264009652
2019-11-21,1106.2068732961748
2019-11-22,1111.4259080476136
2019-11-25,1119.4099481148087
2019-11-26,1118.3812379043407
2019-11-27,1122.699486886121
2019-11-28,1120.516287580561
2019-11-29,1113.8378185441256
2019-12-02,1106.0786279286976
2019-12-03,1099.8914542548955
2019-12-04,1104.5249141479362
2019-12-05,1105.6266005241384
2019-12-06,1116.0134547678722
2019-12-09,1116.0619609447665
2019-12-10,1112.171906309949
2019-12-11,1115.3082844318394
2019-12-12,1117.5150574197714
2019-12-13,1129.0998596841341
2019-12-16,1136.900967374547
2019-12-17,1136.8566262197653
2019-12-18,1138.2740742431754
2019-12-19,1139.8737980052829
2019-12-20,1145.2376598154926
2019-12-23,1145.2736185815957
2019-12-24,1145.7805531702138
2019-12-25,1145.1130722049845
2019-12-26,1146.2563642308858
2019-12-27,1146.4292993686613
2019-12-30,1138.9641702311546
2019-12-31,1137.0803047670752
2020-01-01,1137.0820672355194
2020-01-02,1145.5759622656994
2020-01-03,1145.591343840931
2020-01-06,1136.2119608181024
2020-01-07,1143.1928063631226
2020-01-08,1141.7614198482163
2020-01-09,1149.6562840050246
2020-01-10,1151.3646566901932
2020-01-13,1149.9411331108754
2020-01-14,1154.5734420594144
2020-01-15,1151.123037595559
2020-01-16,1153.970218991918
2020-01-17,1163.8013117127766
2020-01-20,1165.1790176192048
2020-01-21,1159.8016397041297
2020-01-22,1162.7529386570952
2020-01-23,1158.98255265384
2020-01-24,1164.2238049061318
2020-01-27,1144.6099867524697
2020-01-28,1145.890646116171
2020-01-29,1149.7801607308115
2020-01-30,1134.350601938179
2020-01-31,1123.952101057862
2020-02-03,1122.2998197992968
2020-02-04,1137.8961566971464
2020-02-05,1149.9749235548231
2020-02-06,1161.031796691606
2020-02-07,1156.2852667797401
2020-02-10,1156.0351101113047
2020-02-11,1164.7328895965838
2020-02-12,1172.2905965275938
2020-02-13,1173.6299030549214
2020-02-14,1171.8760605705759
2020-02-17,1172.210624924805
2020-02-18,1164.835841281514
2020-02-19,1172.3680556539814
2020-02-20,1162.994774575227
2020-02-21,1155.4780370476765
2020-02-24,1126.247991140387
2020-02-25,1108.0176917604438
2020-02-26,1099.055068185916
2020-02-27,1064.0906203073384
2020-02-28,1031.928999834855
2020-03-02,1029.562360760671
2020-03-03,1036.193441871162
2020-03-04,1048.1190567786168
2020-03-05,1039.916740493768
2020-03-06,1003.6908953875243
2020-03-09,928.9406895288574
2020-03-10,931.8505849397083
2020-03-11,918.3510165466319
2020-03-12,838.6077852220833
2020-03-13,842.7956870970801
2020-03-16,796.6894889641669
2020-03-17,811.3197033643233
2020-03-18,781.9544149149903
2020-03-19,792.0554206460921
2020-03-20,804.7254116237938
2020-03-23,768.8110062271394
2020-03-24,823.4353067932445
2020-03-25,860.4964999506753
2020-03-26,870.0355839244768
2020-03-27,856.6010406375839
2020-03-30,864.1705171959084
2020-03-31,873.2602493184366
2020-04-01,852.4354476736454
2020-04-02,855.4872386977942
2020-04-03,850.0585582080121
2020-04-06,881.3724523221932
2020-04-07,895.3478336542075
2020-04-08,900.1207685395768
2020-04-09,909.4887061541019
2020-04-10,911.2662159033737
2020-04-13,909.7089534284219
2020-04-14,918.7968325889887
2020-04-15,902.0679694643006
2020-04-16,901.2129213308251
2020-04-17,922.3127574921631
