Date,AC EUROPE
2004-07-05,71.87865473193763
2004-07-06,71.5383591747589
2004-07-07,71.44512313860776
2004-07-08,71.64421616599869
2004-07-09,71.59758010493731
2004-07-12,71.30456781962648
2004-07-13,71.427199705015
2004-07-14,71.30685296305285
2004-07-15,70.56866033922273
2004-07-16,70.72844246264756
2004-07-19,70.3937416809437
2004-07-20,70.51817242677505
2004-07-21,71.203972057983
2004-07-22,70.09516860935945
2004-07-23,70.26120222675817
2004-07-26,69.62543914945505
2004-07-27,70.21582935068726
2004-07-28,70.41140366803837
2004-07-29,71.23688691068516
2004-07-30,71.35246940966044
2004-08-02,71.2929180809103
2004-08-03,71.5170218947223
2004-08-04,70.99015274912398
2004-08-05,71.10563148026041
2004-08-06,69.50020499951295
2004-08-09,68.93175611391202
2004-08-10,69.33196867282601
2004-08-11,68.91527801270185
2004-08-12,68.77574460176281
2004-08-13,68.54840445767093
2004-08-16,69.20581601044931
2004-08-17,69.30779983901357
2004-08-18,69.36390308024988
2004-08-19,69.49879575314034
2004-08-20,69.3448415203809
2004-08-23,70.25914250425951
2004-08-24,70.20570156182065
2004-08-25,70.43147938155894
2004-08-26,71.00310544478566
2004-08-27,71.57074861135057
2004-08-30,71.46403898840869
2004-08-31,70.79093731036937
2004-09-01,71.26740709104868
2004-09-02,71.53282339759329
2004-09-03,72.10174334852549
2004-09-06,72.35046290776954
2004-09-07,72.31664795486712
2004-09-08,72.27949558609542
2004-09-09,71.8554127986304
2004-09-10,72.08143674965437
2004-09-13,72.6984514247608
2004-09-14,72.47098244829763
2004-09-15,72.37559708550819
2004-09-16,72.67518076092378
2004-09-17,73.06756741883628
2004-09-20,72.82455614976202
2004-09-21,73.17429263093673
2004-09-22,72.77515204768885
2004-09-23,72.2407027449877
2004-09-24,72.44966524740022
2004-09-27,71.98203771562967
2004-09-28,72.3254510179353
2004-09-29,72.59181824722087
2004-09-30,72.09124573369556
2004-10-01,73.35005610215254
2004-10-04,74.08806017773789
2004-10-05,74.16690754346055
2004-10-06,74.11639111134436
2004-10-07,74.11357797498857
2004-10-08,73.78149934970882
2004-10-11,73.74252221649299
2004-10-12,73.1259653082412
2004-10-13,73.34952420667324
2004-10-14,72.81630929066841
2004-10-15,72.67320855223463
2004-10-18,72.47278261521618
2004-10-19,73.18197353558196
2004-10-20,72.44002329802628
2004-10-21,72.84715688657316
2004-10-22,72.81378204090214
2004-10-25,71.61747379112765
2004-10-26,71.8136519364601
2004-10-27,72.68263641721356
2004-10-28,73.13496091501669
2004-10-29,72.95710813064179
2004-11-01,73.55654775280145
2004-11-02,74.22397992209486
2004-11-03,74.48977915381921
2004-11-04,74.2800096046826
2004-11-05,74.69997786855605
2004-11-08,74.61819077030088
2004-11-09,74.59421528066433
2004-11-10,74.77008453675649
2004-11-11,75.45216266139181
2004-11-12,75.70809207070853
2004-11-15,75.61614062976561
2004-11-16,75.12751275407524
2004-11-17,75.79762247688686
2004-11-18,75.83045942433212
2004-11-19,75.22613405817872
2004-11-22,74.84568683741587
2004-11-23,74.94515169433349
2004-11-24,74.90895140700039
2004-11-25,75.41718269522734
2004-11-26,75.29324469384397
2004-11-29,75.20782746904355
2004-11-30,74.88839336140758
2004-12-01,75.7359886338654
2004-12-02,76.05652676456826
2004-12-03,75.86403627166389
2004-12-06,75.51073682711332
2004-12-07,75.79894197312684
2004-12-08,75.6285482490308
2004-12-09,75.04928224594498
2004-12-10,75.34203479721155
2004-12-13,75.9122601903063
2004-12-14,76.02134633126525
2004-12-15,75.97627496292873
2004-12-16,76.26203240298956
2004-12-17,75.67995558317241
2004-12-20,76.01598490151824
2004-12-21,75.8894587447035
2004-12-22,76.25089334302596
2004-12-23,76.26776221218076
2004-12-24,76.3568747625653
2004-12-27,76.24033706803057
