Date,AC AP ex JP WITH PARTIAL A SHARES
2018-04-16,3629.2319520855426
2018-04-17,3622.0176812897116
2018-04-18,3638.1645703628756
2018-04-19,3673.1740821717794
2018-04-20,3650.048924069507
2018-04-23,3642.2847279855046
2018-04-24,3646.561275938695
2018-04-25,3626.085811953275
2018-04-26,3639.5108364670673
2018-04-27,3680.2258966388613
2018-04-30,3724.885306887454
2018-05-01,3752.433360488895
2018-05-02,3748.4909400423558
2018-05-03,3728.880483408261
2018-05-04,3715.5642867172405
2018-05-07,3736.892917833752
2018-05-08,3772.5205598498856
2018-05-09,3772.043811107779
2018-05-10,3791.7209148734696
2018-05-11,3799.75687270863
2018-05-14,3817.8249364930443
2018-05-15,3806.6732390028233
2018-05-16,3835.9147197127136
2018-05-17,3817.6118872248226
2018-05-18,3822.514213387809
2018-05-21,3836.67301458636
2018-05-22,3829.061969856417
2018-05-23,3826.3943032239454
2018-05-24,3832.0248258935676
2018-05-25,3862.112198014946
2018-05-28,3885.071549817678
2018-05-29,3875.741074637537
2018-05-30,3811.4971492811896
2018-05-31,3826.1454175419067
