Date,ACWI ex THAILAND
2017-07-26,2489.3044051052443
2017-07-27,2485.544691453998
2017-07-28,2463.282506804467
2017-07-31,2456.078113860466
2017-08-01,2463.043721296298
2017-08-02,2453.6756771060136
2017-08-03,2446.2642529114114
2017-08-04,2472.6955281714027
2017-08-07,2470.1417322406614
2017-08-08,2477.8756318490987
2017-08-09,2468.8793596877485
2017-08-10,2441.0041809092895
2017-08-11,2426.0789912552987
2017-08-14,2447.2415248038214
2017-08-15,2457.00065288541
2017-08-16,2468.0149207152463
2017-08-17,2441.2268148084245
2017-08-18,2432.0536706451553
2017-08-21,2421.4187915874786
2017-08-22,2449.2467466075764
2017-08-23,2436.419107584947
2017-08-24,2437.6590440200416
2017-08-25,2430.2122408412824
2017-08-28,2415.05225866052
2017-08-29,2398.605337925982
2017-08-30,2425.652900667801
2017-08-31,2444.713828841034
2017-09-01,2454.556225827262
2017-09-04,2442.9860208517784
2017-09-05,2431.7409268963966
2017-09-06,2433.1631476230027
2017-09-07,2427.273880375749
2017-09-08,2424.8951765323395
2017-09-11,2453.661804654077
2017-09-12,2467.6150137306818
2017-09-13,2472.9212918194535
2017-09-14,2478.848452879338
2017-09-15,2465.4328274360428
2017-09-18,2473.3569150733265
2017-09-19,2473.477709220254
2017-09-20,2473.5430961617235
2017-09-21,2478.663777750364
2017-09-22,2472.2202424308857
2017-09-25,2483.3868383971576
2017-09-26,2496.304085533939
2017-09-27,2510.0125642632147
2017-09-28,2502.0931859298757
2017-09-29,2506.003730731388
2017-10-02,2529.3064280433036
2017-10-03,2534.7092595924646
2017-10-04,2536.0674203429076
2017-10-05,2552.594031515955
2017-10-06,2546.704940553188
2017-10-09,2543.8983691893895
2017-10-10,2539.46272881303
2017-10-11,2538.2892284121153
2017-10-12,2538.1315947809157
2017-10-13,2546.399605781066
2017-10-16,2558.2371000161033
2017-10-17,2563.6694053871506
2017-10-18,2562.232538833292
2017-10-19,2546.2787198923925
2017-10-20,2564.0200229120865
2017-10-23,2566.1341301392094
2017-10-24,2563.3291981304255
2017-10-25,2544.054437474573
2017-10-26,2568.233280841101
2017-10-27,2605.7791462645673
2017-10-30,2597.197509972643
2017-10-31,2595.894258018287
2017-11-01,2610.933945284657
2017-11-02,2600.3080590201334
2017-11-03,2615.1461094507067
2017-11-06,2625.145517427342
2017-11-07,2628.286769203754
2017-11-08,2630.758626105459
2017-11-09,2612.7468955148343
2017-11-10,2600.9453266316564
2017-11-13,2594.287243686633
2017-11-14,2568.969806780559
2017-11-15,2545.089202356726
2017-11-16,2572.143459284697
