Date,EM ASIA ESG LEADERS
2017-09-26,2222.1190253307213
2017-09-27,2225.21513466243
2017-09-28,2197.54771205817
2017-09-29,2208.1411894513453
2017-10-02,2228.879157903935
2017-10-03,2253.776046591839
2017-10-04,2263.3328919681844
2017-10-05,2273.3415562773575
2017-10-06,2277.831558708972
2017-10-09,2271.583383653608
2017-10-10,2276.4905429783666
2017-10-11,2282.207658812365
2017-10-12,2297.8057174687365
2017-10-13,2306.9713481002727
2017-10-16,2328.5822254081204
2017-10-17,2328.664577256895
2017-10-18,2320.340221583214
2017-10-19,2288.0326024553697
2017-10-20,2314.2263666161216
2017-10-23,2324.8554191200665
2017-10-24,2314.195385118631
2017-10-25,2315.4029580474476
2017-10-26,2333.122294676389
2017-10-27,2359.8886677391015
2017-10-30,2362.73408229863
2017-10-31,2366.835783552111
2017-11-01,2397.7126295214157
2017-11-02,2381.806626550206
2017-11-03,2402.812842787795
2017-11-06,2415.492240059961
2017-11-07,2436.7711290464936
2017-11-08,2424.1064742925046
2017-11-09,2424.990088690484
2017-11-10,2406.758043308589
2017-11-13,2394.2739922771325
2017-11-14,2378.0081142911345
2017-11-15,2353.2588216815225
2017-11-16,2384.715885088212
2017-11-17,2408.4781901467045
2017-11-20,2423.5095967189277
2017-11-21,2461.596331856244
2017-11-22,2459.08703462349
2017-11-23,2437.3736910509897
2017-11-24,2422.237250668183
2017-11-27,2406.791861449772
2017-11-28,2426.7175317769784
2017-11-29,2424.9182934248524
2017-11-30,2358.642795164738
2017-12-01,2357.2368004090677
2017-12-04,2379.211482528263
2017-12-05,2367.8673808596377
2017-12-06,2337.62911727545
2017-12-07,2346.6362671477823
2017-12-08,2381.385403881133
2017-12-11,2395.6382625289257
2017-12-12,2387.1661083670956
2017-12-13,2395.094029127282
2017-12-14,2405.9869444710807
2017-12-15,2397.604062737795
2017-12-18,2393.078202052158
2017-12-19,2407.621508593907
2017-12-20,2390.9099177433204
2017-12-21,2396.994678409568
2017-12-22,2422.04085956253
2017-12-25,2423.741444459316
2017-12-26,2415.883160712006
2017-12-27,2411.3831492971913
2017-12-28,2423.8075327676825
2017-12-29,2423.1445619315346
2018-01-01,2419.3186891935316
2018-01-02,2447.9378878310717
2018-01-03,2464.7837374956225
2018-01-04,2469.999462173207
2018-01-05,2491.1287893258714
2018-01-08,2522.1270311314784
2018-01-09,2537.902790468309
2018-01-10,2514.8027796582564
2018-01-11,2493.6551520476833
2018-01-12,2500.327798602418
2018-01-15,2477.825299878404
2018-01-16,2502.8159398575513
2018-01-17,2506.5365540839625
2018-01-18,2516.898729069691
2018-01-19,2544.1836096867996
2018-01-22,2555.7173035447695
2018-01-23,2586.8836094613675
2018-01-24,2550.686033836804
2018-01-25,2522.8531119126174
2018-01-26,2551.746643737859
2018-01-29,2572.7432722908907
2018-01-30,2521.064964847896
2018-01-31,2524.0844442052303
2018-02-01,2512.2716056891722
2018-02-02,2497.1652990301322
2018-02-05,2461.6541418953616
2018-02-06,2375.243018457271
2018-02-07,2384.9213830265
2018-02-08,2399.0416862464967
2018-02-09,2346.265266443947
2018-02-12,2360.302317449214
2018-02-13,2366.2284840803964
2018-02-14,2380.9631291283663
2018-02-15,2393.4027050155023
2018-02-16,2395.6751771620443
2018-02-19,2417.4564824623967
2018-02-20,2413.3551028139063
2018-02-21,2452.745165307177
2018-02-22,2420.9045689667637
2018-02-23,2458.5829015571403
2018-02-26,2472.927168552221
2018-02-27,2470.8921555790107
2018-02-28,2445.7441727413643
2018-03-01,2456.8225497253347
2018-03-02,2404.876535244608
2018-03-05,2373.0460662035375
2018-03-06,2392.7585110889854
2018-03-07,2376.688377384211
2018-03-08,2417.9100654400513
2018-03-09,2436.125232330699
2018-03-12,2483.6193536419596
2018-03-13,2475.4071366502544
2018-03-14,2474.864387070662
2018-03-15,2482.4404946948434
2018-03-16,2486.8795392283255
2018-03-19,2464.388824819404
2018-03-20,2483.8818318097365
2018-03-21,2474.237290217756
2018-03-22,2443.438588549315
2018-03-23,2370.9789683046715
2018-03-26,2371.852315180613
2018-03-27,2408.190063310122
2018-03-28,2366.6266198913722
2018-03-29,2376.4190569673883
2018-03-30,2383.165683252365
2018-04-02,2392.064691679503
2018-04-03,2399.1193584156345
2018-04-04,2355.742689977369
2018-04-05,2383.0204192220535
2018-04-06,2382.3136744629255
2018-04-09,2389.0056599997006
2018-04-10,2404.6177044584056
2018-04-11,2400.9554453773144
2018-04-12,2406.4246306543223
2018-04-13,2398.1257988921116
2018-04-16,2371.051706121537
2018-04-17,2356.5723865152504
2018-04-18,2358.3623496152254
2018-04-19,2385.8565837348397
2018-04-20,2370.1681847208865
2018-04-23,2365.157730876963
2018-04-24,2366.9645005264524
2018-04-25,2344.3176091043224
2018-04-26,2344.5202825564966
2018-04-27,2367.910912820989
2018-04-30,2396.5250816290977
2018-05-01,2414.9597614372246
2018-05-02,2404.100354133598
2018-05-03,2376.850239723995
2018-05-04,2368.174238554172
2018-05-07,2374.239015480925
2018-05-08,2404.532733084606
2018-05-09,2409.5467692226375
2018-05-10,2421.332404442521
2018-05-11,2432.5250115894396
2018-05-14,2437.083639144733
2018-05-15,2426.715077685372
2018-05-16,2438.72309937411
2018-05-17,2432.214790426512
2018-05-18,2432.446413271513
2018-05-21,2433.5048718053263
2018-05-22,2432.546041781672
2018-05-23,2435.502640483672
2018-05-24,2442.437958877826
2018-05-25,2459.844921778725
2018-05-28,2478.4061815284635
2018-05-29,2470.0820792394
2018-05-30,2420.1246096814684
2018-05-31,2428.0621951427192
2018-06-01,2445.608835855297
2018-06-04,2472.4663526673276
2018-06-05,2488.9259840088052
2018-06-06,2483.021372462126
2018-06-07,2489.6149374610977
2018-06-08,2462.59575419678
2018-06-11,2461.759747918019
2018-06-12,2469.52895558655
2018-06-13,2464.703169301529
2018-06-14,2459.5497833427103
2018-06-15,2456.728301736896
2018-06-18,2445.167560833851
2018-06-19,2398.2973819588397
2018-06-20,2411.188194604322
2018-06-21,2377.53840897201
2018-06-22,2381.021202694198
2018-06-25,2341.1422339443466
2018-06-26,2333.3011898607856
2018-06-27,2313.5101278567627
2018-06-28,2297.2179870419127
2018-06-29,2331.8186093629756
2018-07-02,2328.241452613731
2018-07-03,2306.0630360227183
2018-07-04,2300.997512799254
2018-07-05,2282.233258226302
2018-07-06,2283.329855436252
2018-07-09,2319.8225942125864
2018-07-10,2324.674679193344
2018-07-11,2306.0578173600607
2018-07-12,2321.516071378535
2018-07-13,2343.052994116926
2018-07-16,2324.6088681172423
2018-07-17,2321.66139961602
2018-07-18,2331.3271706108644
2018-07-19,2323.5253905511954
2018-07-20,2323.193248273143
2018-07-23,2324.8418554460627
2018-07-24,2338.9836952274013
2018-07-25,2358.4684891944985
2018-07-26,2363.925331784347
2018-07-27,2374.058734908992
2018-07-30,2354.573556444908
2018-07-31,2344.5916159490444
2018-08-01,2359.7224838124016
2018-08-02,2330.6142817824293
2018-08-03,2346.221358027449
2018-08-06,2355.818159779793
2018-08-07,2359.2494429894145
2018-08-08,2374.819882629478
2018-08-09,2394.616386900491
2018-08-10,2404.5224498065154
2018-08-13,2361.4990759382636
2018-08-14,2359.005544409232
2018-08-15,2343.033511420148
2018-08-16,2305.509571585375
2018-08-17,2320.5519184509317
2018-08-20,2340.0403410879776
2018-08-21,2342.5680161470054
2018-08-22,2337.107679737929
2018-08-23,2350.3493069035603
2018-08-24,2332.5123970063096
2018-08-27,2358.1151290155362
2018-08-28,2365.381505214843
2018-08-29,2376.236711915957
2018-08-30,2373.5698559127354
2018-08-31,2354.112062417383
2018-09-03,2337.1914700831785
2018-09-04,2354.310481897054
2018-09-05,2302.3078217294956
2018-09-06,2283.904009414384
2018-09-07,2300.039102544161
2018-09-10,2273.7202692250057
2018-09-11,2257.873192629506
2018-09-12,2241.529384435384
2018-09-13,2258.390962674163
2018-09-14,2295.279670449313
2018-09-17,2254.648377798553
2018-09-18,2248.571609508232
2018-09-19,2275.7732774544165
2018-09-20,2267.8584429527323
2018-09-21,2301.8772676294866
2018-09-24,2270.1707271516175
2018-09-25,2275.1281782953915
2018-09-26,2284.9263753228897
2018-09-27,2301.7196257403803
2018-09-28,2314.2114991832655
2018-10-01,2325.2576206839703
2018-10-02,2291.1551350991895
2018-10-03,2287.3567919418747
2018-10-04,2237.8059897713697
2018-10-05,2214.221688947676
2018-10-08,2191.940021797291
2018-10-09,2186.2551987846973
2018-10-10,2162.646783551442
2018-10-11,2061.0056950266303
2018-10-12,2131.296393338408
2018-10-15,2098.9631866121827
2018-10-16,2116.480051405082
2018-10-17,2133.416120322785
2018-10-18,2122.195993236113
2018-10-19,2120.468743210146
2018-10-22,2151.557653805642
2018-10-23,2097.4464100925825
2018-10-24,2106.382995563785
2018-10-25,2081.3809439947727
2018-10-26,2059.8230938335746
2018-10-29,2056.168802693415
2018-10-30,2057.5338363207825
2018-10-31,2124.1963763462704
2018-11-01,2133.2427607851996
2018-11-02,2216.50839329691
2018-11-05,2183.1504699148154
2018-11-06,2183.1861778149196
2018-11-07,2181.2614481259684
2018-11-08,2198.0398712478745
2018-11-09,2168.437104951108
2018-11-12,2168.0579401629816
2018-11-13,2166.3327413053416
2018-11-14,2156.0934382013766
2018-11-15,2188.053466593008
2018-11-16,2177.8893882148004
2018-11-19,2173.453292049464
2018-11-20,2150.351713305493
2018-11-21,2157.7469139376776
2018-11-22,2159.8790033296245
2018-11-23,2162.6077359550222
2018-11-26,2193.6659138726336
2018-11-27,2213.003615309715
2018-11-28,2243.3457468978413
2018-11-29,2233.3822989154137
2018-11-30,2241.4347221831276
2018-12-03,2285.777947619136
2018-12-04,2281.2650149783117
2018-12-05,2251.4906757018025
2018-12-06,2184.3439519959206
2018-12-07,2182.4711112823443
2018-12-10,2153.546841285453
2018-12-11,2169.344432758587
2018-12-12,2188.146524252132
2018-12-13,2209.6267952885696
2018-12-14,2187.707007478572
2018-12-17,2171.2538129435607
2018-12-18,2148.1121323416755
2018-12-19,2146.7629093631626
2018-12-20,2130.2672502591336
2018-12-21,2133.3444259206435
2018-12-24,2121.211250226531
2018-12-25,2114.5737012343066
