Date,BRIC ESG LEADERS
2020-07-13,2640.722093215956
2020-07-14,2581.656117989252
2020-07-15,2605.1153870602
2020-07-16,2530.335424268216
2020-07-17,2570.296653733884
2020-07-20,2606.233800932559
2020-07-21,2677.70424647411
2020-07-22,2601.5397647643485
2020-07-23,2622.047947602355
2020-07-24,2556.78270196235
2020-07-27,2528.2507039037228
2020-07-28,2572.2845522289517
2020-07-29,2573.3478360460335
2020-07-30,2555.631862656546
2020-07-31,2536.4010000033873
2020-08-03,2576.608588082136
2020-08-04,2614.9652037961337
2020-08-05,2616.5264523027035
2020-08-06,2625.5314249077637
2020-08-07,2561.6017232980716
2020-08-10,2530.7150878316165
2020-08-11,2541.8324583808503
2020-08-12,2550.024276650908
2020-08-13,2530.307871088883
2020-08-14,2531.214217939787
2020-08-17,2526.7168956665614
2020-08-18,2551.7313519144054
2020-08-19,2542.070603365307
2020-08-20,2529.772956905948
2020-08-21,2580.719979904399
2020-08-24,2652.9522551681935
2020-08-25,2665.1154054839967
2020-08-26,2694.233858522073
2020-08-27,2698.108627630649
2020-08-28,2681.5380164863136
2020-08-31,2623.1984663053768
2020-09-01,2682.41584927927
2020-09-02,2714.5104755754865
2020-09-03,2660.269401770935
2020-09-04,2641.1601723451045
2020-09-07,2612.446724477284
2020-09-08,2575.039923097719
2020-09-09,2573.944150009232
2020-09-10,2553.0873087003515
2020-09-11,2592.977215943386
2020-09-14,2614.7278499282706
2020-09-15,2638.0206845388884
2020-09-16,2657.308235276432
2020-09-17,2636.1484703490446
2020-09-18,2613.585085645556
2020-09-21,2605.799479694403
2020-09-22,2609.0404033885166
2020-09-23,2607.1333829819623
2020-09-24,2567.8733146314576
2020-09-25,2575.199737910493
2020-09-28,2590.5219867252404
2020-09-29,2568.2410945689694
2020-09-30,2634.5075496948934
2020-10-01,2632.0719011161164
2020-10-02,2628.5083553549675
2020-10-05,2637.3718904242655
2020-10-06,2673.5655775249484
2020-10-07,2705.120871895876
2020-10-08,2731.6679478540136
2020-10-09,2726.722754484468
2020-10-12,2779.0257162717526
2020-10-13,2802.2692395747436
2020-10-14,2805.6407949133118
2020-10-15,2768.4057655739143
2020-10-16,2793.653987567799
2020-10-19,2778.7987338151675
2020-10-20,2793.0889420013527
2020-10-21,2786.626684108863
2020-10-22,2796.394798785627
2020-10-23,2790.3391489742467
2020-10-26,2776.4589099204845
2020-10-27,2816.8231576185362
2020-10-28,2813.0751478228867
2020-10-29,2866.959109609445
2020-10-30,2812.9645300439274
2020-11-02,2854.639556567131
2020-11-03,2785.397890126492
2020-11-04,2838.067768475286
2020-11-05,2887.581944552478
2020-11-06,2902.143356676534
2020-11-09,2934.296408566726
2020-11-10,2825.959906565582
2020-11-11,2777.6578295874024
2020-11-12,2801.111929735082
2020-11-13,2823.597957097949
2020-11-16,2830.6477361319094
2020-11-17,2797.6301991877654
2020-11-18,2803.6601289705227
2020-11-19,2796.4987791032268
2020-11-20,2840.0699415690347
2020-11-23,2861.9167590675515
2020-11-24,2873.0796202091215
2020-11-25,2835.136441657795
2020-11-26,2863.4038650766647
2020-11-27,2850.162680142671
2020-11-30,2764.1481737295417
2020-12-01,2781.8840966196485
2020-12-02,2757.8335709722633
2020-12-03,2766.43987596425
2020-12-04,2781.0829450770657
2020-12-07,2774.2138822947622
2020-12-08,2790.9026362777404
2020-12-09,2791.349344664113
2020-12-10,2782.3041056055167
2020-12-11,2797.2662520105323
2020-12-14,2747.007304395094
2020-12-15,2732.872977180211
2020-12-16,2771.21370393392
2020-12-17,2794.9479603965306
2020-12-18,2782.830634115158
2020-12-21,2761.7857278661354
2020-12-22,2761.439140647431
2020-12-23,2771.8073633241715
2020-12-24,2679.9220093737886
2020-12-25,2680.9191118711533
2020-12-28,2634.9446761210356
2020-12-29,2691.223359422654
2020-12-30,2736.6674907082615
2020-12-31,2757.5146386814167
2021-01-01,2760.13402791619
2021-01-04,2761.356843615747
2021-01-05,2805.1850841776236
2021-01-06,2787.6557250932037
2021-01-07,2776.145322708198
2021-01-08,2847.2437021479454
2021-01-11,2870.990511470882
2021-01-12,2873.88187444932
2021-01-13,2900.6929404053785
2021-01-14,2971.283324648153
2021-01-15,2969.3283048790067
2021-01-18,3000.599533999982
2021-01-19,3030.985913900311
2021-01-20,3131.2786630626247
2021-01-21,3104.109969237863
2021-01-22,3094.8411246304945
2021-01-25,3189.5969171137885
2021-01-26,3125.8221923898896
2021-01-27,3081.626691133729
2021-01-28,3032.1010289751603
2021-01-29,2982.3540303416275
2021-02-01,3104.865047387149
2021-02-02,3141.692022031368
2021-02-03,3200.425097869437
2021-02-04,3201.69683141244
2021-02-05,3188.1081664052813
2021-02-08,3196.4594865414583
2021-02-09,3209.6728539467167
2021-02-10,3242.094322274814
2021-02-11,3259.8523708367356
2021-02-12,3260.5123958504514
2021-02-15,3262.233368136664
2021-02-16,3265.3427280274464
2021-02-17,3299.2200506598797
2021-02-18,3221.8497982071617
2021-02-19,3202.291624572969
2021-02-22,3085.723113005778
2021-02-23,3075.6510983798053
2021-02-24,3034.106125765872
2021-02-25,2996.7700599156096
2021-02-26,2904.734995817723
2021-03-01,3009.5331477700056
2021-03-02,2978.4894524790534
2021-03-03,3038.0084789784905
2021-03-04,2956.808749357344
2021-03-05,2974.4823049458987
2021-03-08,2881.622078755947
2021-03-09,2918.028868862159
2021-03-10,2948.3455819584956
2021-03-11,3023.690798784967
2021-03-12,2962.1770517943723
2021-03-15,2929.3821681569984
2021-03-16,2949.9645033566057
2021-03-17,2953.514811551047
2021-03-18,2970.7749213885327
2021-03-19,2968.570469609688
2021-03-22,2960.426185746862
2021-03-23,2946.8928777974065
2021-03-24,2885.459299711183
2021-03-25,2851.202022075043
2021-03-26,2900.6221699748676
2021-03-29,2899.6031902515856
2021-03-30,2927.053298154549
2021-03-31,2912.496472981962
2021-04-01,2973.828382180989
2021-04-02,2975.104115281288
2021-04-05,2963.7681621708225
2021-04-06,2968.9863412194127
2021-04-07,2905.187619889456
2021-04-08,2918.8180862710224
2021-04-09,2885.4184212844766
2021-04-12,2887.654167322323
2021-04-13,2866.4383772311894
2021-04-14,2887.2969117813177
2021-04-15,2881.23741271222
2021-04-16,2907.2816486679853
2021-04-19,2882.997518685184
2021-04-20,2855.9731330313384
2021-04-21,2838.8583251685614
2021-04-22,2861.412848260709
2021-04-23,2892.273996209127
2021-04-26,2882.737730316352
2021-04-27,2889.361344025998
2021-04-28,2905.0131312103317
2021-04-29,2896.19580928871
2021-04-30,2868.951163711906
2021-05-03,2858.514179598826
2021-05-04,2849.6824497548055
2021-05-05,2847.4937910108133
2021-05-06,2842.308071226441
2021-05-07,2818.060501675253
2021-05-10,2786.1020904484726
2021-05-11,2760.5878584144084
2021-05-12,2782.132146321257
2021-05-13,2717.193545966038
2021-05-14,2732.0117221230976
2021-05-17,2772.194506640545
2021-05-18,2789.7720972073157
2021-05-19,2781.926032497325
2021-05-20,2798.243348556043
2021-05-21,2786.7592627136987
2021-05-24,2779.1825773672244
2021-05-25,2816.1416254956384
2021-05-26,2849.146568798638
2021-05-27,2849.463377236655
2021-05-28,2852.275005181232
2021-05-31,2891.791425860907
2021-06-01,2937.1285585694877
2021-06-02,2939.9059752828525
2021-06-03,2931.4370279415234
2021-06-04,2923.668378729162
2021-06-07,2918.099968329441
2021-06-08,2913.387045784967
2021-06-09,2905.458070726628
2021-06-10,2914.966272876444
2021-06-11,2934.501810197367
2021-06-14,2936.6261494381633
2021-06-15,2927.0687495012585
2021-06-16,2895.977591893267
2021-06-17,2945.6160290992257
2021-06-18,2990.5664292167635
